Date,ADS_stock_Open_average,ADS_stock_Open_max,ADS_stock_Open_min,ADS_stock_Open_volatility,ADS_stock_Open_change,ADS_stock_High_average,ADS_stock_High_max,ADS_stock_High_min,ADS_stock_High_volatility,ADS_stock_High_change,ADS_stock_Low_average,ADS_stock_Low_max,ADS_stock_Low_min,ADS_stock_Low_volatility,ADS_stock_Low_change,ADS_stock_Close_average,ADS_stock_Close_max,ADS_stock_Close_min,ADS_stock_Close_volatility,ADS_stock_Close_change,ADS_stock_Volume_average,ADS_stock_Volume_max,ADS_stock_Volume_min,ADS_stock_Volume_volatility,ADS_stock_Volume_change
2016-01-03,268.978,272.45,263.02,9.430000000000007,-8.140000000000043,271.408,275.94,264.37,11.569999999999993,-7.779999999999973,265.572,271.4,256.75,14.649999999999977,-12.240000000000009,266.996,274.05,257.01,17.04000000000002,-14.699999999999989,508834,605062,362952,242110,106232
2016-01-10,253.572,258.69,247.21,11.47999999999999,-10.059999999999974,257.832,258.69,256.23,2.4599999999999795,-1.7899999999999636,248.956,251.67,247.21,4.4599999999999795,-3.769999999999982,253.304,257.29,248.59,8.700000000000017,-1.8400000000000034,670248,825013,457562,367451,-77217
2016-01-17,250.51,255.21,247.01,8.200000000000017,-2.6100000000000136,253.3775,257.05,249.09,7.960000000000008,-2.640000000000015,244.75,248.49,237.1,11.390000000000015,-0.7900000000000205,249.2425,251.97,246.97,5.0,-2.75,663537,777972,509914,268058,-130936
2016-01-24,233.88400000000001,249.14,199.55,49.589999999999975,-49.03,240.15,253.07,215.79,37.28,-33.879999999999995,226.156,245.64,197.83,47.809999999999974,-45.50999999999999,228.11599999999999,249.6,199.0,50.599999999999994,-45.599999999999994,1643971,3380871,488555,2892316,2173236
2016-01-31,198.06799999999998,203.73,193.48,10.25,-3.0999999999999943,201.546,209.34,196.84,12.5,-10.580000000000013,191.676,198.86,184.67,14.190000000000026,-14.190000000000026,196.036,206.56,187.22,19.340000000000003,-19.340000000000003,1519723,1844189,1164254,679935,341380
2016-02-07,180.588,183.13,178.22,4.909999999999997,1.6899999999999977,184.19,185.41,182.84,2.569999999999993,-0.3300000000000125,178.796,181.33,176.63,4.700000000000017,0.9200000000000159,181.212,183.74,177.12,6.6200000000000045,-1.0900000000000034,1179575,1792249,674882,1117367,-1117367
2016-02-14,191.27,197.34,183.84,13.5,13.5,197.5975,204.49,189.88,14.610000000000014,14.610000000000014,190.3325,195.0,183.52,11.47999999999999,11.47999999999999,195.4225,204.36,187.49,16.870000000000005,16.870000000000005,954348,1145117,789377,355740,-126170
2016-02-21,208.876,213.05,205.42,7.630000000000024,7.480000000000018,213.674,215.94,211.46,4.47999999999999,1.4399999999999977,207.124,211.99,203.0,8.990000000000009,6.420000000000016,210.68,212.69,206.46,6.22999999999999,1.8000000000000114,699955,974894,561988,412906,-358877
2016-02-28,214.304,218.14,212.23,5.909999999999997,4.769999999999982,216.2,218.85,213.66,5.189999999999998,4.340000000000003,211.626,214.65,209.01,5.640000000000015,4.640000000000015,214.218,216.88,210.13,6.75,6.090000000000003,755542,986286,596819,389467,-80442
2016-03-06,214.242,218.27,211.31,6.960000000000008,-3.109999999999985,216.10999999999999,220.31,211.87,8.439999999999998,-8.439999999999998,210.266,214.42,206.73,7.689999999999998,-6.4199999999999875,213.09,219.96,208.06,11.900000000000006,-8.360000000000014,807632,941025,645628,295397,40293
