Date,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Open_average,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Open_max,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Open_min,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Open_volatility,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Open_change,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_High_average,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_High_max,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_High_min,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_High_volatility,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_High_change,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Low_average,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Low_max,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Low_min,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Low_volatility,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Low_change,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Close_average,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Close_max,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Close_min,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Close_volatility,PowerShares DWA Consumer Cyclicals Momentum Portfo_etf_Close_change
2016-01-03,41.54,41.54,41.54,0.0,0.0,41.62,41.62,41.62,0.0,0.0,40.58,40.58,40.58,0.0,0.0,40.66,40.66,40.66,0.0,0.0
2016-01-10,39.09,39.09,39.09,0.0,0.0,39.52,39.52,39.52,0.0,0.0,38.74,38.74,38.74,0.0,0.0,39.32,39.32,39.32,0.0,0.0
2016-01-17,40.39,40.39,40.39,0.0,0.0,40.62,40.62,40.62,0.0,0.0,40.22,40.22,40.22,0.0,0.0,40.59,40.59,40.59,0.0,0.0
2016-01-24,39.8,39.8,39.8,0.0,0.0,40.65,40.65,40.65,0.0,0.0,39.78,39.78,39.78,0.0,0.0,40.65,40.65,40.65,0.0,0.0
2016-01-31,39.05,39.05,39.05,0.0,0.0,39.07,39.07,39.07,0.0,0.0,37.5,37.5,37.5,0.0,0.0,37.62,37.62,37.62,0.0,0.0
2016-02-07,37.98,37.98,37.98,0.0,0.0,38.23,38.23,38.23,0.0,0.0,37.64,37.64,37.64,0.0,0.0,38.15,38.15,38.15,0.0,0.0
2016-02-14,39.68,39.68,39.68,0.0,0.0,40.24,40.24,40.24,0.0,0.0,39.5,39.5,39.5,0.0,0.0,40.23,40.23,40.23,0.0,0.0
2016-02-21,42.03,42.03,42.03,0.0,0.0,42.03,42.03,42.03,0.0,0.0,41.51,41.51,41.51,0.0,0.0,41.67,41.67,41.67,0.0,0.0
2016-02-28,42.9,42.9,42.9,0.0,0.0,42.9,42.9,42.9,0.0,0.0,42.6,42.6,42.6,0.0,0.0,42.71,42.71,42.71,0.0,0.0
2016-03-06,42.7,42.7,42.7,0.0,0.0,43.07,43.07,43.07,0.0,0.0,42.7,42.7,42.7,0.0,0.0,43.06,43.06,43.06,0.0,0.0
