Date,iShares MSCI India Small-Cap_etf_Open_average,iShares MSCI India Small-Cap_etf_Open_max,iShares MSCI India Small-Cap_etf_Open_min,iShares MSCI India Small-Cap_etf_Open_volatility,iShares MSCI India Small-Cap_etf_Open_change,iShares MSCI India Small-Cap_etf_High_average,iShares MSCI India Small-Cap_etf_High_max,iShares MSCI India Small-Cap_etf_High_min,iShares MSCI India Small-Cap_etf_High_volatility,iShares MSCI India Small-Cap_etf_High_change,iShares MSCI India Small-Cap_etf_Low_average,iShares MSCI India Small-Cap_etf_Low_max,iShares MSCI India Small-Cap_etf_Low_min,iShares MSCI India Small-Cap_etf_Low_volatility,iShares MSCI India Small-Cap_etf_Low_change,iShares MSCI India Small-Cap_etf_Close_average,iShares MSCI India Small-Cap_etf_Close_max,iShares MSCI India Small-Cap_etf_Close_min,iShares MSCI India Small-Cap_etf_Close_volatility,iShares MSCI India Small-Cap_etf_Close_change
2016-01-03,32.7,32.7,32.7,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.14,32.14,32.14,0.0,0.0,32.14,32.14,32.14,0.0,0.0
2016-01-10,30.04,30.04,30.04,0.0,0.0,30.04,30.04,30.04,0.0,0.0,29.44,29.44,29.44,0.0,0.0,29.7,29.7,29.7,0.0,0.0
2016-01-17,29.87,29.87,29.87,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.67,29.67,29.67,0.0,0.0
2016-01-24,29.9,29.9,29.9,0.0,0.0,30.25,30.25,30.25,0.0,0.0,29.9,29.9,29.9,0.0,0.0,30.25,30.25,30.25,0.0,0.0
2016-01-31,29.09,29.09,29.09,0.0,0.0,29.09,29.09,29.09,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.89,28.89,28.89,0.0,0.0
2016-02-07,26.68,26.68,26.68,0.0,0.0,26.79,26.79,26.79,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.79,26.79,26.79,0.0,0.0
2016-02-14,26.92,26.92,26.92,0.0,0.0,26.99,26.99,26.99,0.0,0.0,26.72,26.72,26.72,0.0,0.0,26.92,26.92,26.92,0.0,0.0
2016-02-21,26.33,26.33,26.33,0.0,0.0,26.33,26.33,26.33,0.0,0.0,25.88,25.88,25.88,0.0,0.0,25.89,25.89,25.89,0.0,0.0
2016-02-28,28.99,28.99,28.99,0.0,0.0,29.4,29.4,29.4,0.0,0.0,28.86,28.86,28.86,0.0,0.0,29.14,29.14,29.14,0.0,0.0
2016-03-06,29.03,29.03,29.03,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.02,29.02,29.02,0.0,0.0,29.14,29.14,29.14,0.0,0.0
2016-03-13,29.43,29.43,29.43,0.0,0.0,29.69,29.69,29.69,0.0,0.0,29.43,29.43,29.43,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2016-03-20,29.55,29.55,29.55,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.46,29.46,29.46,0.0,0.0
2016-03-27,30.43,30.43,30.43,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.22,30.22,30.22,0.0,0.0,30.69,30.69,30.69,0.0,0.0
2016-04-03,30.29,30.29,30.29,0.0,0.0,30.32,30.32,30.32,0.0,0.0,29.99,29.99,29.99,0.0,0.0,30.07,30.07,30.07,0.0,0.0
2016-04-10,31.36,31.36,31.36,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.27,31.27,31.27,0.0,0.0
2016-04-17,31.56,31.56,31.56,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.42,31.42,31.42,0.0,0.0,31.57,31.57,31.57,0.0,0.0
2016-04-24,31.28,31.28,31.28,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.33,31.33,31.33,0.0,0.0
2016-05-01,30.74,30.74,30.74,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2016-05-08,31.55,31.55,31.55,0.0,0.0,31.55,31.55,31.55,0.0,0.0,30.96,30.96,30.96,0.0,0.0,31.15,31.15,31.15,0.0,0.0
2016-05-15,30.74,30.74,30.74,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2016-05-22,31.64,31.64,31.64,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.49,31.49,31.49,0.0,0.0
2016-05-29,31.75,31.75,31.75,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.67,31.67,31.67,0.0,0.0
2016-06-05,32.29,32.29,32.29,0.0,0.0,32.29,32.29,32.29,0.0,0.0,31.87,31.87,31.87,0.0,0.0,32.06,32.06,32.06,0.0,0.0
2016-06-12,32.37,32.37,32.37,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.06,32.06,32.06,0.0,0.0,32.13,32.13,32.13,0.0,0.0
2016-06-19,30.87,30.87,30.87,0.0,0.0,31.45,31.45,31.45,0.0,0.0,30.87,30.87,30.87,0.0,0.0,31.07,31.07,31.07,0.0,0.0
