Date,Hartford US Equity_etf_Open_average,Hartford US Equity_etf_Open_max,Hartford US Equity_etf_Open_min,Hartford US Equity_etf_Open_volatility,Hartford US Equity_etf_Open_change,Hartford US Equity_etf_High_average,Hartford US Equity_etf_High_max,Hartford US Equity_etf_High_min,Hartford US Equity_etf_High_volatility,Hartford US Equity_etf_High_change,Hartford US Equity_etf_Low_average,Hartford US Equity_etf_Low_max,Hartford US Equity_etf_Low_min,Hartford US Equity_etf_Low_volatility,Hartford US Equity_etf_Low_change,Hartford US Equity_etf_Close_average,Hartford US Equity_etf_Close_max,Hartford US Equity_etf_Close_min,Hartford US Equity_etf_Close_volatility,Hartford US Equity_etf_Close_change
2016-01-03,22.53,22.53,22.53,0.0,0.0,22.55,22.55,22.55,0.0,0.0,22.53,22.53,22.53,0.0,0.0,22.53,22.53,22.53,0.0,0.0
2016-01-10,21.74,21.74,21.74,0.0,0.0,22.12,22.12,22.12,0.0,0.0,21.74,21.74,21.74,0.0,0.0,22.12,22.12,22.12,0.0,0.0
2016-01-17,21.84,21.84,21.84,0.0,0.0,21.85,21.85,21.85,0.0,0.0,21.84,21.84,21.84,0.0,0.0,21.85,21.85,21.85,0.0,0.0
2016-01-24,21.91,21.91,21.91,0.0,0.0,21.91,21.91,21.91,0.0,0.0,21.91,21.91,21.91,0.0,0.0,21.91,21.91,21.91,0.0,0.0
2016-01-31,21.68,21.68,21.68,0.0,0.0,21.68,21.68,21.68,0.0,0.0,21.59,21.59,21.59,0.0,0.0,21.6,21.6,21.6,0.0,0.0
2016-02-07,21.1,21.1,21.1,0.0,0.0,21.33,21.33,21.33,0.0,0.0,21.03,21.03,21.03,0.0,0.0,21.32,21.32,21.32,0.0,0.0
2016-02-14,21.87,21.87,21.87,0.0,0.0,21.95,21.95,21.95,0.0,0.0,21.87,21.87,21.87,0.0,0.0,21.95,21.95,21.95,0.0,0.0
2016-02-21,22.36,22.36,22.36,0.0,0.0,22.52,22.52,22.52,0.0,0.0,22.26,22.26,22.26,0.0,0.0,22.52,22.52,22.52,0.0,0.0
2016-02-28,23.01,23.01,23.01,0.0,0.0,23.01,23.01,23.01,0.0,0.0,23.01,23.01,23.01,0.0,0.0,23.01,23.01,23.01,0.0,0.0
2016-03-06,23.46,23.46,23.46,0.0,0.0,23.47,23.47,23.47,0.0,0.0,23.46,23.46,23.46,0.0,0.0,23.46,23.46,23.46,0.0,0.0
2016-03-13,23.5,23.5,23.5,0.0,0.0,23.66,23.66,23.66,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.64,23.64,23.64,0.0,0.0
2016-03-20,23.44,23.44,23.44,0.0,0.0,23.44,23.44,23.44,0.0,0.0,23.37,23.37,23.37,0.0,0.0,23.37,23.37,23.37,0.0,0.0
2016-03-27,23.6,23.6,23.6,0.0,0.0,23.6,23.6,23.6,0.0,0.0,23.6,23.6,23.6,0.0,0.0,23.6,23.6,23.6,0.0,0.0
2016-04-03,23.38,23.38,23.38,0.0,0.0,23.38,23.38,23.38,0.0,0.0,23.38,23.38,23.38,0.0,0.0,23.38,23.38,23.38,0.0,0.0
2016-04-10,23.38,23.38,23.38,0.0,0.0,23.38,23.38,23.38,0.0,0.0,23.38,23.38,23.38,0.0,0.0,23.38,23.38,23.38,0.0,0.0
2016-04-17,23.97,23.97,23.97,0.0,0.0,23.97,23.97,23.97,0.0,0.0,23.97,23.97,23.97,0.0,0.0,23.97,23.97,23.97,0.0,0.0
2016-04-24,23.6,23.6,23.6,0.0,0.0,23.6,23.6,23.6,0.0,0.0,23.6,23.6,23.6,0.0,0.0,23.6,23.6,23.6,0.0,0.0
2016-05-01,23.04,23.04,23.04,0.0,0.0,23.14,23.14,23.14,0.0,0.0,23.03,23.03,23.03,0.0,0.0,23.12,23.12,23.12,0.0,0.0
2016-05-08,23.36,23.36,23.36,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.25,23.25,23.25,0.0,0.0,23.25,23.25,23.25,0.0,0.0
2016-05-15,23.22,23.22,23.22,0.0,0.0,23.22,23.22,23.22,0.0,0.0,23.16,23.16,23.16,0.0,0.0,23.16,23.16,23.16,0.0,0.0
2016-05-22,23.67,23.67,23.67,0.0,0.0,23.73,23.73,23.73,0.0,0.0,23.67,23.67,23.67,0.0,0.0,23.73,23.73,23.73,0.0,0.0
2016-05-29,23.73,23.73,23.73,0.0,0.0,23.79,23.79,23.79,0.0,0.0,23.72,23.72,23.72,0.0,0.0,23.74,23.74,23.74,0.0,0.0
2016-06-05,23.81,23.81,23.81,0.0,0.0,23.82,23.82,23.82,0.0,0.0,23.81,23.81,23.81,0.0,0.0,23.82,23.82,23.82,0.0,0.0
2016-06-12,23.16,23.16,23.16,0.0,0.0,23.23,23.23,23.23,0.0,0.0,23.16,23.16,23.16,0.0,0.0,23.23,23.23,23.23,0.0,0.0
2016-06-19,23.53,23.53,23.53,0.0,0.0,23.55,23.55,23.55,0.0,0.0,23.53,23.53,23.53,0.0,0.0,23.53,23.53,23.53,0.0,0.0
2016-06-26,23.38,23.38,23.38,0.0,0.0,23.38,23.38,23.38,0.0,0.0,23.35,23.35,23.35,0.0,0.0,23.35,23.35,23.35,0.0,0.0
2016-07-03,23.85,23.85,23.85,0.0,0.0,23.88,23.88,23.88,0.0,0.0,23.81,23.81,23.81,0.0,0.0,23.84,23.84,23.84,0.0,0.0
2016-07-10,24.32,24.32,24.32,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.32,24.32,24.32,0.0,0.0
2016-07-17,24.2,24.2,24.2,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.32,24.32,24.32,0.0,0.0
2016-07-24,24.35,24.35,24.35,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.35,24.35,24.35,0.0,0.0
2016-07-31,24.47,24.47,24.47,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.43,24.43,24.43,0.0,0.0
2016-08-07,24.49,24.49,24.49,0.0,0.0,24.52,24.52,24.52,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.48,24.48,24.48,0.0,0.0
