Date,iShares MSCI Israel CappedEtf_Open_average,iShares MSCI Israel CappedEtf_Open_max,iShares MSCI Israel CappedEtf_Open_min,iShares MSCI Israel CappedEtf_Open_volatility,iShares MSCI Israel CappedEtf_Open_change,iShares MSCI Israel CappedEtf_High_average,iShares MSCI Israel CappedEtf_High_max,iShares MSCI Israel CappedEtf_High_min,iShares MSCI Israel CappedEtf_High_volatility,iShares MSCI Israel CappedEtf_High_change,iShares MSCI Israel CappedEtf_Low_average,iShares MSCI Israel CappedEtf_Low_max,iShares MSCI Israel CappedEtf_Low_min,iShares MSCI Israel CappedEtf_Low_volatility,iShares MSCI Israel CappedEtf_Low_change,iShares MSCI Israel CappedEtf_Close_average,iShares MSCI Israel CappedEtf_Close_max,iShares MSCI Israel CappedEtf_Close_min,iShares MSCI Israel CappedEtf_Close_volatility,iShares MSCI Israel CappedEtf_Close_change
2016-01-03,48.3,48.3,48.3,0.0,0.0,48.35,48.35,48.35,0.0,0.0,47.6,47.6,47.6,0.0,0.0,47.6,47.6,47.6,0.0,0.0
2016-01-10,46.13,46.13,46.13,0.0,0.0,46.19,46.19,46.19,0.0,0.0,45.57,45.57,45.57,0.0,0.0,45.89,45.89,45.89,0.0,0.0
2016-01-17,45.67,45.67,45.67,0.0,0.0,45.87,45.87,45.87,0.0,0.0,45.51,45.51,45.51,0.0,0.0,45.75,45.75,45.75,0.0,0.0
2016-01-24,45.84,45.84,45.84,0.0,0.0,46.08,46.08,46.08,0.0,0.0,45.8,45.8,45.8,0.0,0.0,46.07,46.07,46.07,0.0,0.0
2016-01-31,45.64,45.64,45.64,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.32,45.32,45.32,0.0,0.0,45.35,45.35,45.35,0.0,0.0
2016-02-07,43.72,43.72,43.72,0.0,0.0,44.11,44.11,44.11,0.0,0.0,43.65,43.65,43.65,0.0,0.0,44.01,44.01,44.01,0.0,0.0
2016-02-14,44.94,44.94,44.94,0.0,0.0,45.16,45.16,45.16,0.0,0.0,44.86,44.86,44.86,0.0,0.0,45.1,45.1,45.1,0.0,0.0
2016-02-21,46.4,46.4,46.4,0.0,0.0,46.4,46.4,46.4,0.0,0.0,45.78,45.78,45.78,0.0,0.0,45.97,45.97,45.97,0.0,0.0
2016-02-28,46.37,46.37,46.37,0.0,0.0,46.41,46.41,46.41,0.0,0.0,46.1,46.1,46.1,0.0,0.0,46.27,46.27,46.27,0.0,0.0
2016-03-06,46.59,46.59,46.59,0.0,0.0,47.08,47.08,47.08,0.0,0.0,46.59,46.59,46.59,0.0,0.0,47.02,47.02,47.02,0.0,0.0
