Date,PowerShares S&P SmallCap Information TechnologyEtf_Open_average,PowerShares S&P SmallCap Information TechnologyEtf_Open_max,PowerShares S&P SmallCap Information TechnologyEtf_Open_min,PowerShares S&P SmallCap Information TechnologyEtf_Open_volatility,PowerShares S&P SmallCap Information TechnologyEtf_Open_change,PowerShares S&P SmallCap Information TechnologyEtf_High_average,PowerShares S&P SmallCap Information TechnologyEtf_High_max,PowerShares S&P SmallCap Information TechnologyEtf_High_min,PowerShares S&P SmallCap Information TechnologyEtf_High_volatility,PowerShares S&P SmallCap Information TechnologyEtf_High_change,PowerShares S&P SmallCap Information TechnologyEtf_Low_average,PowerShares S&P SmallCap Information TechnologyEtf_Low_max,PowerShares S&P SmallCap Information TechnologyEtf_Low_min,PowerShares S&P SmallCap Information TechnologyEtf_Low_volatility,PowerShares S&P SmallCap Information TechnologyEtf_Low_change,PowerShares S&P SmallCap Information TechnologyEtf_Close_average,PowerShares S&P SmallCap Information TechnologyEtf_Close_max,PowerShares S&P SmallCap Information TechnologyEtf_Close_min,PowerShares S&P SmallCap Information TechnologyEtf_Close_volatility,PowerShares S&P SmallCap Information TechnologyEtf_Close_change
2016-01-03,48.89,48.89,48.89,0.0,0.0,49.16,49.16,49.16,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.81,47.81,47.81,0.0,0.0
2016-01-10,47.47,47.47,47.47,0.0,0.0,47.52,47.52,47.52,0.0,0.0,46.47,46.47,46.47,0.0,0.0,47.36,47.36,47.36,0.0,0.0
2016-01-17,48.05,48.05,48.05,0.0,0.0,48.47,48.47,48.47,0.0,0.0,47.99,47.99,47.99,0.0,0.0,48.45,48.45,48.45,0.0,0.0
2016-01-24,48.09,48.09,48.09,0.0,0.0,49.88,49.88,49.88,0.0,0.0,48.09,48.09,48.09,0.0,0.0,49.77,49.77,49.77,0.0,0.0
2016-01-31,49.27,49.27,49.27,0.0,0.0,49.27,49.27,49.27,0.0,0.0,47.83,47.83,47.83,0.0,0.0,47.83,47.83,47.83,0.0,0.0
2016-02-07,47.16,47.16,47.16,0.0,0.0,47.58,47.58,47.58,0.0,0.0,46.8,46.8,46.8,0.0,0.0,47.47,47.47,47.47,0.0,0.0
2016-02-14,49.52,49.52,49.52,0.0,0.0,50.12,50.12,50.12,0.0,0.0,49.38,49.38,49.38,0.0,0.0,50.02,50.02,50.02,0.0,0.0
2016-02-21,51.53,51.53,51.53,0.0,0.0,51.6,51.6,51.6,0.0,0.0,51.35,51.35,51.35,0.0,0.0,51.44,51.44,51.44,0.0,0.0
2016-02-28,53.03,53.03,53.03,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.01,53.01,53.01,0.0,0.0,53.15,53.15,53.15,0.0,0.0
2016-03-06,52.57,52.57,52.57,0.0,0.0,53.03,53.03,53.03,0.0,0.0,52.52,52.52,52.52,0.0,0.0,52.99,52.99,52.99,0.0,0.0
2016-03-13,53.72,53.72,53.72,0.0,0.0,54.13,54.13,54.13,0.0,0.0,53.68,53.68,53.68,0.0,0.0,54.13,54.13,54.13,0.0,0.0
2016-03-20,52.62,52.62,52.62,0.0,0.0,53.12,53.12,53.12,0.0,0.0,52.47,52.47,52.47,0.0,0.0,53.12,53.12,53.12,0.0,0.0
2016-03-27,54.67,54.67,54.67,0.0,0.0,55.14,55.14,55.14,0.0,0.0,54.32,54.32,54.32,0.0,0.0,55.14,55.14,55.14,0.0,0.0
2016-04-03,54.12,54.12,54.12,0.0,0.0,54.5,54.5,54.5,0.0,0.0,53.75,53.75,53.75,0.0,0.0,53.99,53.99,53.99,0.0,0.0
