Date,iShares MSCI Japan Small-CapEtf_Open_average,iShares MSCI Japan Small-CapEtf_Open_max,iShares MSCI Japan Small-CapEtf_Open_min,iShares MSCI Japan Small-CapEtf_Open_volatility,iShares MSCI Japan Small-CapEtf_Open_change,iShares MSCI Japan Small-CapEtf_High_average,iShares MSCI Japan Small-CapEtf_High_max,iShares MSCI Japan Small-CapEtf_High_min,iShares MSCI Japan Small-CapEtf_High_volatility,iShares MSCI Japan Small-CapEtf_High_change,iShares MSCI Japan Small-CapEtf_Low_average,iShares MSCI Japan Small-CapEtf_Low_max,iShares MSCI Japan Small-CapEtf_Low_min,iShares MSCI Japan Small-CapEtf_Low_volatility,iShares MSCI Japan Small-CapEtf_Low_change,iShares MSCI Japan Small-CapEtf_Close_average,iShares MSCI Japan Small-CapEtf_Close_max,iShares MSCI Japan Small-CapEtf_Close_min,iShares MSCI Japan Small-CapEtf_Close_volatility,iShares MSCI Japan Small-CapEtf_Close_change
2016-01-03,56.57,56.57,56.57,0.0,0.0,56.64,56.64,56.64,0.0,0.0,55.69,55.69,55.69,0.0,0.0,55.69,55.69,55.69,0.0,0.0
2016-01-10,54.38,54.38,54.38,0.0,0.0,54.67,54.67,54.67,0.0,0.0,54.21,54.21,54.21,0.0,0.0,54.46,54.46,54.46,0.0,0.0
2016-01-17,53.49,53.49,53.49,0.0,0.0,54.4,54.4,54.4,0.0,0.0,53.45,53.45,53.45,0.0,0.0,54.27,54.27,54.27,0.0,0.0
2016-01-24,55.4,55.4,55.4,0.0,0.0,56.18,56.18,56.18,0.0,0.0,55.4,55.4,55.4,0.0,0.0,56.15,56.15,56.15,0.0,0.0
2016-01-31,54.66,54.66,54.66,0.0,0.0,54.67,54.67,54.67,0.0,0.0,53.9,53.9,53.9,0.0,0.0,53.95,53.95,53.95,0.0,0.0
2016-02-07,51.17,51.17,51.17,0.0,0.0,51.86,51.86,51.86,0.0,0.0,50.94,50.94,50.94,0.0,0.0,51.76,51.76,51.76,0.0,0.0
2016-02-14,53.34,53.34,53.34,0.0,0.0,53.51,53.51,53.51,0.0,0.0,53.25,53.25,53.25,0.0,0.0,53.47,53.47,53.47,0.0,0.0
2016-02-21,55.37,55.37,55.37,0.0,0.0,55.37,55.37,55.37,0.0,0.0,54.83,54.83,54.83,0.0,0.0,54.9,54.9,54.9,0.0,0.0
2016-02-28,56.85,56.85,56.85,0.0,0.0,56.86,56.86,56.86,0.0,0.0,56.55,56.55,56.55,0.0,0.0,56.67,56.67,56.67,0.0,0.0
2016-03-06,56.88,56.88,56.88,0.0,0.0,57.17,57.17,57.17,0.0,0.0,56.78,56.78,56.78,0.0,0.0,57.17,57.17,57.17,0.0,0.0
