Date,MICR_stock_Open_average,MICR_stock_Open_max,MICR_stock_Open_min,MICR_stock_Open_volatility,MICR_stock_Open_change,MICR_stock_High_average,MICR_stock_High_max,MICR_stock_High_min,MICR_stock_High_volatility,MICR_stock_High_change,MICR_stock_Low_average,MICR_stock_Low_max,MICR_stock_Low_min,MICR_stock_Low_volatility,MICR_stock_Low_change,MICR_stock_Close_average,MICR_stock_Close_max,MICR_stock_Close_min,MICR_stock_Close_volatility,MICR_stock_Close_change,MICR_stock_Volume_average,MICR_stock_Volume_max,MICR_stock_Volume_min,MICR_stock_Volume_volatility,MICR_stock_Volume_change
2016-01-03,5.4366666666666665,5.45,5.41,0.040000000000000036,-0.040000000000000036,5.4366666666666665,5.45,5.41,0.040000000000000036,-0.040000000000000036,5.43,5.45,5.41,0.040000000000000036,-0.040000000000000036,5.43,5.45,5.41,0.040000000000000036,-0.040000000000000036,220,342,100,242,-242
2016-01-10,5.2575,5.41,5.2,0.20999999999999996,-0.20000000000000018,5.2575,5.41,5.2,0.20999999999999996,-0.20000000000000018,5.2325,5.41,5.1,0.3100000000000005,-0.20000000000000018,5.2425,5.41,5.14,0.27000000000000046,-0.20000000000000018,408,1256,100,1156,78
2016-01-17,4.725,4.95,4.5,0.4500000000000002,-0.4500000000000002,4.74,4.98,4.5,0.4800000000000004,-0.4800000000000004,4.62,4.74,4.5,0.2400000000000002,-0.2400000000000002,4.625,4.75,4.5,0.25,-0.25,2045,3990,100,3890,-3890
2016-01-24,4.546,4.71,4.34,0.3700000000000001,-0.3700000000000001,4.548,4.72,4.34,0.3799999999999999,-0.3799999999999999,4.488,4.65,4.34,0.3100000000000005,-0.08000000000000007,4.5360000000000005,4.66,4.34,0.3200000000000003,-0.3200000000000003,3242,13950,139,13811,-13711
2016-01-31,4.36,4.36,4.36,0.0,0.0,4.36,4.36,4.36,0.0,0.0,4.36,4.36,4.36,0.0,0.0,4.36,4.36,4.36,0.0,0.0,200,200,200,0,0
2016-02-07,4.23,4.23,4.23,0.0,0.0,4.23,4.23,4.23,0.0,0.0,4.21,4.21,4.21,0.0,0.0,4.21,4.21,4.21,0.0,0.0,400,400,400,0,0
2016-02-14,4.2,4.2,4.2,0.0,0.0,4.37,4.37,4.37,0.0,0.0,4.2,4.2,4.2,0.0,0.0,4.37,4.37,4.37,0.0,0.0,310,310,310,0,0
2016-02-21,4.21,4.21,4.21,0.0,0.0,4.21,4.21,4.21,0.0,0.0,4.21,4.21,4.21,0.0,0.0,4.21,4.21,4.21,0.0,0.0,101,101,101,0,0
2016-02-28,3.7800000000000002,3.81,3.75,0.06000000000000005,-0.06000000000000005,4.01,4.06,3.96,0.09999999999999964,-0.09999999999999964,3.75,3.75,3.75,0.0,0.0,3.9450000000000003,3.99,3.9,0.0900000000000003,-0.0900000000000003,1645,2076,1214,862,-862
2016-03-06,3.7966666666666664,4.04,3.55,0.4900000000000002,-0.25,3.913333333333333,4.04,3.8,0.2400000000000002,0.10000000000000009,3.76,3.93,3.55,0.38000000000000034,-0.25,3.8866666666666667,3.96,3.8,0.16000000000000014,0.10000000000000009,1014,1974,268,1706,1706
2016-03-13,3.96,4.1,3.84,0.2599999999999998,0.2599999999999998,4.0024999999999995,4.1,3.84,0.2599999999999998,0.2599999999999998,3.91,4.05,3.84,0.20999999999999996,0.06000000000000005,3.975,4.09,3.84,0.25,0.1900000000000004,735,1745,110,1635,1635
2016-03-20,4.2425,4.67,4.1,0.5700000000000003,0.5700000000000003,4.3125,4.76,4.1,0.6600000000000001,0.6600000000000001,4.205,4.6,4.02,0.5800000000000001,0.5,4.2625,4.73,4.02,0.7100000000000009,0.6300000000000008,2033,5058,200,4858,4858
2016-03-27,4.49,4.78,4.33,0.4500000000000002,-0.4500000000000002,4.49,4.78,4.33,0.4500000000000002,-0.4500000000000002,4.343333333333334,4.55,4.12,0.4299999999999997,-0.4299999999999997,4.386666666666667,4.55,4.25,0.2999999999999998,-0.2999999999999998,499,899,190,709,489
2016-04-03,4.206,4.3,4.17,0.1299999999999999,-0.010000000000000675,4.25,4.3,4.17,0.1299999999999999,-0.1200000000000001,4.178,4.19,4.17,0.020000000000000462,-0.010000000000000675,4.218,4.3,4.17,0.1299999999999999,-0.08999999999999986,1049,2500,100,2400,-1879
2016-04-10,4.0,4.08,3.9,0.18000000000000016,-0.18000000000000016,4.0575,4.09,4.01,0.08000000000000007,-0.03000000000000025,3.8775,4.01,3.8,0.20999999999999996,0.10000000000000009,4.0325,4.09,3.99,0.09999999999999964,0.04999999999999982,519,776,400,376,275
2016-04-17,4.1,4.1,4.1,0.0,0.0,4.1,4.1,4.1,0.0,0.0,4.1,4.1,4.1,0.0,0.0,4.1,4.1,4.1,0.0,0.0,104,104,104,0,0
2016-04-24,4.02,4.02,4.02,0.0,0.0,4.1,4.1,4.1,0.0,0.0,4.02,4.02,4.02,0.0,0.0,4.1,4.1,4.1,0.0,0.0,207,207,207,0,0
