Date,FRO_stock_Open_average,FRO_stock_Open_max,FRO_stock_Open_min,FRO_stock_Open_volatility,FRO_stock_Open_change,FRO_stock_High_average,FRO_stock_High_max,FRO_stock_High_min,FRO_stock_High_volatility,FRO_stock_High_change,FRO_stock_Low_average,FRO_stock_Low_max,FRO_stock_Low_min,FRO_stock_Low_volatility,FRO_stock_Low_change,FRO_stock_Close_average,FRO_stock_Close_max,FRO_stock_Close_min,FRO_stock_Close_volatility,FRO_stock_Close_change,FRO_stock_Volume_average,FRO_stock_Volume_max,FRO_stock_Volume_min,FRO_stock_Volume_volatility,FRO_stock_Volume_change
2016-01-03,13.200000000000001,14.55,11.8,2.75,-1.9000000000000004,13.48,14.75,12.2,2.5500000000000007,-1.9000000000000004,12.844,14.25,11.65,2.5999999999999996,-2.2799999999999994,13.07,14.65,11.75,2.9000000000000004,-2.4000000000000004,743188,1027280,467496,559784,211240
2016-01-10,11.26,12.1,10.2,1.9000000000000004,-1.9000000000000004,11.378,12.2,10.45,1.75,-1.75,10.594,11.6,9.9,1.6999999999999993,-1.6999999999999993,10.81,11.65,10.15,1.5,-1.5,833417,1071119,499908,571211,396729
2016-01-17,10.5875,11.0,10.05,0.9499999999999993,0.15000000000000036,10.88,11.25,10.15,1.0999999999999996,0.3200000000000003,10.087499999999999,10.6,9.35,1.25,0.40000000000000036,10.575,10.9,10.1,0.8000000000000007,0.40000000000000036,760606,816786,719921,96865,-8148
2016-01-24,10.870000000000001,11.05,10.75,0.3000000000000007,-0.09999999999999964,11.033999999999999,11.2,10.95,0.25,0.05000000000000071,10.49,10.7,10.25,0.4499999999999993,0.4499999999999993,10.69,10.9,10.3,0.5999999999999996,0.5999999999999996,484299,580957,382879,198078,153108
2016-01-31,10.152,10.75,9.87,0.8800000000000008,-0.8800000000000008,10.45,10.8,9.98,0.8200000000000003,-0.8200000000000003,9.552,10.15,9.07,1.08,-1.08,9.842,10.4,9.22,1.1799999999999997,-1.1799999999999997,1221980,2052263,389167,1663096,1162223
2016-02-07,8.24,8.65,7.9,0.75,-0.39000000000000057,8.57,8.73,8.34,0.39000000000000057,0.07000000000000028,7.974,8.14,7.78,0.3600000000000003,0.21000000000000085,8.32,8.59,8.15,0.4399999999999995,0.16999999999999993,1043666,1649146,727465,921681,-878499
2016-02-14,8.8275,9.14,8.54,0.6000000000000014,0.22000000000000064,9.125,9.39,8.87,0.5200000000000014,0.23000000000000043,8.64,8.85,8.37,0.4800000000000004,0.26000000000000156,8.9525,9.23,8.74,0.4900000000000002,0.3200000000000003,649787,985791,495126,490665,30304
2016-02-21,9.268,9.66,8.97,0.6899999999999995,-0.28000000000000114,9.411999999999999,9.7,9.19,0.5099999999999998,-0.4599999999999991,8.946,9.24,8.75,0.4900000000000002,-0.33999999999999986,9.17,9.44,9.02,0.41999999999999993,-0.41999999999999993,609258,805162,465736,339426,-169843
2016-02-28,8.946,9.16,8.68,0.4800000000000004,-0.040000000000000924,9.22,9.97,8.82,1.1500000000000004,0.7200000000000006,8.77,9.12,8.37,0.75,0.29999999999999893,9.074,9.86,8.75,1.1099999999999994,1.0099999999999998,1056147,1369988,759720,610268,246231
2016-03-06,9.186,9.81,8.65,1.1600000000000001,-0.5899999999999999,9.374,9.82,8.8,1.0199999999999996,-0.2400000000000002,8.802,9.57,8.25,1.3200000000000003,-0.6500000000000004,9.04,9.7,8.5,1.1999999999999993,-0.14999999999999858,1150195,1762262,781685,980577,384873
2016-03-13,9.336,9.62,9.11,0.5099999999999998,-0.3999999999999986,9.46,9.67,9.32,0.34999999999999964,-0.34999999999999964,9.102,9.27,8.91,0.35999999999999943,-0.35999999999999943,9.288,9.51,8.94,0.5700000000000003,-0.5700000000000003,679123,1167572,441645,725927,355484
2016-03-20,8.1725,8.65,7.6,1.0500000000000007,-1.0500000000000007,8.32,8.72,7.84,0.8800000000000008,-0.8800000000000008,7.9350000000000005,8.41,7.42,0.9900000000000002,-0.9900000000000002,8.0875,8.49,7.77,0.7200000000000006,-0.6699999999999999,988691,1198334,677672,520662,-168980
2016-03-27,8.06,8.39,7.78,0.6100000000000003,0.3899999999999997,8.214,8.55,7.9,0.6500000000000004,0.5,7.856,8.21,7.51,0.7000000000000011,0.5299999999999994,8.092,8.38,7.63,0.7500000000000009,0.7500000000000009,926116,1127460,784722,342738,27379
2016-04-03,7.706,8.24,7.49,0.75,-0.7300000000000004,7.854,8.27,7.62,0.6499999999999995,-0.5299999999999994,7.556,7.88,7.4,0.47999999999999954,-0.3700000000000001,7.7059999999999995,7.89,7.43,0.45999999999999996,-0.1999999999999993,900277,1029559,769333,260226,-140227
2016-04-10,7.888,8.28,7.65,0.629999999999999,0.15000000000000036,8.076,8.29,7.86,0.4299999999999988,-0.1200000000000001,7.752,8.01,7.57,0.4399999999999995,-0.05999999999999961,7.948,8.23,7.75,0.4800000000000004,-0.04999999999999982,900379,1172185,692395,479790,215747
2016-04-17,8.256,8.63,7.81,0.8200000000000012,0.8200000000000012,8.544,8.74,8.04,0.7000000000000011,0.7000000000000011,8.182,8.54,7.74,0.7999999999999989,0.7999999999999989,8.366,8.59,7.84,0.75,0.75,992114,1646615,677035,969580,-163745
