Date,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Open_average,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Open_max,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Open_min,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Open_volatility,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Open_change,PowerShares S&P SmallCap Consumer DiscretionaryEtf_High_average,PowerShares S&P SmallCap Consumer DiscretionaryEtf_High_max,PowerShares S&P SmallCap Consumer DiscretionaryEtf_High_min,PowerShares S&P SmallCap Consumer DiscretionaryEtf_High_volatility,PowerShares S&P SmallCap Consumer DiscretionaryEtf_High_change,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Low_average,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Low_max,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Low_min,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Low_volatility,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Low_change,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Close_average,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Close_max,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Close_min,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Close_volatility,PowerShares S&P SmallCap Consumer DiscretionaryEtf_Close_change
2016-01-03,43.91,43.91,43.91,0.0,0.0,43.91,43.91,43.91,0.0,0.0,42.56,42.56,42.56,0.0,0.0,42.56,42.56,42.56,0.0,0.0
2016-01-10,41.5,41.5,41.5,0.0,0.0,41.95,41.95,41.95,0.0,0.0,40.95,40.95,40.95,0.0,0.0,41.8,41.8,41.8,0.0,0.0
2016-01-17,42.09,42.09,42.09,0.0,0.0,42.57,42.57,42.57,0.0,0.0,42.09,42.09,42.09,0.0,0.0,42.57,42.57,42.57,0.0,0.0
2016-01-24,42.61,42.61,42.61,0.0,0.0,43.82,43.82,43.82,0.0,0.0,42.61,42.61,42.61,0.0,0.0,43.82,43.82,43.82,0.0,0.0
2016-01-31,42.86,42.86,42.86,0.0,0.0,42.86,42.86,42.86,0.0,0.0,41.88,41.88,41.88,0.0,0.0,41.9,41.9,41.9,0.0,0.0
2016-02-07,41.19,41.19,41.19,0.0,0.0,41.79,41.79,41.79,0.0,0.0,41.16,41.16,41.16,0.0,0.0,41.72,41.72,41.72,0.0,0.0
2016-02-14,43.4,43.4,43.4,0.0,0.0,43.97,43.97,43.97,0.0,0.0,43.29,43.29,43.29,0.0,0.0,43.85,43.85,43.85,0.0,0.0
2016-02-21,45.98,45.98,45.98,0.0,0.0,45.98,45.98,45.98,0.0,0.0,45.5,45.5,45.5,0.0,0.0,45.68,45.68,45.68,0.0,0.0
2016-02-28,47.61,47.61,47.61,0.0,0.0,47.92,47.92,47.92,0.0,0.0,47.6,47.6,47.6,0.0,0.0,47.68,47.68,47.68,0.0,0.0
2016-03-06,47.63,47.63,47.63,0.0,0.0,48.24,48.24,48.24,0.0,0.0,47.63,47.63,47.63,0.0,0.0,48.24,48.24,48.24,0.0,0.0
2016-03-13,48.79,48.79,48.79,0.0,0.0,49.05,49.05,49.05,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.91,48.91,48.91,0.0,0.0
2016-03-20,47.04,47.04,47.04,0.0,0.0,47.44,47.44,47.44,0.0,0.0,46.9,46.9,46.9,0.0,0.0,47.44,47.44,47.44,0.0,0.0
