Date,Reality Shares DIVS_etf_Open_average,Reality Shares DIVS_etf_Open_max,Reality Shares DIVS_etf_Open_min,Reality Shares DIVS_etf_Open_volatility,Reality Shares DIVS_etf_Open_change,Reality Shares DIVS_etf_High_average,Reality Shares DIVS_etf_High_max,Reality Shares DIVS_etf_High_min,Reality Shares DIVS_etf_High_volatility,Reality Shares DIVS_etf_High_change,Reality Shares DIVS_etf_Low_average,Reality Shares DIVS_etf_Low_max,Reality Shares DIVS_etf_Low_min,Reality Shares DIVS_etf_Low_volatility,Reality Shares DIVS_etf_Low_change,Reality Shares DIVS_etf_Close_average,Reality Shares DIVS_etf_Close_max,Reality Shares DIVS_etf_Close_min,Reality Shares DIVS_etf_Close_volatility,Reality Shares DIVS_etf_Close_change
2016-01-03,23.2,23.2,23.2,0.0,0.0,23.22,23.22,23.22,0.0,0.0,23.15,23.15,23.15,0.0,0.0,23.18,23.18,23.18,0.0,0.0
2016-01-10,23.01,23.01,23.01,0.0,0.0,23.01,23.01,23.01,0.0,0.0,23.0,23.0,23.0,0.0,0.0,23.0,23.0,23.0,0.0,0.0
2016-01-17,22.96,22.96,22.96,0.0,0.0,23.72,23.72,23.72,0.0,0.0,22.96,22.96,22.96,0.0,0.0,23.16,23.16,23.16,0.0,0.0
2016-01-24,23.0,23.0,23.0,0.0,0.0,23.17,23.17,23.17,0.0,0.0,23.0,23.0,23.0,0.0,0.0,23.14,23.14,23.14,0.0,0.0
2016-01-31,23.09,23.09,23.09,0.0,0.0,23.09,23.09,23.09,0.0,0.0,22.98,22.98,22.98,0.0,0.0,22.98,22.98,22.98,0.0,0.0
2016-02-07,22.55,22.55,22.55,0.0,0.0,22.64,22.64,22.64,0.0,0.0,22.53,22.53,22.53,0.0,0.0,22.53,22.53,22.53,0.0,0.0
2016-02-14,22.83,22.83,22.83,0.0,0.0,22.9,22.9,22.9,0.0,0.0,22.83,22.83,22.83,0.0,0.0,22.9,22.9,22.9,0.0,0.0
2016-02-21,22.67,22.67,22.67,0.0,0.0,22.71,22.71,22.71,0.0,0.0,22.67,22.67,22.67,0.0,0.0,22.67,22.67,22.67,0.0,0.0
2016-02-28,22.61,22.61,22.61,0.0,0.0,22.69,22.69,22.69,0.0,0.0,22.52,22.52,22.52,0.0,0.0,22.63,22.63,22.63,0.0,0.0
2016-03-06,22.73,22.73,22.73,0.0,0.0,22.8,22.8,22.8,0.0,0.0,22.73,22.73,22.73,0.0,0.0,22.8,22.8,22.8,0.0,0.0
2016-03-13,22.87,22.87,22.87,0.0,0.0,22.87,22.87,22.87,0.0,0.0,22.8,22.8,22.8,0.0,0.0,22.8,22.8,22.8,0.0,0.0
2016-03-20,22.93,22.93,22.93,0.0,0.0,23.0,23.0,23.0,0.0,0.0,22.93,22.93,22.93,0.0,0.0,23.0,23.0,23.0,0.0,0.0
2016-03-27,23.1,23.1,23.1,0.0,0.0,23.15,23.15,23.15,0.0,0.0,22.89,22.89,22.89,0.0,0.0,22.98,22.98,22.98,0.0,0.0
2016-04-03,23.02,23.02,23.02,0.0,0.0,23.07,23.07,23.07,0.0,0.0,22.95,22.95,22.95,0.0,0.0,23.02,23.02,23.02,0.0,0.0
2016-04-10,23.13,23.13,23.13,0.0,0.0,23.41,23.41,23.41,0.0,0.0,23.01,23.01,23.01,0.0,0.0,23.23,23.23,23.23,0.0,0.0
2016-04-17,23.2,23.2,23.2,0.0,0.0,23.34,23.34,23.34,0.0,0.0,23.1,23.1,23.1,0.0,0.0,23.26,23.26,23.26,0.0,0.0
2016-04-24,23.23,23.23,23.23,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.21,23.21,23.21,0.0,0.0,23.41,23.41,23.41,0.0,0.0
