Date,AlphaClone Alternative AlphaEtf_Open_average,AlphaClone Alternative AlphaEtf_Open_max,AlphaClone Alternative AlphaEtf_Open_min,AlphaClone Alternative AlphaEtf_Open_volatility,AlphaClone Alternative AlphaEtf_Open_change,AlphaClone Alternative AlphaEtf_High_average,AlphaClone Alternative AlphaEtf_High_max,AlphaClone Alternative AlphaEtf_High_min,AlphaClone Alternative AlphaEtf_High_volatility,AlphaClone Alternative AlphaEtf_High_change,AlphaClone Alternative AlphaEtf_Low_average,AlphaClone Alternative AlphaEtf_Low_max,AlphaClone Alternative AlphaEtf_Low_min,AlphaClone Alternative AlphaEtf_Low_volatility,AlphaClone Alternative AlphaEtf_Low_change,AlphaClone Alternative AlphaEtf_Close_average,AlphaClone Alternative AlphaEtf_Close_max,AlphaClone Alternative AlphaEtf_Close_min,AlphaClone Alternative AlphaEtf_Close_volatility,AlphaClone Alternative AlphaEtf_Close_change
2016-01-03,36.57,36.57,36.57,0.0,0.0,36.57,36.57,36.57,0.0,0.0,36.15,36.15,36.15,0.0,0.0,36.16,36.16,36.16,0.0,0.0
2016-01-10,34.81,34.81,34.81,0.0,0.0,35.58,35.58,35.58,0.0,0.0,34.43,34.43,34.43,0.0,0.0,35.58,35.58,35.58,0.0,0.0
2016-01-17,35.61,35.61,35.61,0.0,0.0,35.9,35.9,35.9,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.69,35.69,35.69,0.0,0.0
2016-01-24,35.15,35.15,35.15,0.0,0.0,35.15,35.15,35.15,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.79,34.79,34.79,0.0,0.0
2016-01-31,34.83,34.83,34.83,0.0,0.0,34.96,34.96,34.96,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.72,34.72,34.72,0.0,0.0
2016-02-07,34.3,34.3,34.3,0.0,0.0,34.47,34.47,34.47,0.0,0.0,34.24,34.24,34.24,0.0,0.0,34.47,34.47,34.47,0.0,0.0
2016-02-14,34.54,34.54,34.54,0.0,0.0,34.9,34.9,34.9,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.74,34.74,34.74,0.0,0.0
2016-02-21,34.94,34.94,34.94,0.0,0.0,35.19,35.19,35.19,0.0,0.0,34.86,34.86,34.86,0.0,0.0,35.05,35.05,35.05,0.0,0.0
2016-02-28,34.42,34.42,34.42,0.0,0.0,34.47,34.47,34.47,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.35,34.35,34.35,0.0,0.0
2016-03-06,34.19,34.19,34.19,0.0,0.0,34.45,34.45,34.45,0.0,0.0,34.19,34.19,34.19,0.0,0.0,34.45,34.45,34.45,0.0,0.0
