Date,SPDR MSCI World StrategicFactors_etf_Open_average,SPDR MSCI World StrategicFactors_etf_Open_max,SPDR MSCI World StrategicFactors_etf_Open_min,SPDR MSCI World StrategicFactors_etf_Open_volatility,SPDR MSCI World StrategicFactors_etf_Open_change,SPDR MSCI World StrategicFactors_etf_High_average,SPDR MSCI World StrategicFactors_etf_High_max,SPDR MSCI World StrategicFactors_etf_High_min,SPDR MSCI World StrategicFactors_etf_High_volatility,SPDR MSCI World StrategicFactors_etf_High_change,SPDR MSCI World StrategicFactors_etf_Low_average,SPDR MSCI World StrategicFactors_etf_Low_max,SPDR MSCI World StrategicFactors_etf_Low_min,SPDR MSCI World StrategicFactors_etf_Low_volatility,SPDR MSCI World StrategicFactors_etf_Low_change,SPDR MSCI World StrategicFactors_etf_Close_average,SPDR MSCI World StrategicFactors_etf_Close_max,SPDR MSCI World StrategicFactors_etf_Close_min,SPDR MSCI World StrategicFactors_etf_Close_volatility,SPDR MSCI World StrategicFactors_etf_Close_change
2016-01-03,56.98,56.98,56.98,0.0,0.0,56.98,56.98,56.98,0.0,0.0,56.98,56.98,56.98,0.0,0.0,56.98,56.98,56.98,0.0,0.0
2016-01-10,58.0,58.0,58.0,0.0,0.0,58.0,58.0,58.0,0.0,0.0,56.25,56.25,56.25,0.0,0.0,56.25,56.25,56.25,0.0,0.0
2016-01-17,53.82,53.82,53.82,0.0,0.0,53.82,53.82,53.82,0.0,0.0,53.82,53.82,53.82,0.0,0.0,53.82,53.82,53.82,0.0,0.0
2016-01-24,57.15,57.15,57.15,0.0,0.0,57.15,57.15,57.15,0.0,0.0,57.15,57.15,57.15,0.0,0.0,57.15,57.15,57.15,0.0,0.0
2016-01-31,56.35,56.35,56.35,0.0,0.0,56.5,56.5,56.5,0.0,0.0,56.35,56.35,56.35,0.0,0.0,56.45,56.45,56.45,0.0,0.0
2016-02-07,55.68,55.68,55.68,0.0,0.0,55.68,55.68,55.68,0.0,0.0,55.68,55.68,55.68,0.0,0.0,55.68,55.68,55.68,0.0,0.0
2016-02-14,58.2,58.2,58.2,0.0,0.0,58.25,58.25,58.25,0.0,0.0,57.85,57.85,57.85,0.0,0.0,57.85,57.85,57.85,0.0,0.0
2016-02-21,57.28,57.28,57.28,0.0,0.0,57.28,57.28,57.28,0.0,0.0,57.27,57.27,57.27,0.0,0.0,57.27,57.27,57.27,0.0,0.0
2016-02-28,58.33,58.33,58.33,0.0,0.0,58.33,58.33,58.33,0.0,0.0,58.33,58.33,58.33,0.0,0.0,58.33,58.33,58.33,0.0,0.0
2016-03-06,59.4,59.4,59.4,0.0,0.0,59.54,59.54,59.54,0.0,0.0,59.4,59.4,59.4,0.0,0.0,59.54,59.54,59.54,0.0,0.0
