Date,BOSC_stock_Open_average,BOSC_stock_Open_max,BOSC_stock_Open_min,BOSC_stock_Open_volatility,BOSC_stock_Open_change,BOSC_stock_High_average,BOSC_stock_High_max,BOSC_stock_High_min,BOSC_stock_High_volatility,BOSC_stock_High_change,BOSC_stock_Low_average,BOSC_stock_Low_max,BOSC_stock_Low_min,BOSC_stock_Low_volatility,BOSC_stock_Low_change,BOSC_stock_Close_average,BOSC_stock_Close_max,BOSC_stock_Close_min,BOSC_stock_Close_volatility,BOSC_stock_Close_change,BOSC_stock_Volume_average,BOSC_stock_Volume_max,BOSC_stock_Volume_min,BOSC_stock_Volume_volatility,BOSC_stock_Volume_change
2016-01-03,1.932,2.0,1.83,0.16999999999999993,-0.16999999999999993,1.98,2.05,1.89,0.15999999999999992,-0.07000000000000006,1.8914,2.0,1.82,0.17999999999999994,-0.11699999999999977,1.9194,2.03,1.83,0.19999999999999973,-0.016999999999999904,4587,11408,462,10946,151
2016-01-10,1.8008,1.87,1.724,0.14600000000000013,-0.09000000000000008,1.874,1.98,1.8,0.17999999999999994,0.1259999999999999,1.7608,1.84,1.7,0.14000000000000012,-0.06000000000000005,1.7912,1.8659999999999999,1.75,0.11599999999999988,-0.06000000000000005,13477,35761,1901,33860,6498
2016-01-17,1.778,1.8019999999999998,1.72,0.08199999999999985,-0.0019999999999997797,1.8525,1.91,1.8,0.10999999999999988,-0.10999999999999988,1.6875,1.72,1.65,0.07000000000000006,-0.020000000000000018,1.6949999999999998,1.72,1.68,0.040000000000000036,-0.020000000000000018,11634,25992,500,25492,-25492
2016-01-24,1.7978,1.83,1.72,0.1100000000000001,0.018999999999999906,1.806,1.84,1.72,0.1200000000000001,0.020000000000000018,1.7636,1.81,1.72,0.09000000000000008,-0.05600000000000005,1.7858,1.829,1.72,0.10899999999999999,0.018999999999999906,2361,5875,100,5775,5587
2016-01-31,1.788,1.85,1.73,0.1200000000000001,-0.09000000000000008,1.818,1.85,1.8,0.050000000000000044,-0.050000000000000044,1.714,1.74,1.68,0.06000000000000005,-0.040000000000000036,1.736,1.75,1.72,0.030000000000000027,-0.010000000000000009,6700,10797,400,10397,10397
2016-02-07,1.772,1.8,1.72,0.08000000000000007,0.040000000000000036,1.792,1.85,1.72,0.13000000000000012,0.040000000000000036,1.664,1.72,1.6,0.11999999999999988,-0.039999999999999813,1.7,1.75,1.64,0.1100000000000001,0.010000000000000009,6110,16198,200,15998,15998
2016-02-14,1.7149999999999999,1.76,1.65,0.1100000000000001,0.050000000000000044,1.78,1.84,1.74,0.10000000000000009,0.040000000000000036,1.6675,1.74,1.63,0.1100000000000001,0.1100000000000001,1.7,1.75,1.65,0.10000000000000009,0.050000000000000044,6576,14200,300,13900,6092
2016-02-21,1.72375,1.767,1.7,0.06699999999999995,-0.0389999999999997,1.7355,1.7719999999999998,1.7,0.07199999999999984,-0.041999999999999815,1.68775,1.7280000000000002,1.63,0.09800000000000031,0.0050000000000001155,1.6957499999999999,1.73,1.66,0.07000000000000006,0.006999999999999895,6500,23650,352,23298,148
2016-02-28,1.78,1.86,1.73,0.13000000000000012,-0.010000000000000009,1.78,1.86,1.73,0.13000000000000012,-0.010000000000000009,1.746,1.79,1.69,0.10000000000000009,-0.010000000000000009,1.76,1.79,1.73,0.06000000000000005,-0.010000000000000009,1142,4400,0,4400,-214
2016-03-06,1.706,1.79,1.66,0.13000000000000012,0.040000000000000036,1.778,1.79,1.74,0.050000000000000044,0.010000000000000009,1.698,1.75,1.66,0.09000000000000008,0.040000000000000036,1.752,1.79,1.72,0.07000000000000006,0.06000000000000005,3128,6700,490,6210,-4550
