Date,CANF_stock_Open_average,CANF_stock_Open_max,CANF_stock_Open_min,CANF_stock_Open_volatility,CANF_stock_Open_change,CANF_stock_High_average,CANF_stock_High_max,CANF_stock_High_min,CANF_stock_High_volatility,CANF_stock_High_change,CANF_stock_Low_average,CANF_stock_Low_max,CANF_stock_Low_min,CANF_stock_Low_volatility,CANF_stock_Low_change,CANF_stock_Close_average,CANF_stock_Close_max,CANF_stock_Close_min,CANF_stock_Close_volatility,CANF_stock_Close_change,CANF_stock_Volume_average,CANF_stock_Volume_max,CANF_stock_Volume_min,CANF_stock_Volume_volatility,CANF_stock_Volume_change
2016-01-03,2.852,3.05,2.64,0.4099999999999997,-0.27,2.866,3.05,2.67,0.3799999999999999,-0.28000000000000025,2.658,2.85,2.36,0.4900000000000002,-0.4900000000000002,2.68,2.85,2.4,0.4500000000000002,-0.4500000000000002,30335,40809,18968,21841,12979
2016-01-10,2.32,2.64,2.03,0.6100000000000003,-0.6100000000000003,2.356,2.64,2.03,0.6100000000000003,-0.6100000000000003,2.13,2.29,1.87,0.41999999999999993,-0.4099999999999997,2.238,2.4,1.99,0.4099999999999999,-0.4099999999999999,20487,30170,11175,18995,1767
2016-01-17,2.09,2.31,1.91,0.40000000000000013,-0.16000000000000014,2.18,2.31,2.0,0.31000000000000005,-0.06000000000000005,1.9925,2.15,1.89,0.26,0.1299999999999999,2.085,2.16,2.0,0.16000000000000014,0.1200000000000001,32605,71197,12496,58701,-58701
2016-01-24,2.168,2.19,2.14,0.04999999999999982,-0.020000000000000018,2.222,2.25,2.2,0.04999999999999982,-0.040000000000000036,2.138,2.17,2.1,0.06999999999999984,0.009999999999999787,2.198,2.23,2.17,0.06000000000000005,0.03000000000000025,8237,14007,2728,11279,-6577
2016-01-31,2.128,2.17,2.06,0.10999999999999988,0.04999999999999982,2.192,2.25,2.13,0.1200000000000001,0.020000000000000018,2.096,2.15,2.03,0.1200000000000001,0.029999999999999805,2.13,2.18,2.07,0.11000000000000032,-0.03000000000000025,6590,11850,2320,9530,-3210
2016-02-07,2.022,2.15,1.95,0.19999999999999996,-0.16999999999999993,2.058,2.15,1.99,0.15999999999999992,-0.10000000000000009,1.962,2.0,1.91,0.09000000000000008,-0.030000000000000027,2.01,2.05,1.96,0.08999999999999986,0.009999999999999787,9961,15849,5031,10818,-9443
2016-02-14,2.1799999999999997,2.34,2.05,0.29000000000000004,0.29000000000000004,2.35,2.51,2.14,0.36999999999999966,0.19999999999999973,2.14,2.25,2.05,0.20000000000000018,0.15000000000000036,2.255,2.32,2.12,0.19999999999999973,0.16999999999999993,12334,21650,2355,19295,2245
2016-02-21,2.202,2.3,2.12,0.17999999999999972,-0.05999999999999961,2.22,2.3,2.16,0.13999999999999968,-0.05999999999999961,2.118,2.16,2.05,0.11000000000000032,-0.010000000000000231,2.178,2.21,2.15,0.06000000000000005,-0.04999999999999982,6191,9820,3424,6396,-6396
2016-02-28,2.274,2.46,2.13,0.33000000000000007,0.2799999999999998,2.326,2.52,2.17,0.3500000000000001,0.2799999999999998,2.19,2.29,2.1,0.18999999999999995,0.1599999999999997,2.274,2.43,2.11,0.3200000000000003,0.3200000000000003,12070,32049,3505,28544,5682
2016-03-06,2.39,2.58,2.25,0.33000000000000007,-0.18999999999999995,2.402,2.58,2.27,0.31000000000000005,-0.22999999999999998,2.264,2.39,2.15,0.2400000000000002,-0.16000000000000014,2.298,2.42,2.21,0.20999999999999996,-0.16000000000000014,5509,10258,2319,7939,-4786
