Date,Vanguard ValueEtf_Open_average,Vanguard ValueEtf_Open_max,Vanguard ValueEtf_Open_min,Vanguard ValueEtf_Open_volatility,Vanguard ValueEtf_Open_change,Vanguard ValueEtf_High_average,Vanguard ValueEtf_High_max,Vanguard ValueEtf_High_min,Vanguard ValueEtf_High_volatility,Vanguard ValueEtf_High_change,Vanguard ValueEtf_Low_average,Vanguard ValueEtf_Low_max,Vanguard ValueEtf_Low_min,Vanguard ValueEtf_Low_volatility,Vanguard ValueEtf_Low_change,Vanguard ValueEtf_Close_average,Vanguard ValueEtf_Close_max,Vanguard ValueEtf_Close_min,Vanguard ValueEtf_Close_volatility,Vanguard ValueEtf_Close_change
2016-01-03,78.4,78.4,78.4,0.0,0.0,78.4,78.4,78.4,0.0,0.0,76.69,76.69,76.69,0.0,0.0,76.86,76.86,76.86,0.0,0.0
2016-01-10,75.0,75.0,75.0,0.0,0.0,75.54,75.54,75.54,0.0,0.0,74.33,74.33,74.33,0.0,0.0,75.24,75.24,75.24,0.0,0.0
2016-01-17,75.67,75.67,75.67,0.0,0.0,75.84,75.84,75.84,0.0,0.0,75.15,75.15,75.15,0.0,0.0,75.76,75.76,75.76,0.0,0.0
2016-01-24,76.23,76.23,76.23,0.0,0.0,77.65,77.65,77.65,0.0,0.0,76.2,76.2,76.2,0.0,0.0,77.64,77.64,77.64,0.0,0.0
2016-01-31,76.71,76.71,76.71,0.0,0.0,76.79,76.79,76.79,0.0,0.0,75.69,75.69,75.69,0.0,0.0,76.0,76.0,76.0,0.0,0.0
2016-02-07,74.46,74.46,74.46,0.0,0.0,75.34,75.34,75.34,0.0,0.0,74.24,74.24,74.24,0.0,0.0,75.32,75.32,75.32,0.0,0.0
2016-02-14,77.17,77.17,77.17,0.0,0.0,77.41,77.41,77.41,0.0,0.0,76.83,76.83,76.83,0.0,0.0,77.35,77.35,77.35,0.0,0.0
2016-02-21,79.05,79.05,79.05,0.0,0.0,79.11,79.11,79.11,0.0,0.0,78.36,78.36,78.36,0.0,0.0,78.4,78.4,78.4,0.0,0.0
2016-02-28,80.55,80.55,80.55,0.0,0.0,81.16,81.16,81.16,0.0,0.0,80.22,80.22,80.22,0.0,0.0,80.81,80.81,80.81,0.0,0.0
2016-03-06,81.3,81.3,81.3,0.0,0.0,81.93,81.93,81.93,0.0,0.0,81.29,81.29,81.29,0.0,0.0,81.89,81.89,81.89,0.0,0.0
2016-03-13,82.83,82.83,82.83,0.0,0.0,83.08,83.08,83.08,0.0,0.0,82.6,82.6,82.6,0.0,0.0,82.89,82.89,82.89,0.0,0.0
2016-03-20,81.17,81.17,81.17,0.0,0.0,81.66,81.66,81.66,0.0,0.0,81.05,81.05,81.05,0.0,0.0,81.66,81.66,81.66,0.0,0.0
2016-03-27,81.76,81.76,81.76,0.0,0.0,82.84,82.84,82.84,0.0,0.0,81.65,81.65,81.65,0.0,0.0,82.76,82.76,82.76,0.0,0.0
2016-04-03,81.91,81.91,81.91,0.0,0.0,82.19,82.19,82.19,0.0,0.0,81.45,81.45,81.45,0.0,0.0,81.67,81.67,81.67,0.0,0.0
2016-04-10,83.41,83.41,83.41,0.0,0.0,83.48,83.48,83.48,0.0,0.0,83.12,83.12,83.12,0.0,0.0,83.28,83.28,83.28,0.0,0.0
2016-04-17,84.08,84.08,84.08,0.0,0.0,84.37,84.37,84.37,0.0,0.0,83.95,83.95,83.95,0.0,0.0,84.34,84.34,84.34,0.0,0.0
2016-04-24,83.8,83.8,83.8,0.0,0.0,83.97,83.97,83.97,0.0,0.0,83.1,83.1,83.1,0.0,0.0,83.64,83.64,83.64,0.0,0.0
2016-05-01,82.39,82.39,82.39,0.0,0.0,83.0,83.0,83.0,0.0,0.0,82.29,82.29,82.29,0.0,0.0,82.96,82.96,82.96,0.0,0.0
2016-05-08,83.23,83.23,83.23,0.0,0.0,83.47,83.47,83.47,0.0,0.0,82.37,82.37,82.37,0.0,0.0,82.53,82.53,82.53,0.0,0.0
2016-05-15,82.83,82.83,82.83,0.0,0.0,83.19,83.19,83.19,0.0,0.0,82.73,82.73,82.73,0.0,0.0,82.93,82.93,82.93,0.0,0.0
2016-05-22,84.42,84.42,84.42,0.0,0.0,84.66,84.66,84.66,0.0,0.0,84.36,84.36,84.36,0.0,0.0,84.66,84.66,84.66,0.0,0.0
2016-05-29,84.67,84.67,84.67,0.0,0.0,84.87,84.87,84.87,0.0,0.0,84.18,84.18,84.18,0.0,0.0,84.69,84.69,84.69,0.0,0.0
2016-06-05,85.0,85.0,85.0,0.0,0.0,85.22,85.22,85.22,0.0,0.0,84.62,84.62,84.62,0.0,0.0,84.88,84.88,84.88,0.0,0.0
2016-06-12,83.7,83.7,83.7,0.0,0.0,83.79,83.79,83.79,0.0,0.0,83.22,83.22,83.22,0.0,0.0,83.65,83.65,83.65,0.0,0.0
2016-06-19,82.69,82.69,82.69,0.0,0.0,83.9,83.9,83.9,0.0,0.0,82.19,82.19,82.19,0.0,0.0,82.35,82.35,82.35,0.0,0.0
2016-06-26,84.88,84.88,84.88,0.0,0.0,85.23,85.23,85.23,0.0,0.0,84.88,84.88,84.88,0.0,0.0,85.02,85.02,85.02,0.0,0.0
2016-07-03,85.2,85.2,85.2,0.0,0.0,85.92,85.92,85.92,0.0,0.0,85.13,85.13,85.13,0.0,0.0,85.82,85.82,85.82,0.0,0.0
2016-07-10,87.69,87.69,87.69,0.0,0.0,87.79,87.79,87.79,0.0,0.0,87.13,87.13,87.13,0.0,0.0,87.42,87.42,87.42,0.0,0.0
2016-07-17,87.48,87.48,87.48,0.0,0.0,87.91,87.91,87.91,0.0,0.0,87.43,87.43,87.43,0.0,0.0,87.88,87.88,87.88,0.0,0.0
