Date,First Trust FTSE EPRANAREIT Global Developed MarkEtf_Open_average,First Trust FTSE EPRANAREIT Global Developed MarkEtf_Open_max,First Trust FTSE EPRANAREIT Global Developed MarkEtf_Open_min,First Trust FTSE EPRANAREIT Global Developed MarkEtf_Open_volatility,First Trust FTSE EPRANAREIT Global Developed MarkEtf_Open_change,First Trust FTSE EPRANAREIT Global Developed MarkEtf_High_average,First Trust FTSE EPRANAREIT Global Developed MarkEtf_High_max,First Trust FTSE EPRANAREIT Global Developed MarkEtf_High_min,First Trust FTSE EPRANAREIT Global Developed MarkEtf_High_volatility,First Trust FTSE EPRANAREIT Global Developed MarkEtf_High_change,First Trust FTSE EPRANAREIT Global Developed MarkEtf_Low_average,First Trust FTSE EPRANAREIT Global Developed MarkEtf_Low_max,First Trust FTSE EPRANAREIT Global Developed MarkEtf_Low_min,First Trust FTSE EPRANAREIT Global Developed MarkEtf_Low_volatility,First Trust FTSE EPRANAREIT Global Developed MarkEtf_Low_change,First Trust FTSE EPRANAREIT Global Developed MarkEtf_Close_average,First Trust FTSE EPRANAREIT Global Developed MarkEtf_Close_max,First Trust FTSE EPRANAREIT Global Developed MarkEtf_Close_min,First Trust FTSE EPRANAREIT Global Developed MarkEtf_Close_volatility,First Trust FTSE EPRANAREIT Global Developed MarkEtf_Close_change
2016-01-03,41.11,41.11,41.11,0.0,0.0,41.11,41.11,41.11,0.0,0.0,40.64,40.64,40.64,0.0,0.0,40.64,40.64,40.64,0.0,0.0
2016-01-10,39.41,39.41,39.41,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.22,39.22,39.22,0.0,0.0,39.55,39.55,39.55,0.0,0.0
2016-01-17,39.84,39.84,39.84,0.0,0.0,40.05,40.05,40.05,0.0,0.0,39.77,39.77,39.77,0.0,0.0,39.92,39.92,39.92,0.0,0.0
2016-01-24,40.12,40.12,40.12,0.0,0.0,40.58,40.58,40.58,0.0,0.0,40.12,40.12,40.12,0.0,0.0,40.55,40.55,40.55,0.0,0.0
2016-01-31,40.53,40.53,40.53,0.0,0.0,40.53,40.53,40.53,0.0,0.0,40.01,40.01,40.01,0.0,0.0,40.01,40.01,40.01,0.0,0.0
2016-02-07,38.56,38.56,38.56,0.0,0.0,38.78,38.78,38.78,0.0,0.0,38.26,38.26,38.26,0.0,0.0,38.74,38.74,38.74,0.0,0.0
2016-02-14,40.41,40.41,40.41,0.0,0.0,40.56,40.56,40.56,0.0,0.0,40.36,40.36,40.36,0.0,0.0,40.5,40.5,40.5,0.0,0.0
2016-02-21,41.07,41.07,41.07,0.0,0.0,41.09,41.09,41.09,0.0,0.0,40.97,40.97,40.97,0.0,0.0,41.04,41.04,41.04,0.0,0.0
2016-02-28,42.25,42.25,42.25,0.0,0.0,42.5,42.5,42.5,0.0,0.0,42.1,42.1,42.1,0.0,0.0,42.41,42.41,42.41,0.0,0.0
2016-03-06,42.69,42.69,42.69,0.0,0.0,42.92,42.92,42.92,0.0,0.0,42.69,42.69,42.69,0.0,0.0,42.92,42.92,42.92,0.0,0.0
