Date,PIMCO Broad US TIPS Exchange-Traded_etf_Open_average,PIMCO Broad US TIPS Exchange-Traded_etf_Open_max,PIMCO Broad US TIPS Exchange-Traded_etf_Open_min,PIMCO Broad US TIPS Exchange-Traded_etf_Open_volatility,PIMCO Broad US TIPS Exchange-Traded_etf_Open_change,PIMCO Broad US TIPS Exchange-Traded_etf_High_average,PIMCO Broad US TIPS Exchange-Traded_etf_High_max,PIMCO Broad US TIPS Exchange-Traded_etf_High_min,PIMCO Broad US TIPS Exchange-Traded_etf_High_volatility,PIMCO Broad US TIPS Exchange-Traded_etf_High_change,PIMCO Broad US TIPS Exchange-Traded_etf_Low_average,PIMCO Broad US TIPS Exchange-Traded_etf_Low_max,PIMCO Broad US TIPS Exchange-Traded_etf_Low_min,PIMCO Broad US TIPS Exchange-Traded_etf_Low_volatility,PIMCO Broad US TIPS Exchange-Traded_etf_Low_change,PIMCO Broad US TIPS Exchange-Traded_etf_Close_average,PIMCO Broad US TIPS Exchange-Traded_etf_Close_max,PIMCO Broad US TIPS Exchange-Traded_etf_Close_min,PIMCO Broad US TIPS Exchange-Traded_etf_Close_volatility,PIMCO Broad US TIPS Exchange-Traded_etf_Close_change
2016-01-03,55.64,55.64,55.64,0.0,0.0,55.68,55.68,55.68,0.0,0.0,55.64,55.64,55.64,0.0,0.0,55.68,55.68,55.68,0.0,0.0
2016-01-10,55.84,55.84,55.84,0.0,0.0,55.84,55.84,55.84,0.0,0.0,55.67,55.67,55.67,0.0,0.0,55.69,55.69,55.69,0.0,0.0
2016-01-17,55.45,55.45,55.45,0.0,0.0,55.57,55.57,55.57,0.0,0.0,55.45,55.45,55.45,0.0,0.0,55.57,55.57,55.57,0.0,0.0
2016-01-24,55.7,55.7,55.7,0.0,0.0,55.93,55.93,55.93,0.0,0.0,55.63,55.63,55.63,0.0,0.0,55.91,55.91,55.91,0.0,0.0
2016-01-31,56.42,56.42,56.42,0.0,0.0,56.42,56.42,56.42,0.0,0.0,56.31,56.31,56.31,0.0,0.0,56.36,56.36,56.36,0.0,0.0
2016-02-07,56.58,56.58,56.58,0.0,0.0,56.58,56.58,56.58,0.0,0.0,56.39,56.39,56.39,0.0,0.0,56.45,56.45,56.45,0.0,0.0
2016-02-14,56.36,56.36,56.36,0.0,0.0,56.37,56.37,56.37,0.0,0.0,56.19,56.19,56.19,0.0,0.0,56.24,56.24,56.24,0.0,0.0
2016-02-21,56.8,56.8,56.8,0.0,0.0,56.82,56.82,56.82,0.0,0.0,56.79,56.79,56.79,0.0,0.0,56.82,56.82,56.82,0.0,0.0
2016-02-28,57.03,57.03,57.03,0.0,0.0,57.04,57.04,57.04,0.0,0.0,56.76,56.76,56.76,0.0,0.0,56.89,56.89,56.89,0.0,0.0
2016-03-06,56.45,56.45,56.45,0.0,0.0,56.55,56.55,56.55,0.0,0.0,56.44,56.44,56.44,0.0,0.0,56.55,56.55,56.55,0.0,0.0
