Date,PowerShares FTSE RAFI US 1500 Small MidEtf_Open_average,PowerShares FTSE RAFI US 1500 Small MidEtf_Open_max,PowerShares FTSE RAFI US 1500 Small MidEtf_Open_min,PowerShares FTSE RAFI US 1500 Small MidEtf_Open_volatility,PowerShares FTSE RAFI US 1500 Small MidEtf_Open_change,PowerShares FTSE RAFI US 1500 Small MidEtf_High_average,PowerShares FTSE RAFI US 1500 Small MidEtf_High_max,PowerShares FTSE RAFI US 1500 Small MidEtf_High_min,PowerShares FTSE RAFI US 1500 Small MidEtf_High_volatility,PowerShares FTSE RAFI US 1500 Small MidEtf_High_change,PowerShares FTSE RAFI US 1500 Small MidEtf_Low_average,PowerShares FTSE RAFI US 1500 Small MidEtf_Low_max,PowerShares FTSE RAFI US 1500 Small MidEtf_Low_min,PowerShares FTSE RAFI US 1500 Small MidEtf_Low_volatility,PowerShares FTSE RAFI US 1500 Small MidEtf_Low_change,PowerShares FTSE RAFI US 1500 Small MidEtf_Close_average,PowerShares FTSE RAFI US 1500 Small MidEtf_Close_max,PowerShares FTSE RAFI US 1500 Small MidEtf_Close_min,PowerShares FTSE RAFI US 1500 Small MidEtf_Close_volatility,PowerShares FTSE RAFI US 1500 Small MidEtf_Close_change
2016-01-03,88.79,88.79,88.79,0.0,0.0,88.95,88.95,88.95,0.0,0.0,86.85,86.85,86.85,0.0,0.0,86.95,86.95,86.95,0.0,0.0
2016-01-10,83.06,83.06,83.06,0.0,0.0,83.96,83.96,83.96,0.0,0.0,81.88,81.88,81.88,0.0,0.0,83.87,83.87,83.87,0.0,0.0
2016-01-17,84.12,84.12,84.12,0.0,0.0,84.94,84.94,84.94,0.0,0.0,83.91,83.91,83.91,0.0,0.0,84.71,84.71,84.71,0.0,0.0
2016-01-24,84.27,84.27,84.27,0.0,0.0,86.77,86.77,86.77,0.0,0.0,84.27,84.27,84.27,0.0,0.0,86.77,86.77,86.77,0.0,0.0
2016-01-31,85.02,85.02,85.02,0.0,0.0,85.02,85.02,85.02,0.0,0.0,83.27,83.27,83.27,0.0,0.0,83.33,83.33,83.33,0.0,0.0
2016-02-07,81.49,81.49,81.49,0.0,0.0,82.51,82.51,82.51,0.0,0.0,81.27,81.27,81.27,0.0,0.0,82.37,82.37,82.37,0.0,0.0
2016-02-14,84.82,84.82,84.82,0.0,0.0,85.46,85.46,85.46,0.0,0.0,84.74,84.74,84.74,0.0,0.0,85.44,85.44,85.44,0.0,0.0
2016-02-21,88.01,88.01,88.01,0.0,0.0,88.01,88.01,88.01,0.0,0.0,88.01,88.01,88.01,0.0,0.0,88.01,88.01,88.01,0.0,0.0
2016-02-28,91.63,91.63,91.63,0.0,0.0,92.64,92.64,92.64,0.0,0.0,91.43,91.43,91.43,0.0,0.0,92.08,92.08,92.08,0.0,0.0
2016-03-06,91.57,91.57,91.57,0.0,0.0,92.9,92.9,92.9,0.0,0.0,91.57,91.57,91.57,0.0,0.0,92.9,92.9,92.9,0.0,0.0
2016-03-13,93.76,93.76,93.76,0.0,0.0,94.66,94.66,94.66,0.0,0.0,93.76,93.76,93.76,0.0,0.0,94.31,94.31,94.31,0.0,0.0
2016-03-20,90.54,90.54,90.54,0.0,0.0,91.77,91.77,91.77,0.0,0.0,90.18,90.18,90.18,0.0,0.0,91.77,91.77,91.77,0.0,0.0
2016-03-27,93.45,93.45,93.45,0.0,0.0,94.32,94.32,94.32,0.0,0.0,93.13,93.13,93.13,0.0,0.0,94.31,94.31,94.31,0.0,0.0
2016-04-03,92.79,92.79,92.79,0.0,0.0,93.35,93.35,93.35,0.0,0.0,92.25,92.25,92.25,0.0,0.0,92.65,92.65,92.65,0.0,0.0
2016-04-10,95.46,95.46,95.46,0.0,0.0,96.19,96.19,96.19,0.0,0.0,95.37,95.37,95.37,0.0,0.0,96.01,96.01,96.01,0.0,0.0
2016-04-17,97.13,97.13,97.13,0.0,0.0,98.36,98.36,98.36,0.0,0.0,97.13,97.13,97.13,0.0,0.0,98.19,98.19,98.19,0.0,0.0
2016-04-24,98.12,98.12,98.12,0.0,0.0,98.3,98.3,98.3,0.0,0.0,96.8,96.8,96.8,0.0,0.0,97.47,97.47,97.47,0.0,0.0
2016-05-01,95.26,95.26,95.26,0.0,0.0,95.82,95.82,95.82,0.0,0.0,95.04,95.04,95.04,0.0,0.0,95.81,95.81,95.81,0.0,0.0
2016-05-08,94.59,94.59,94.59,0.0,0.0,95.19,95.19,95.19,0.0,0.0,93.98,93.98,93.98,0.0,0.0,94.09,94.09,94.09,0.0,0.0
2016-05-15,93.35,93.35,93.35,0.0,0.0,94.56,94.56,94.56,0.0,0.0,93.35,93.35,93.35,0.0,0.0,94.44,94.44,94.44,0.0,0.0
2016-05-22,96.55,96.55,96.55,0.0,0.0,97.5,97.5,97.5,0.0,0.0,96.55,96.55,96.55,0.0,0.0,97.5,97.5,97.5,0.0,0.0
2016-05-29,98.94,98.94,98.94,0.0,0.0,98.94,98.94,98.94,0.0,0.0,97.88,97.88,97.88,0.0,0.0,98.61,98.61,98.61,0.0,0.0
2016-06-05,99.35,99.35,99.35,0.0,0.0,99.58,99.58,99.58,0.0,0.0,98.4,98.4,98.4,0.0,0.0,98.62,98.62,98.62,0.0,0.0
2016-06-12,96.85,96.85,96.85,0.0,0.0,97.57,97.57,97.57,0.0,0.0,96.56,96.56,96.56,0.0,0.0,96.91,96.91,96.91,0.0,0.0
2016-06-19,94.5,94.5,94.5,0.0,0.0,96.62,96.62,96.62,0.0,0.0,94.5,94.5,94.5,0.0,0.0,95.4,95.4,95.4,0.0,0.0
2016-06-26,97.63,97.63,97.63,0.0,0.0,98.45,98.45,98.45,0.0,0.0,97.49,97.49,97.49,0.0,0.0,98.05,98.05,98.05,0.0,0.0
2016-07-03,98.22,98.22,98.22,0.0,0.0,99.72,99.72,99.72,0.0,0.0,98.21,98.21,98.21,0.0,0.0,99.56,99.56,99.56,0.0,0.0
2016-07-10,102.41,102.41,102.41,0.0,0.0,102.55,102.55,102.55,0.0,0.0,101.9,101.9,101.9,0.0,0.0,102.24,102.24,102.24,0.0,0.0
2016-07-17,101.68,101.68,101.68,0.0,0.0,102.41,102.41,102.41,0.0,0.0,101.41,101.41,101.41,0.0,0.0,102.27,102.27,102.27,0.0,0.0
2016-07-24,102.15,102.15,102.15,0.0,0.0,102.99,102.99,102.99,0.0,0.0,101.69,101.69,101.69,0.0,0.0,102.58,102.58,102.58,0.0,0.0
2016-07-31,102.53,102.53,102.53,0.0,0.0,103.63,103.63,103.63,0.0,0.0,102.47,102.47,102.47,0.0,0.0,103.37,103.37,103.37,0.0,0.0
2016-08-07,103.68,103.68,103.68,0.0,0.0,103.87,103.87,103.87,0.0,0.0,103.15,103.15,103.15,0.0,0.0,103.53,103.53,103.53,0.0,0.0
2016-08-14,104.49,104.49,104.49,0.0,0.0,104.74,104.74,104.74,0.0,0.0,104.35,104.35,104.35,0.0,0.0,104.7,104.7,104.7,0.0,0.0
2016-08-21,105.3,105.3,105.3,0.0,0.0,105.88,105.88,105.88,0.0,0.0,104.24,104.24,104.24,0.0,0.0,104.79,104.79,104.79,0.0,0.0
2016-08-28,105.58,105.58,105.58,0.0,0.0,106.14,106.14,106.14,0.0,0.0,105.45,105.45,105.45,0.0,0.0,106.1,106.1,106.1,0.0,0.0
2016-09-04,105.76,105.76,105.76,0.0,0.0,105.76,105.76,105.76,0.0,0.0,103.24,103.24,103.24,0.0,0.0,103.24,103.24,103.24,0.0,0.0
2016-09-11,102.28,102.28,102.28,0.0,0.0,102.59,102.59,102.59,0.0,0.0,102.09,102.09,102.09,0.0,0.0,102.57,102.57,102.57,0.0,0.0
2016-09-18,105.53,105.53,105.53,0.0,0.0,105.66,105.66,105.66,0.0,0.0,104.88,104.88,104.88,0.0,0.0,104.92,104.92,104.92,0.0,0.0
2016-09-25,104.94,104.94,104.94,0.0,0.0,105.76,105.76,105.76,0.0,0.0,104.6,104.6,104.6,0.0,0.0,105.39,105.39,105.39,0.0,0.0
2016-10-02,105.56,105.56,105.56,0.0,0.0,105.56,105.56,105.56,0.0,0.0,104.0,104.0,104.0,0.0,0.0,104.4,104.4,104.4,0.0,0.0
2016-10-09,103.45,103.45,103.45,0.0,0.0,103.96,103.96,103.96,0.0,0.0,102.89,102.89,102.89,0.0,0.0,103.02,103.02,103.02,0.0,0.0
2016-10-16,103.11,103.11,103.11,0.0,0.0,103.77,103.77,103.77,0.0,0.0,103.11,103.11,103.11,0.0,0.0,103.53,103.53,103.53,0.0,0.0
2016-10-23,101.46,101.46,101.46,0.0,0.0,102.0,102.0,102.0,0.0,0.0,100.92,100.92,100.92,0.0,0.0,101.08,101.08,101.08,0.0,0.0
2016-10-30,99.11,99.11,99.11,0.0,0.0,100.43,100.43,100.43,0.0,0.0,98.94,98.94,98.94,0.0,0.0,99.53,99.53,99.53,0.0,0.0
2016-11-06,106.58,106.58,106.58,0.0,0.0,108.43,108.43,108.43,0.0,0.0,106.35,106.35,106.35,0.0,0.0,108.23,108.23,108.23,0.0,0.0
2016-11-13,111.17,111.17,111.17,0.0,0.0,111.41,111.41,111.41,0.0,0.0,110.83,110.83,110.83,0.0,0.0,111.33,111.33,111.33,0.0,0.0
2016-11-20,113.86,113.86,113.86,0.0,0.0,114.02,114.02,114.02,0.0,0.0,113.81,113.81,113.81,0.0,0.0,114.02,114.02,114.02,0.0,0.0
2016-11-27,112.24,112.24,112.24,0.0,0.0,112.81,112.81,112.81,0.0,0.0,112.17,112.17,112.17,0.0,0.0,112.36,112.36,112.36,0.0,0.0
2016-12-04,118.93,118.93,118.93,0.0,0.0,119.17,119.17,119.17,0.0,0.0,118.38,118.38,118.38,0.0,0.0,118.8,118.8,118.8,0.0,0.0
2016-12-11,116.44,116.44,116.44,0.0,0.0,117.01,117.01,117.01,0.0,0.0,115.42,115.42,115.42,0.0,0.0,115.58,115.58,115.58,0.0,0.0
2016-12-18,115.89,115.89,115.89,0.0,0.0,116.36,116.36,116.36,0.0,0.0,115.89,115.89,115.89,0.0,0.0,116.35,116.35,116.35,0.0,0.0
2016-12-25,116.13,116.13,116.13,0.0,0.0,116.13,116.13,116.13,0.0,0.0,114.97,114.97,114.97,0.0,0.0,115.29,115.29,115.29,0.0,0.0
