Date,WisdomTree Managed Futures StrategyEtf_Open_average,WisdomTree Managed Futures StrategyEtf_Open_max,WisdomTree Managed Futures StrategyEtf_Open_min,WisdomTree Managed Futures StrategyEtf_Open_volatility,WisdomTree Managed Futures StrategyEtf_Open_change,WisdomTree Managed Futures StrategyEtf_High_average,WisdomTree Managed Futures StrategyEtf_High_max,WisdomTree Managed Futures StrategyEtf_High_min,WisdomTree Managed Futures StrategyEtf_High_volatility,WisdomTree Managed Futures StrategyEtf_High_change,WisdomTree Managed Futures StrategyEtf_Low_average,WisdomTree Managed Futures StrategyEtf_Low_max,WisdomTree Managed Futures StrategyEtf_Low_min,WisdomTree Managed Futures StrategyEtf_Low_volatility,WisdomTree Managed Futures StrategyEtf_Low_change,WisdomTree Managed Futures StrategyEtf_Close_average,WisdomTree Managed Futures StrategyEtf_Close_max,WisdomTree Managed Futures StrategyEtf_Close_min,WisdomTree Managed Futures StrategyEtf_Close_volatility,WisdomTree Managed Futures StrategyEtf_Close_change
2016-01-03,41.96,41.96,41.96,0.0,0.0,41.99,41.99,41.99,0.0,0.0,41.8,41.8,41.8,0.0,0.0,41.84,41.84,41.84,0.0,0.0
2016-01-10,42.26,42.26,42.26,0.0,0.0,42.38,42.38,42.38,0.0,0.0,42.22,42.22,42.22,0.0,0.0,42.26,42.26,42.26,0.0,0.0
2016-01-17,41.85,41.85,41.85,0.0,0.0,41.93,41.93,41.93,0.0,0.0,41.8,41.8,41.8,0.0,0.0,41.83,41.83,41.83,0.0,0.0
2016-01-24,41.67,41.67,41.67,0.0,0.0,41.67,41.67,41.67,0.0,0.0,41.31,41.31,41.31,0.0,0.0,41.33,41.33,41.33,0.0,0.0
2016-01-31,41.96,41.96,41.96,0.0,0.0,42.06,42.06,42.06,0.0,0.0,41.9,41.9,41.9,0.0,0.0,42.02,42.02,42.02,0.0,0.0
2016-02-07,42.9,42.9,42.9,0.0,0.0,42.9,42.9,42.9,0.0,0.0,42.76,42.76,42.76,0.0,0.0,42.79,42.79,42.79,0.0,0.0
2016-02-14,42.65,42.65,42.65,0.0,0.0,42.83,42.83,42.83,0.0,0.0,42.65,42.65,42.65,0.0,0.0,42.71,42.71,42.71,0.0,0.0
2016-02-21,42.71,42.71,42.71,0.0,0.0,42.73,42.73,42.73,0.0,0.0,42.6,42.6,42.6,0.0,0.0,42.67,42.67,42.67,0.0,0.0
2016-02-28,42.44,42.44,42.44,0.0,0.0,42.44,42.44,42.44,0.0,0.0,42.24,42.24,42.24,0.0,0.0,42.26,42.26,42.26,0.0,0.0
2016-03-06,42.07,42.07,42.07,0.0,0.0,42.08,42.08,42.08,0.0,0.0,41.84,41.84,41.84,0.0,0.0,41.87,41.87,41.87,0.0,0.0
2016-03-13,41.85,41.85,41.85,0.0,0.0,41.91,41.91,41.91,0.0,0.0,41.79,41.79,41.79,0.0,0.0,41.86,41.86,41.86,0.0,0.0
2016-03-20,42.09,42.09,42.09,0.0,0.0,42.09,42.09,42.09,0.0,0.0,41.85,41.85,41.85,0.0,0.0,41.87,41.87,41.87,0.0,0.0
2016-03-27,41.88,41.88,41.88,0.0,0.0,42.04,42.04,42.04,0.0,0.0,41.83,41.83,41.83,0.0,0.0,41.97,41.97,41.97,0.0,0.0
2016-04-03,42.05,42.05,42.05,0.0,0.0,42.13,42.13,42.13,0.0,0.0,42.0,42.0,42.0,0.0,0.0,42.13,42.13,42.13,0.0,0.0
2016-04-10,42.32,42.32,42.32,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.32,42.32,42.32,0.0,0.0,42.4,42.4,42.4,0.0,0.0
2016-04-17,42.31,42.31,42.31,0.0,0.0,42.35,42.35,42.35,0.0,0.0,42.03,42.03,42.03,0.0,0.0,42.07,42.07,42.07,0.0,0.0
2016-04-24,42.85,42.85,42.85,0.0,0.0,42.98,42.98,42.98,0.0,0.0,42.82,42.82,42.82,0.0,0.0,42.95,42.95,42.95,0.0,0.0
2016-05-01,42.1,42.1,42.1,0.0,0.0,42.35,42.35,42.35,0.0,0.0,42.1,42.1,42.1,0.0,0.0,42.23,42.23,42.23,0.0,0.0
2016-05-08,42.32,42.32,42.32,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.27,42.27,42.27,0.0,0.0,42.34,42.34,42.34,0.0,0.0
2016-05-15,42.54,42.54,42.54,0.0,0.0,42.54,42.54,42.54,0.0,0.0,42.34,42.34,42.34,0.0,0.0,42.48,42.48,42.48,0.0,0.0
2016-05-22,42.63,42.63,42.63,0.0,0.0,42.72,42.72,42.72,0.0,0.0,42.57,42.57,42.57,0.0,0.0,42.64,42.64,42.64,0.0,0.0
2016-05-29,42.67,42.67,42.67,0.0,0.0,42.7,42.7,42.7,0.0,0.0,42.55,42.55,42.55,0.0,0.0,42.69,42.69,42.69,0.0,0.0
