Date,Arrow Dow Jones Global Yield_etf_Open_average,Arrow Dow Jones Global Yield_etf_Open_max,Arrow Dow Jones Global Yield_etf_Open_min,Arrow Dow Jones Global Yield_etf_Open_volatility,Arrow Dow Jones Global Yield_etf_Open_change,Arrow Dow Jones Global Yield_etf_High_average,Arrow Dow Jones Global Yield_etf_High_max,Arrow Dow Jones Global Yield_etf_High_min,Arrow Dow Jones Global Yield_etf_High_volatility,Arrow Dow Jones Global Yield_etf_High_change,Arrow Dow Jones Global Yield_etf_Low_average,Arrow Dow Jones Global Yield_etf_Low_max,Arrow Dow Jones Global Yield_etf_Low_min,Arrow Dow Jones Global Yield_etf_Low_volatility,Arrow Dow Jones Global Yield_etf_Low_change,Arrow Dow Jones Global Yield_etf_Close_average,Arrow Dow Jones Global Yield_etf_Close_max,Arrow Dow Jones Global Yield_etf_Close_min,Arrow Dow Jones Global Yield_etf_Close_volatility,Arrow Dow Jones Global Yield_etf_Close_change
2016-01-03,16.49,16.49,16.49,0.0,0.0,16.69,16.69,16.69,0.0,0.0,16.38,16.38,16.38,0.0,0.0,16.4,16.4,16.4,0.0,0.0
2016-01-10,15.68,15.68,15.68,0.0,0.0,15.82,15.82,15.82,0.0,0.0,15.15,15.15,15.15,0.0,0.0,15.37,15.37,15.37,0.0,0.0
2016-01-17,15.23,15.23,15.23,0.0,0.0,15.71,15.71,15.71,0.0,0.0,15.23,15.23,15.23,0.0,0.0,15.53,15.53,15.53,0.0,0.0
2016-01-24,15.99,15.99,15.99,0.0,0.0,16.23,16.23,16.23,0.0,0.0,15.99,15.99,15.99,0.0,0.0,16.19,16.19,16.19,0.0,0.0
2016-01-31,16.17,16.17,16.17,0.0,0.0,16.26,16.26,16.26,0.0,0.0,16.0,16.0,16.0,0.0,0.0,16.06,16.06,16.06,0.0,0.0
2016-02-07,15.35,15.35,15.35,0.0,0.0,15.5,15.5,15.5,0.0,0.0,15.29,15.29,15.29,0.0,0.0,15.38,15.38,15.38,0.0,0.0
2016-02-14,15.67,15.67,15.67,0.0,0.0,15.69,15.69,15.69,0.0,0.0,15.52,15.52,15.52,0.0,0.0,15.65,15.65,15.65,0.0,0.0
2016-02-21,16.02,16.02,16.02,0.0,0.0,16.02,16.02,16.02,0.0,0.0,15.83,15.83,15.83,0.0,0.0,15.95,15.95,15.95,0.0,0.0
2016-02-28,16.94,16.94,16.94,0.0,0.0,17.15,17.15,17.15,0.0,0.0,16.83,16.83,16.83,0.0,0.0,17.06,17.06,17.06,0.0,0.0
2016-03-06,17.47,17.47,17.47,0.0,0.0,17.49,17.49,17.49,0.0,0.0,17.39,17.39,17.39,0.0,0.0,17.44,17.44,17.44,0.0,0.0
2016-03-13,17.68,17.68,17.68,0.0,0.0,17.78,17.78,17.78,0.0,0.0,17.59,17.59,17.59,0.0,0.0,17.62,17.62,17.62,0.0,0.0
2016-03-20,17.15,17.15,17.15,0.0,0.0,17.35,17.35,17.35,0.0,0.0,17.15,17.15,17.15,0.0,0.0,17.34,17.34,17.34,0.0,0.0
2016-03-27,17.7,17.7,17.7,0.0,0.0,17.7,17.7,17.7,0.0,0.0,17.4,17.4,17.4,0.0,0.0,17.59,17.59,17.59,0.0,0.0
2016-04-03,17.48,17.48,17.48,0.0,0.0,17.62,17.62,17.62,0.0,0.0,17.48,17.48,17.48,0.0,0.0,17.62,17.62,17.62,0.0,0.0
2016-04-10,18.16,18.16,18.16,0.0,0.0,18.28,18.28,18.28,0.0,0.0,18.11,18.11,18.11,0.0,0.0,18.18,18.18,18.18,0.0,0.0
2016-04-17,18.47,18.47,18.47,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.47,18.47,18.47,0.0,0.0,18.72,18.72,18.72,0.0,0.0
2016-04-24,19.24,19.24,19.24,0.0,0.0,19.34,19.34,19.34,0.0,0.0,19.02,19.02,19.02,0.0,0.0,19.07,19.07,19.07,0.0,0.0
2016-05-01,18.75,18.75,18.75,0.0,0.0,18.76,18.76,18.76,0.0,0.0,18.53,18.53,18.53,0.0,0.0,18.56,18.56,18.56,0.0,0.0
2016-05-08,18.6,18.6,18.6,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.31,18.31,18.31,0.0,0.0,18.31,18.31,18.31,0.0,0.0
2016-05-15,18.07,18.07,18.07,0.0,0.0,18.38,18.38,18.38,0.0,0.0,18.07,18.07,18.07,0.0,0.0,18.15,18.15,18.15,0.0,0.0
2016-05-22,18.41,18.41,18.41,0.0,0.0,18.67,18.67,18.67,0.0,0.0,18.32,18.32,18.32,0.0,0.0,18.33,18.33,18.33,0.0,0.0
2016-05-29,18.53,18.53,18.53,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.54,18.54,18.54,0.0,0.0
2016-06-05,18.98,18.98,18.98,0.0,0.0,19.08,19.08,19.08,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.63,18.63,18.63,0.0,0.0
2016-06-12,18.31,18.31,18.31,0.0,0.0,18.33,18.33,18.33,0.0,0.0,18.16,18.16,18.16,0.0,0.0,18.28,18.28,18.28,0.0,0.0
2016-06-19,18.1,18.1,18.1,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.1,18.1,18.1,0.0,0.0,18.23,18.23,18.23,0.0,0.0
2016-06-26,18.66,18.66,18.66,0.0,0.0,19.0,19.0,19.0,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.71,18.71,18.71,0.0,0.0
2016-07-03,18.68,18.68,18.68,0.0,0.0,18.88,18.88,18.88,0.0,0.0,18.68,18.68,18.68,0.0,0.0,18.84,18.84,18.84,0.0,0.0
2016-07-10,19.04,19.04,19.04,0.0,0.0,19.16,19.16,19.16,0.0,0.0,19.04,19.04,19.04,0.0,0.0,19.12,19.12,19.12,0.0,0.0
2016-07-17,18.97,18.97,18.97,0.0,0.0,19.17,19.17,19.17,0.0,0.0,18.97,18.97,18.97,0.0,0.0,19.16,19.16,19.16,0.0,0.0
2016-07-24,19.09,19.09,19.09,0.0,0.0,19.21,19.21,19.21,0.0,0.0,19.08,19.08,19.08,0.0,0.0,19.11,19.11,19.11,0.0,0.0
2016-07-31,19.18,19.18,19.18,0.0,0.0,19.35,19.35,19.35,0.0,0.0,19.12,19.12,19.12,0.0,0.0,19.32,19.32,19.32,0.0,0.0
2016-08-07,19.5,19.5,19.5,0.0,0.0,19.6,19.6,19.6,0.0,0.0,19.42,19.42,19.42,0.0,0.0,19.5,19.5,19.5,0.0,0.0
2016-08-14,19.5,19.5,19.5,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.32,19.32,19.32,0.0,0.0,19.36,19.36,19.36,0.0,0.0
2016-08-21,19.35,19.35,19.35,0.0,0.0,19.45,19.45,19.45,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.18,19.18,19.18,0.0,0.0
2016-08-28,19.37,19.37,19.37,0.0,0.0,19.37,19.37,19.37,0.0,0.0,19.25,19.25,19.25,0.0,0.0,19.37,19.37,19.37,0.0,0.0
2016-09-04,19.65,19.65,19.65,0.0,0.0,19.68,19.68,19.68,0.0,0.0,19.42,19.42,19.42,0.0,0.0,19.42,19.42,19.42,0.0,0.0
2016-09-11,18.95,18.95,18.95,0.0,0.0,19.04,19.04,19.04,0.0,0.0,18.84,18.84,18.84,0.0,0.0,18.85,18.85,18.85,0.0,0.0
2016-09-18,19.22,19.22,19.22,0.0,0.0,19.26,19.26,19.26,0.0,0.0,19.1,19.1,19.1,0.0,0.0,19.19,19.19,19.19,0.0,0.0
2016-09-25,19.04,19.04,19.04,0.0,0.0,19.32,19.32,19.32,0.0,0.0,19.04,19.04,19.04,0.0,0.0,19.09,19.09,19.09,0.0,0.0
2016-10-02,18.87,18.87,18.87,0.0,0.0,18.96,18.96,18.96,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.85,18.85,18.85,0.0,0.0
2016-10-09,18.78,18.78,18.78,0.0,0.0,18.98,18.98,18.98,0.0,0.0,18.73,18.73,18.73,0.0,0.0,18.75,18.75,18.75,0.0,0.0
2016-10-16,18.99,18.99,18.99,0.0,0.0,19.08,19.08,19.08,0.0,0.0,18.85,18.85,18.85,0.0,0.0,18.99,18.99,18.99,0.0,0.0
2016-10-23,18.8,18.8,18.8,0.0,0.0,18.88,18.88,18.88,0.0,0.0,18.59,18.59,18.59,0.0,0.0,18.59,18.59,18.59,0.0,0.0
2016-10-30,18.2,18.2,18.2,0.0,0.0,18.2,18.2,18.2,0.0,0.0,18.01,18.01,18.01,0.0,0.0,18.18,18.18,18.18,0.0,0.0
2016-11-06,17.94,17.94,17.94,0.0,0.0,18.01,18.01,18.01,0.0,0.0,17.78,17.78,17.78,0.0,0.0,17.82,17.82,17.82,0.0,0.0
2016-11-13,17.67,17.67,17.67,0.0,0.0,17.93,17.93,17.93,0.0,0.0,17.67,17.67,17.67,0.0,0.0,17.75,17.75,17.75,0.0,0.0
2016-11-20,18.05,18.05,18.05,0.0,0.0,18.19,18.19,18.19,0.0,0.0,17.82,17.82,17.82,0.0,0.0,17.85,17.85,17.85,0.0,0.0
2016-11-27,17.95,17.95,17.95,0.0,0.0,17.99,17.99,17.99,0.0,0.0,17.86,17.86,17.86,0.0,0.0,17.94,17.94,17.94,0.0,0.0
2016-12-04,18.5,18.5,18.5,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.41,18.41,18.41,0.0,0.0,18.59,18.59,18.59,0.0,0.0
2016-12-11,18.83,18.83,18.83,0.0,0.0,18.83,18.83,18.83,0.0,0.0,18.27,18.27,18.27,0.0,0.0,18.34,18.34,18.34,0.0,0.0
2016-12-18,18.66,18.66,18.66,0.0,0.0,18.67,18.67,18.67,0.0,0.0,18.4,18.4,18.4,0.0,0.0,18.53,18.53,18.53,0.0,0.0
2016-12-25,18.26,18.26,18.26,0.0,0.0,18.85,18.85,18.85,0.0,0.0,18.26,18.26,18.26,0.0,0.0,18.43,18.43,18.43,0.0,0.0
2017-01-01,18.75,18.75,18.75,0.0,0.0,18.99,18.99,18.99,0.0,0.0,18.69,18.69,18.69,0.0,0.0,18.79,18.79,18.79,0.0,0.0
2017-01-08,18.92,18.92,18.92,0.0,0.0,18.92,18.92,18.92,0.0,0.0,18.78,18.78,18.78,0.0,0.0,18.91,18.91,18.91,0.0,0.0
2017-01-15,19.03,19.03,19.03,0.0,0.0,19.04,19.04,19.04,0.0,0.0,18.85,18.85,18.85,0.0,0.0,18.9,18.9,18.9,0.0,0.0
2017-01-22,19.01,19.01,19.01,0.0,0.0,19.16,19.16,19.16,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.96,18.96,18.96,0.0,0.0
2017-01-29,19.23,19.23,19.23,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.01,19.01,19.01,0.0,0.0,19.18,19.18,19.18,0.0,0.0
2017-02-05,19.24,19.24,19.24,0.0,0.0,19.24,19.24,19.24,0.0,0.0,19.0,19.0,19.0,0.0,0.0,19.2,19.2,19.2,0.0,0.0
2017-02-12,19.23,19.23,19.23,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.13,19.13,19.13,0.0,0.0,19.21,19.21,19.21,0.0,0.0
2017-02-19,19.14,19.14,19.14,0.0,0.0,19.2,19.2,19.2,0.0,0.0,19.05,19.05,19.05,0.0,0.0,19.14,19.14,19.14,0.0,0.0
2017-02-26,18.98,18.98,18.98,0.0,0.0,19.0,19.0,19.0,0.0,0.0,18.96,18.96,18.96,0.0,0.0,18.99,18.99,18.99,0.0,0.0
2017-03-05,18.45,18.45,18.45,0.0,0.0,18.79,18.79,18.79,0.0,0.0,18.32,18.32,18.32,0.0,0.0,18.35,18.35,18.35,0.0,0.0
2017-03-12,18.5,18.5,18.5,0.0,0.0,18.64,18.64,18.64,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.59,18.59,18.59,0.0,0.0
2017-03-19,18.72,18.72,18.72,0.0,0.0,18.72,18.72,18.72,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.5,18.5,18.5,0.0,0.0
2017-03-26,18.52,18.52,18.52,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.52,18.52,18.52,0.0,0.0,18.72,18.72,18.72,0.0,0.0
2017-04-02,18.51,18.51,18.51,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.42,18.42,18.42,0.0,0.0,18.43,18.43,18.43,0.0,0.0
2017-04-09,18.57,18.57,18.57,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.43,18.43,18.43,0.0,0.0,18.45,18.45,18.45,0.0,0.0
2017-04-16,18.49,18.49,18.49,0.0,0.0,18.49,18.49,18.49,0.0,0.0,18.4,18.4,18.4,0.0,0.0,18.46,18.46,18.46,0.0,0.0
2017-04-23,18.56,18.56,18.56,0.0,0.0,18.61,18.61,18.61,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.55,18.55,18.55,0.0,0.0
2017-04-30,18.51,18.51,18.51,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.43,18.43,18.43,0.0,0.0,18.72,18.72,18.72,0.0,0.0
2017-05-07,18.4,18.4,18.4,0.0,0.0,18.57,18.57,18.57,0.0,0.0,18.4,18.4,18.4,0.0,0.0,18.55,18.55,18.55,0.0,0.0
2017-05-14,18.43,18.43,18.43,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.33,18.33,18.33,0.0,0.0,18.46,18.46,18.46,0.0,0.0
2017-05-21,18.62,18.62,18.62,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.58,18.58,18.58,0.0,0.0
2017-05-28,18.52,18.52,18.52,0.0,0.0,18.59,18.59,18.59,0.0,0.0,18.47,18.47,18.47,0.0,0.0,18.54,18.54,18.54,0.0,0.0
2017-06-04,18.5,18.5,18.5,0.0,0.0,18.58,18.58,18.58,0.0,0.0,18.46,18.46,18.46,0.0,0.0,18.58,18.58,18.58,0.0,0.0
2017-06-11,18.3,18.3,18.3,0.0,0.0,18.48,18.48,18.48,0.0,0.0,18.14,18.14,18.14,0.0,0.0,18.14,18.14,18.14,0.0,0.0
2017-06-18,17.97,17.97,17.97,0.0,0.0,18.18,18.18,18.18,0.0,0.0,17.97,17.97,17.97,0.0,0.0,18.14,18.14,18.14,0.0,0.0
2017-06-25,18.31,18.31,18.31,0.0,0.0,18.4,18.4,18.4,0.0,0.0,18.22,18.22,18.22,0.0,0.0,18.3,18.3,18.3,0.0,0.0
2017-07-02,18.51,18.51,18.51,0.0,0.0,18.51,18.51,18.51,0.0,0.0,18.03,18.03,18.03,0.0,0.0,18.17,18.17,18.17,0.0,0.0
2017-07-09,18.3,18.3,18.3,0.0,0.0,18.51,18.51,18.51,0.0,0.0,18.11,18.11,18.11,0.0,0.0,18.32,18.32,18.32,0.0,0.0
2017-07-16,18.39,18.39,18.39,0.0,0.0,18.49,18.49,18.49,0.0,0.0,18.2,18.2,18.2,0.0,0.0,18.3,18.3,18.3,0.0,0.0
2017-07-23,18.35,18.35,18.35,0.0,0.0,18.53,18.53,18.53,0.0,0.0,18.31,18.31,18.31,0.0,0.0,18.33,18.33,18.33,0.0,0.0
2017-07-30,18.3,18.3,18.3,0.0,0.0,18.42,18.42,18.42,0.0,0.0,18.25,18.25,18.25,0.0,0.0,18.3,18.3,18.3,0.0,0.0
2017-08-06,18.16,18.16,18.16,0.0,0.0,18.37,18.37,18.37,0.0,0.0,18.0,18.0,18.0,0.0,0.0,18.17,18.17,18.17,0.0,0.0
2017-08-13,17.99,17.99,17.99,0.0,0.0,18.1,18.1,18.1,0.0,0.0,17.88,17.88,17.88,0.0,0.0,17.95,17.95,17.95,0.0,0.0
