Date,Vanguard Mega Cap Value_etf_Open_average,Vanguard Mega Cap Value_etf_Open_max,Vanguard Mega Cap Value_etf_Open_min,Vanguard Mega Cap Value_etf_Open_volatility,Vanguard Mega Cap Value_etf_Open_change,Vanguard Mega Cap Value_etf_High_average,Vanguard Mega Cap Value_etf_High_max,Vanguard Mega Cap Value_etf_High_min,Vanguard Mega Cap Value_etf_High_volatility,Vanguard Mega Cap Value_etf_High_change,Vanguard Mega Cap Value_etf_Low_average,Vanguard Mega Cap Value_etf_Low_max,Vanguard Mega Cap Value_etf_Low_min,Vanguard Mega Cap Value_etf_Low_volatility,Vanguard Mega Cap Value_etf_Low_change,Vanguard Mega Cap Value_etf_Close_average,Vanguard Mega Cap Value_etf_Close_max,Vanguard Mega Cap Value_etf_Close_min,Vanguard Mega Cap Value_etf_Close_volatility,Vanguard Mega Cap Value_etf_Close_change
2016-01-03,56.78,56.78,56.78,0.0,0.0,56.78,56.78,56.78,0.0,0.0,55.59,55.59,55.59,0.0,0.0,55.66,55.66,55.66,0.0,0.0
2016-01-10,54.37,54.37,54.37,0.0,0.0,54.81,54.81,54.81,0.0,0.0,53.99,53.99,53.99,0.0,0.0,54.62,54.62,54.62,0.0,0.0
2016-01-17,54.94,54.94,54.94,0.0,0.0,55.11,55.11,55.11,0.0,0.0,54.57,54.57,54.57,0.0,0.0,55.04,55.04,55.04,0.0,0.0
2016-01-24,55.35,55.35,55.35,0.0,0.0,56.43,56.43,56.43,0.0,0.0,55.35,55.35,55.35,0.0,0.0,56.42,56.42,56.42,0.0,0.0
2016-01-31,55.63,55.63,55.63,0.0,0.0,55.63,55.63,55.63,0.0,0.0,54.94,54.94,54.94,0.0,0.0,55.18,55.18,55.18,0.0,0.0
2016-02-07,54.15,54.15,54.15,0.0,0.0,54.79,54.79,54.79,0.0,0.0,54.06,54.06,54.06,0.0,0.0,54.79,54.79,54.79,0.0,0.0
2016-02-14,55.97,55.97,55.97,0.0,0.0,56.22,56.22,56.22,0.0,0.0,55.79,55.79,55.79,0.0,0.0,56.16,56.16,56.16,0.0,0.0
2016-02-21,57.4,57.4,57.4,0.0,0.0,57.41,57.41,57.41,0.0,0.0,56.85,56.85,56.85,0.0,0.0,56.85,56.85,56.85,0.0,0.0
2016-02-28,58.29,58.29,58.29,0.0,0.0,58.74,58.74,58.74,0.0,0.0,58.04,58.04,58.04,0.0,0.0,58.44,58.44,58.44,0.0,0.0
2016-03-06,58.87,58.87,58.87,0.0,0.0,59.26,59.26,59.26,0.0,0.0,58.83,58.83,58.83,0.0,0.0,59.25,59.25,59.25,0.0,0.0
2016-03-13,59.99,59.99,59.99,0.0,0.0,60.07,60.07,60.07,0.0,0.0,59.73,59.73,59.73,0.0,0.0,59.9,59.9,59.9,0.0,0.0
2016-03-20,58.73,58.73,58.73,0.0,0.0,59.1,59.1,59.1,0.0,0.0,58.67,58.67,58.67,0.0,0.0,59.1,59.1,59.1,0.0,0.0
2016-03-27,59.11,59.11,59.11,0.0,0.0,59.9,59.9,59.9,0.0,0.0,59.11,59.11,59.11,0.0,0.0,59.88,59.88,59.88,0.0,0.0
2016-04-03,59.33,59.33,59.33,0.0,0.0,59.5,59.5,59.5,0.0,0.0,58.98,58.98,58.98,0.0,0.0,59.15,59.15,59.15,0.0,0.0
2016-04-10,60.5,60.5,60.5,0.0,0.0,60.5,60.5,60.5,0.0,0.0,60.13,60.13,60.13,0.0,0.0,60.27,60.27,60.27,0.0,0.0
2016-04-17,60.81,60.81,60.81,0.0,0.0,61.05,61.05,61.05,0.0,0.0,60.73,60.73,60.73,0.0,0.0,61.03,61.03,61.03,0.0,0.0
2016-04-24,60.61,60.61,60.61,0.0,0.0,60.7,60.7,60.7,0.0,0.0,60.1,60.1,60.1,0.0,0.0,60.45,60.45,60.45,0.0,0.0
2016-05-01,59.7,59.7,59.7,0.0,0.0,60.09,60.09,60.09,0.0,0.0,59.61,59.61,59.61,0.0,0.0,60.06,60.06,60.06,0.0,0.0
2016-05-08,60.32,60.32,60.32,0.0,0.0,60.44,60.44,60.44,0.0,0.0,59.69,59.69,59.69,0.0,0.0,59.78,59.78,59.78,0.0,0.0
2016-05-15,60.11,60.11,60.11,0.0,0.0,60.25,60.25,60.25,0.0,0.0,59.96,59.96,59.96,0.0,0.0,60.05,60.05,60.05,0.0,0.0
