Date,UBS AG ETRACS Monthly Pay 2X US Small Cap High Div_etf_Open_average,UBS AG ETRACS Monthly Pay 2X US Small Cap High Div_etf_Open_max,UBS AG ETRACS Monthly Pay 2X US Small Cap High Div_etf_Open_min,UBS AG ETRACS Monthly Pay 2X US Small Cap High Div_etf_Open_volatility,UBS AG ETRACS Monthly Pay 2X US Small Cap High Div_etf_Open_change,UBS AG ETRACS Monthly Pay 2X US Small Cap High Div_etf_High_average,UBS AG ETRACS Monthly Pay 2X US Small Cap High Div_etf_High_max,UBS AG ETRACS Monthly Pay 2X US Small Cap High Div_etf_High_min,UBS AG ETRACS Monthly Pay 2X US Small Cap High Div_etf_High_volatility,UBS AG ETRACS Monthly Pay 2X US Small Cap High Div_etf_High_change,UBS AG ETRACS Monthly Pay 2X US Small Cap High Div_etf_Low_average,UBS AG ETRACS Monthly Pay 2X US Small Cap High Div_etf_Low_max,UBS AG ETRACS Monthly Pay 2X US Small Cap High Div_etf_Low_min,UBS AG ETRACS Monthly Pay 2X US Small Cap High Div_etf_Low_volatility,UBS AG ETRACS Monthly Pay 2X US Small Cap High Div_etf_Low_change,UBS AG ETRACS Monthly Pay 2X US Small Cap High Div_etf_Close_average,UBS AG ETRACS Monthly Pay 2X US Small Cap High Div_etf_Close_max,UBS AG ETRACS Monthly Pay 2X US Small Cap High Div_etf_Close_min,UBS AG ETRACS Monthly Pay 2X US Small Cap High Div_etf_Close_volatility,UBS AG ETRACS Monthly Pay 2X US Small Cap High Div_etf_Close_change
2016-01-03,13.5,13.5,13.5,0.0,0.0,13.66,13.66,13.66,0.0,0.0,12.91,12.91,12.91,0.0,0.0,12.92,12.92,12.92,0.0,0.0
2016-01-10,10.43,10.43,10.43,0.0,0.0,10.6,10.6,10.6,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.6,10.6,10.6,0.0,0.0
2016-01-17,10.26,10.26,10.26,0.0,0.0,11.81,11.81,11.81,0.0,0.0,10.26,10.26,10.26,0.0,0.0,11.3,11.3,11.3,0.0,0.0
2016-01-24,11.9,11.9,11.9,0.0,0.0,12.36,12.36,12.36,0.0,0.0,11.72,11.72,11.72,0.0,0.0,12.25,12.25,12.25,0.0,0.0
2016-01-31,11.8,11.8,11.8,0.0,0.0,12.1,12.1,12.1,0.0,0.0,11.45,11.45,11.45,0.0,0.0,11.59,11.59,11.59,0.0,0.0
2016-02-07,8.85,8.85,8.85,0.0,0.0,9.26,9.26,9.26,0.0,0.0,8.71,8.71,8.71,0.0,0.0,9.16,9.16,9.16,0.0,0.0
2016-02-14,10.5,10.5,10.5,0.0,0.0,10.65,10.65,10.65,0.0,0.0,10.32,10.32,10.32,0.0,0.0,10.56,10.56,10.56,0.0,0.0
2016-02-21,11.5,11.5,11.5,0.0,0.0,12.23,12.23,12.23,0.0,0.0,11.5,11.5,11.5,0.0,0.0,11.93,11.93,11.93,0.0,0.0
2016-02-28,14.33,14.33,14.33,0.0,0.0,15.1,15.1,15.1,0.0,0.0,14.16,14.16,14.16,0.0,0.0,14.6,14.6,14.6,0.0,0.0
2016-03-06,13.91,13.91,13.91,0.0,0.0,14.81,14.81,14.81,0.0,0.0,13.91,13.91,13.91,0.0,0.0,14.81,14.81,14.81,0.0,0.0
2016-03-13,15.5,15.5,15.5,0.0,0.0,15.98,15.98,15.98,0.0,0.0,15.01,15.01,15.01,0.0,0.0,15.21,15.21,15.21,0.0,0.0
2016-03-20,13.86,13.86,13.86,0.0,0.0,14.31,14.31,14.31,0.0,0.0,13.52,13.52,13.52,0.0,0.0,14.28,14.28,14.28,0.0,0.0
2016-03-27,14.87,14.87,14.87,0.0,0.0,15.24,15.24,15.24,0.0,0.0,14.42,14.42,14.42,0.0,0.0,15.21,15.21,15.21,0.0,0.0
2016-04-03,14.81,14.81,14.81,0.0,0.0,14.82,14.82,14.82,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.5,14.5,14.5,0.0,0.0
2016-04-10,15.67,15.67,15.67,0.0,0.0,16.15,16.15,16.15,0.0,0.0,15.66,15.66,15.66,0.0,0.0,15.9,15.9,15.9,0.0,0.0
2016-04-17,16.32,16.32,16.32,0.0,0.0,16.81,16.81,16.81,0.0,0.0,16.31,16.31,16.31,0.0,0.0,16.67,16.67,16.67,0.0,0.0
2016-04-24,16.65,16.65,16.65,0.0,0.0,16.77,16.77,16.77,0.0,0.0,16.15,16.15,16.15,0.0,0.0,16.51,16.51,16.51,0.0,0.0
2016-05-01,15.79,15.79,15.79,0.0,0.0,16.2,16.2,16.2,0.0,0.0,15.63,15.63,15.63,0.0,0.0,16.15,16.15,16.15,0.0,0.0
2016-05-08,15.95,15.95,15.95,0.0,0.0,16.1,16.1,16.1,0.0,0.0,15.75,15.75,15.75,0.0,0.0,15.94,15.94,15.94,0.0,0.0
2016-05-15,15.5,15.5,15.5,0.0,0.0,15.77,15.77,15.77,0.0,0.0,15.5,15.5,15.5,0.0,0.0,15.67,15.67,15.67,0.0,0.0
2016-05-22,15.86,15.86,15.86,0.0,0.0,16.21,16.21,16.21,0.0,0.0,15.86,15.86,15.86,0.0,0.0,16.17,16.17,16.17,0.0,0.0
2016-05-29,16.96,16.96,16.96,0.0,0.0,17.0,17.0,17.0,0.0,0.0,16.63,16.63,16.63,0.0,0.0,16.86,16.86,16.86,0.0,0.0
2016-06-05,16.97,16.97,16.97,0.0,0.0,17.15,17.15,17.15,0.0,0.0,16.56,16.56,16.56,0.0,0.0,17.15,17.15,17.15,0.0,0.0
2016-06-12,15.91,15.91,15.91,0.0,0.0,16.21,16.21,16.21,0.0,0.0,15.91,15.91,15.91,0.0,0.0,16.07,16.07,16.07,0.0,0.0
