Date,OGEN_stock_Open_average,OGEN_stock_Open_max,OGEN_stock_Open_min,OGEN_stock_Open_volatility,OGEN_stock_Open_change,OGEN_stock_High_average,OGEN_stock_High_max,OGEN_stock_High_min,OGEN_stock_High_volatility,OGEN_stock_High_change,OGEN_stock_Low_average,OGEN_stock_Low_max,OGEN_stock_Low_min,OGEN_stock_Low_volatility,OGEN_stock_Low_change,OGEN_stock_Close_average,OGEN_stock_Close_max,OGEN_stock_Close_min,OGEN_stock_Close_volatility,OGEN_stock_Close_change,OGEN_stock_Volume_average,OGEN_stock_Volume_max,OGEN_stock_Volume_min,OGEN_stock_Volume_volatility,OGEN_stock_Volume_change
2016-01-03,12.842,13.9,12.0,1.9000000000000004,-1.0999999999999996,13.38,15.4,12.1,3.3000000000000007,-2.5999999999999996,12.642,13.7,12.0,1.6999999999999993,-1.6999999999999993,12.84,13.7,12.1,1.5999999999999996,-1.3999999999999986,259,502,96,406,-282
2016-01-10,11.0,12.1,10.1,2.0,-1.299999999999999,11.26,12.1,10.8,1.299999999999999,-1.299999999999999,10.4,11.1,9.9,1.1999999999999993,-1.0,10.76,11.5,10.0,1.5,-0.9000000000000004,439,1149,121,1028,-687
2016-01-17,10.4,11.4,9.6,1.8000000000000007,-0.40000000000000036,10.925,11.9,10.3,1.5999999999999996,-0.1999999999999993,9.725,10.1,9.6,0.5,0.0,10.125,10.5,9.6,0.9000000000000004,0.7000000000000011,336,550,200,350,-190
2016-01-24,10.2,10.7,9.7,1.0,-0.3999999999999986,10.64,11.3,10.1,1.200000000000001,0.10000000000000142,9.8378,10.3,9.599,0.7010000000000005,0.7010000000000005,10.018,10.6,9.6,1.0,1.0,255,565,94,471,225
2016-01-31,9.86,10.4,9.5,0.9000000000000004,-0.9000000000000004,10.02,10.6,9.5,1.0999999999999996,-1.0,9.5498,9.7,9.4,0.29999999999999893,-0.24899999999999878,9.7,10.3,9.4,0.9000000000000004,-0.9000000000000004,148,282,42,240,-75
2016-02-07,8.8672,9.4,8.31,1.0899999999999999,-0.8000000000000007,9.06,9.6,8.6,1.0,-1.0,8.384,8.7,8.0,0.6999999999999993,-0.3999999999999986,8.562,9.0,8.0,1.0,-0.6999999999999993,170,298,60,238,-110
2016-02-14,8.375,9.1,8.0,1.0999999999999996,1.0999999999999996,8.92525,10.5,8.301,2.199,2.0999999999999996,8.2675,9.1,7.77,1.33,1.0999999999999996,8.775,10.0,8.2,1.8000000000000007,1.5999999999999996,580,1788,70,1718,1678
2016-02-21,10.58,11.0,10.1,0.9000000000000004,-0.5999999999999996,10.84,12.0,10.4,1.5999999999999996,-1.5999999999999996,10.16,10.6,9.6,1.0,-0.40000000000000036,10.36,10.6,10.2,0.40000000000000036,-0.40000000000000036,182,330,59,271,-271
2016-02-28,10.741999999999999,11.0,10.51,0.4900000000000002,-0.1899999999999995,11.02,11.5,10.6,0.9000000000000004,-0.3000000000000007,10.6,10.9,10.3,0.5999999999999996,-0.29999999999999893,10.68,11.0,10.3,0.6999999999999993,-0.29999999999999893,540,1300,208,1092,-27
2016-03-06,10.34,10.6,10.0,0.5999999999999996,-0.29999999999999893,10.4,10.9,10.0,0.9000000000000004,-0.29999999999999893,9.6,10.2,9.0,1.1999999999999993,-0.5999999999999996,9.84,10.3,9.4,0.9000000000000004,-0.9000000000000004,230,550,60,490,-350
