Date,OIBRcStock_Open_average,OIBRcStock_Open_max,OIBRcStock_Open_min,OIBRcStock_Open_volatility,OIBRcStock_Open_change,OIBRcStock_High_average,OIBRcStock_High_max,OIBRcStock_High_min,OIBRcStock_High_volatility,OIBRcStock_High_change,OIBRcStock_Low_average,OIBRcStock_Low_max,OIBRcStock_Low_min,OIBRcStock_Low_volatility,OIBRcStock_Low_change,OIBRcStock_Close_average,OIBRcStock_Close_max,OIBRcStock_Close_min,OIBRcStock_Close_volatility,OIBRcStock_Close_change,OIBRcStock_Volume_average,OIBRcStock_Volume_max,OIBRcStock_Volume_min,OIBRcStock_Volume_volatility,OIBRcStock_Volume_change
2016-01-03,3.0980000000000003,3.45,2.95,0.5,0.31000000000000005,3.46,3.7,3.29,0.41000000000000014,0.16000000000000014,2.916,3.06,2.75,0.31000000000000005,0.31000000000000005,3.31,3.57,3.07,0.5,0.1200000000000001,76203,151501,19264,132237,24038
2016-01-10,2.956,3.16,2.65,0.5100000000000002,-0.5100000000000002,3.082,3.2,2.9,0.30000000000000027,-0.16000000000000014,2.7520000000000002,2.96,2.45,0.5099999999999998,-0.5099999999999998,2.956,3.13,2.75,0.3799999999999999,-0.04999999999999982,59801,137572,29934,107638,107357
2016-01-17,2.7275,3.16,2.5,0.6600000000000001,0.41000000000000014,2.92,3.25,2.75,0.5,0.3500000000000001,2.565,2.66,2.45,0.20999999999999996,-0.010000000000000231,2.6875,2.72,2.66,0.06000000000000005,0.04999999999999982,40208,50642,22599,28043,-20008
2016-01-24,2.714,2.75,2.7,0.04999999999999982,0.0,2.996,3.15,2.85,0.2999999999999998,-0.1599999999999997,2.624,2.7,2.52,0.18000000000000016,0.0,2.81,3.0,2.65,0.3500000000000001,0.14000000000000012,43700,59619,26378,33241,2166
2016-01-31,2.85,2.95,2.79,0.16000000000000014,-0.16000000000000014,2.976,3.14,2.8,0.3400000000000003,-0.20000000000000018,2.642,2.69,2.6,0.08999999999999986,-0.08999999999999986,2.838,2.96,2.65,0.31000000000000005,-0.31000000000000005,81095,158918,42581,116337,-50888
2016-02-07,2.654,2.8,2.55,0.25,-0.04999999999999982,2.78,2.85,2.63,0.2200000000000002,0.08000000000000007,2.5500000000000003,2.68,2.45,0.22999999999999998,0.0,2.692,2.85,2.5,0.3500000000000001,0.08000000000000007,34565,56441,15896,40545,-11375
2016-02-14,3.0475000000000003,3.31,2.77,0.54,0.10000000000000009,3.1525,3.48,2.89,0.5899999999999999,-0.10999999999999988,2.8825,3.13,2.7,0.4299999999999997,0.05999999999999961,3.0025,3.3,2.8,0.5,-0.1200000000000001,78560,141026,42846,98180,30364
2016-02-21,2.532,2.88,2.16,0.7199999999999998,-0.7199999999999998,2.552,2.95,2.16,0.79,-0.79,2.29,2.79,1.63,1.1600000000000001,-1.1600000000000001,2.322,2.81,1.71,1.1,-1.1,451625,894138,70374,823764,671429
2016-02-28,1.664,1.79,1.57,0.21999999999999997,0.040000000000000036,1.714,1.79,1.65,0.14000000000000012,0.040000000000000036,1.55,1.6,1.5,0.10000000000000009,0.10000000000000009,1.612,1.7,1.5,0.19999999999999996,0.19999999999999996,467839,726821,268244,458577,100589
2016-03-06,1.668,1.75,1.53,0.21999999999999997,-0.1399999999999999,1.686,1.75,1.54,0.20999999999999996,-0.17999999999999994,1.55,1.65,1.41,0.24,-0.2100000000000002,1.5939999999999999,1.69,1.41,0.28,-0.26,323776,675942,63416,612526,-177029
