Date,DB Gold Double ShortEtf_Open_average,DB Gold Double ShortEtf_Open_max,DB Gold Double ShortEtf_Open_min,DB Gold Double ShortEtf_Open_volatility,DB Gold Double ShortEtf_Open_change,DB Gold Double ShortEtf_High_average,DB Gold Double ShortEtf_High_max,DB Gold Double ShortEtf_High_min,DB Gold Double ShortEtf_High_volatility,DB Gold Double ShortEtf_High_change,DB Gold Double ShortEtf_Low_average,DB Gold Double ShortEtf_Low_max,DB Gold Double ShortEtf_Low_min,DB Gold Double ShortEtf_Low_volatility,DB Gold Double ShortEtf_Low_change,DB Gold Double ShortEtf_Close_average,DB Gold Double ShortEtf_Close_max,DB Gold Double ShortEtf_Close_min,DB Gold Double ShortEtf_Close_volatility,DB Gold Double ShortEtf_Close_change
2016-01-03,8.16,8.16,8.16,0.0,0.0,8.24,8.24,8.24,0.0,0.0,8.1,8.1,8.1,0.0,0.0,8.14,8.14,8.14,0.0,0.0
2016-01-10,8.28,8.28,8.28,0.0,0.0,8.43,8.43,8.43,0.0,0.0,8.26,8.26,8.26,0.0,0.0,8.42,8.42,8.42,0.0,0.0
2016-01-17,8.26,8.26,8.26,0.0,0.0,8.29,8.29,8.29,0.0,0.0,8.18,8.18,8.18,0.0,0.0,8.24,8.24,8.24,0.0,0.0
2016-01-24,7.97,7.97,7.97,0.0,0.0,8.03,8.03,8.03,0.0,0.0,7.91,7.91,7.91,0.0,0.0,7.93,7.93,7.93,0.0,0.0
2016-01-31,7.47,7.47,7.47,0.0,0.0,7.55,7.55,7.55,0.0,0.0,7.11,7.11,7.11,0.0,0.0,7.11,7.11,7.11,0.0,0.0
2016-02-07,6.26,6.26,6.26,0.0,0.0,6.28,6.28,6.28,0.0,0.0,6.16,6.16,6.16,0.0,0.0,6.21,6.21,6.21,0.0,0.0
2016-02-14,6.36,6.36,6.36,0.0,0.0,6.4,6.4,6.4,0.0,0.0,6.27,6.27,6.27,0.0,0.0,6.34,6.34,6.34,0.0,0.0
2016-02-21,6.35,6.35,6.35,0.0,0.0,6.58,6.58,6.58,0.0,0.0,6.3,6.3,6.3,0.0,0.0,6.4,6.4,6.4,0.0,0.0
2016-02-28,5.92,5.92,5.92,0.0,0.0,6.0,6.0,6.0,0.0,0.0,5.79,5.79,5.79,0.0,0.0,5.96,5.96,5.96,0.0,0.0
2016-03-06,5.9,5.9,5.9,0.0,0.0,6.11,6.11,6.11,0.0,0.0,5.89,5.89,5.89,0.0,0.0,6.1,6.1,6.1,0.0,0.0
2016-03-13,6.12,6.12,6.12,0.0,0.0,6.2,6.2,6.2,0.0,0.0,6.06,6.06,6.06,0.0,0.0,6.11,6.11,6.11,0.0,0.0
2016-03-20,6.47,6.47,6.47,0.0,0.0,6.5,6.5,6.5,0.0,0.0,6.35,6.35,6.35,0.0,0.0,6.42,6.42,6.42,0.0,0.0
2016-03-27,6.7,6.7,6.7,0.0,0.0,6.72,6.72,6.72,0.0,0.0,6.5,6.5,6.5,0.0,0.0,6.5,6.5,6.5,0.0,0.0
2016-04-03,6.26,6.26,6.26,0.0,0.0,6.3,6.3,6.3,0.0,0.0,6.16,6.16,6.16,0.0,0.0,6.17,6.17,6.17,0.0,0.0
2016-04-10,6.33,6.33,6.33,0.0,0.0,6.34,6.34,6.34,0.0,0.0,6.24,6.24,6.24,0.0,0.0,6.25,6.25,6.25,0.0,0.0
2016-04-17,6.16,6.16,6.16,0.0,0.0,6.31,6.31,6.31,0.0,0.0,6.12,6.12,6.12,0.0,0.0,6.24,6.24,6.24,0.0,0.0
2016-04-24,5.73,5.73,5.73,0.0,0.0,5.76,5.76,5.76,0.0,0.0,5.59,5.59,5.59,0.0,0.0,5.64,5.64,5.64,0.0,0.0
2016-05-01,5.73,5.73,5.73,0.0,0.0,5.73,5.73,5.73,0.0,0.0,5.61,5.61,5.61,0.0,0.0,5.68,5.68,5.68,0.0,0.0
2016-05-08,5.84,5.84,5.84,0.0,0.0,5.9,5.9,5.9,0.0,0.0,5.81,5.81,5.81,0.0,0.0,5.81,5.81,5.81,0.0,0.0
2016-05-15,5.96,5.96,5.96,0.0,0.0,6.02,6.02,6.02,0.0,0.0,5.94,5.94,5.94,0.0,0.0,6.0,6.0,6.0,0.0,0.0
2016-05-22,6.3,6.3,6.3,0.0,0.0,6.41,6.41,6.41,0.0,0.0,6.3,6.3,6.3,0.0,0.0,6.39,6.39,6.39,0.0,0.0
2016-05-29,6.11,6.11,6.11,0.0,0.0,6.11,6.11,6.11,0.0,0.0,6.03,6.03,6.03,0.0,0.0,6.03,6.03,6.03,0.0,0.0
2016-06-05,5.75,5.75,5.75,0.0,0.0,5.77,5.77,5.77,0.0,0.0,5.68,5.68,5.68,0.0,0.0,5.7,5.7,5.7,0.0,0.0
2016-06-12,5.55,5.55,5.55,0.0,0.0,5.61,5.61,5.61,0.0,0.0,5.46,5.46,5.46,0.0,0.0,5.47,5.47,5.47,0.0,0.0
2016-06-19,5.14,5.14,5.14,0.0,0.0,5.34,5.34,5.34,0.0,0.0,5.13,5.13,5.13,0.0,0.0,5.24,5.24,5.24,0.0,0.0
2016-06-26,5.1,5.1,5.1,0.0,0.0,5.13,5.13,5.13,0.0,0.0,5.05,5.05,5.05,0.0,0.0,5.05,5.05,5.05,0.0,0.0
2016-07-03,4.97,4.97,4.97,0.0,0.0,5.0,5.0,5.0,0.0,0.0,4.87,4.87,4.87,0.0,0.0,4.87,4.87,4.87,0.0,0.0
2016-07-10,5.22,5.22,5.22,0.0,0.0,5.25,5.25,5.25,0.0,0.0,5.17,5.17,5.17,0.0,0.0,5.19,5.19,5.19,0.0,0.0
2016-07-17,5.23,5.23,5.23,0.0,0.0,5.26,5.26,5.26,0.0,0.0,5.23,5.23,5.23,0.0,0.0,5.24,5.24,5.24,0.0,0.0
