Date,iShares International Developed PropertyEtf_Open_average,iShares International Developed PropertyEtf_Open_max,iShares International Developed PropertyEtf_Open_min,iShares International Developed PropertyEtf_Open_volatility,iShares International Developed PropertyEtf_Open_change,iShares International Developed PropertyEtf_High_average,iShares International Developed PropertyEtf_High_max,iShares International Developed PropertyEtf_High_min,iShares International Developed PropertyEtf_High_volatility,iShares International Developed PropertyEtf_High_change,iShares International Developed PropertyEtf_Low_average,iShares International Developed PropertyEtf_Low_max,iShares International Developed PropertyEtf_Low_min,iShares International Developed PropertyEtf_Low_volatility,iShares International Developed PropertyEtf_Low_change,iShares International Developed PropertyEtf_Close_average,iShares International Developed PropertyEtf_Close_max,iShares International Developed PropertyEtf_Close_min,iShares International Developed PropertyEtf_Close_volatility,iShares International Developed PropertyEtf_Close_change
2016-01-03,33.74,33.74,33.74,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.32,33.32,33.32,0.0,0.0
2016-01-10,32.56,32.56,32.56,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.22,32.22,32.22,0.0,0.0,32.37,32.37,32.37,0.0,0.0
2016-01-17,32.44,32.44,32.44,0.0,0.0,32.52,32.52,32.52,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.43,32.43,32.43,0.0,0.0
2016-01-24,33.3,33.3,33.3,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.6,33.6,33.6,0.0,0.0
2016-01-31,33.69,33.69,33.69,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.1,33.1,33.1,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2016-02-07,32.23,32.23,32.23,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.58,32.58,32.58,0.0,0.0
2016-02-14,33.67,33.67,33.67,0.0,0.0,33.97,33.97,33.97,0.0,0.0,33.67,33.67,33.67,0.0,0.0,33.92,33.92,33.92,0.0,0.0
2016-02-21,34.29,34.29,34.29,0.0,0.0,34.29,34.29,34.29,0.0,0.0,34.07,34.07,34.07,0.0,0.0,34.07,34.07,34.07,0.0,0.0
2016-02-28,35.37,35.37,35.37,0.0,0.0,35.37,35.37,35.37,0.0,0.0,35.23,35.23,35.23,0.0,0.0,35.23,35.23,35.23,0.0,0.0
2016-03-06,35.55,35.55,35.55,0.0,0.0,35.8,35.8,35.8,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.78,35.78,35.78,0.0,0.0
2016-03-13,36.52,36.52,36.52,0.0,0.0,36.72,36.72,36.72,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.55,36.55,36.55,0.0,0.0
2016-03-20,35.76,35.76,35.76,0.0,0.0,35.76,35.76,35.76,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.7,35.7,35.7,0.0,0.0
2016-03-27,36.03,36.03,36.03,0.0,0.0,36.29,36.29,36.29,0.0,0.0,35.9,35.9,35.9,0.0,0.0,36.2,36.2,36.2,0.0,0.0
2016-04-03,36.77,36.77,36.77,0.0,0.0,36.77,36.77,36.77,0.0,0.0,36.59,36.59,36.59,0.0,0.0,36.65,36.65,36.65,0.0,0.0
2016-04-10,37.03,37.03,37.03,0.0,0.0,37.13,37.13,37.13,0.0,0.0,36.94,36.94,36.94,0.0,0.0,36.94,36.94,36.94,0.0,0.0
2016-04-17,37.35,37.35,37.35,0.0,0.0,37.35,37.35,37.35,0.0,0.0,37.22,37.22,37.22,0.0,0.0,37.35,37.35,37.35,0.0,0.0
2016-04-24,37.27,37.27,37.27,0.0,0.0,37.31,37.31,37.31,0.0,0.0,37.07,37.07,37.07,0.0,0.0,37.21,37.21,37.21,0.0,0.0
2016-05-01,36.95,36.95,36.95,0.0,0.0,37.01,37.01,37.01,0.0,0.0,36.86,36.86,36.86,0.0,0.0,36.9,36.9,36.9,0.0,0.0
2016-05-08,36.73,36.73,36.73,0.0,0.0,36.73,36.73,36.73,0.0,0.0,36.56,36.56,36.56,0.0,0.0,36.68,36.68,36.68,0.0,0.0
2016-05-15,36.66,36.66,36.66,0.0,0.0,36.66,36.66,36.66,0.0,0.0,36.46,36.46,36.46,0.0,0.0,36.46,36.46,36.46,0.0,0.0
2016-05-22,36.94,36.94,36.94,0.0,0.0,36.94,36.94,36.94,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.86,36.86,36.86,0.0,0.0
2016-05-29,37.03,37.03,37.03,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.03,37.03,37.03,0.0,0.0,37.49,37.49,37.49,0.0,0.0
2016-06-05,37.38,37.38,37.38,0.0,0.0,37.48,37.48,37.48,0.0,0.0,37.15,37.15,37.15,0.0,0.0,37.24,37.24,37.24,0.0,0.0
2016-06-12,36.41,36.41,36.41,0.0,0.0,36.69,36.69,36.69,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.49,36.49,36.49,0.0,0.0
2016-06-19,35.24,35.24,35.24,0.0,0.0,36.01,36.01,36.01,0.0,0.0,35.23,35.23,35.23,0.0,0.0,35.59,35.59,35.59,0.0,0.0
2016-06-26,36.87,36.87,36.87,0.0,0.0,37.09,37.09,37.09,0.0,0.0,36.83,36.83,36.83,0.0,0.0,36.96,36.96,36.96,0.0,0.0
2016-07-03,36.6,36.6,36.6,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.43,36.43,36.43,0.0,0.0,36.55,36.55,36.55,0.0,0.0
2016-07-10,37.19,37.19,37.19,0.0,0.0,37.19,37.19,37.19,0.0,0.0,37.09,37.09,37.09,0.0,0.0,37.13,37.13,37.13,0.0,0.0
2016-07-17,37.51,37.51,37.51,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.47,37.47,37.47,0.0,0.0
2016-07-24,38.21,38.21,38.21,0.0,0.0,38.36,38.36,38.36,0.0,0.0,38.12,38.12,38.12,0.0,0.0,38.36,38.36,38.36,0.0,0.0
2016-07-31,38.08,38.08,38.08,0.0,0.0,38.23,38.23,38.23,0.0,0.0,38.08,38.08,38.08,0.0,0.0,38.19,38.19,38.19,0.0,0.0
2016-08-07,38.51,38.51,38.51,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.42,38.42,38.42,0.0,0.0,38.47,38.47,38.47,0.0,0.0
2016-08-14,38.16,38.16,38.16,0.0,0.0,38.29,38.29,38.29,0.0,0.0,38.09,38.09,38.09,0.0,0.0,38.25,38.25,38.25,0.0,0.0
2016-08-21,38.4,38.4,38.4,0.0,0.0,38.45,38.45,38.45,0.0,0.0,37.98,37.98,37.98,0.0,0.0,38.03,38.03,38.03,0.0,0.0
2016-08-28,38.21,38.21,38.21,0.0,0.0,38.28,38.28,38.28,0.0,0.0,38.08,38.08,38.08,0.0,0.0,38.2,38.2,38.2,0.0,0.0
2016-09-04,38.23,38.23,38.23,0.0,0.0,38.23,38.23,38.23,0.0,0.0,37.85,37.85,37.85,0.0,0.0,37.85,37.85,37.85,0.0,0.0
2016-09-11,37.06,37.06,37.06,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.06,37.06,37.06,0.0,0.0,37.12,37.12,37.12,0.0,0.0
2016-09-18,38.05,38.05,38.05,0.0,0.0,38.18,38.18,38.18,0.0,0.0,38.02,38.02,38.02,0.0,0.0,38.02,38.02,38.02,0.0,0.0
2016-09-25,37.73,37.73,37.73,0.0,0.0,38.0,38.0,38.0,0.0,0.0,37.73,37.73,37.73,0.0,0.0,37.92,37.92,37.92,0.0,0.0
2016-10-02,36.29,36.29,36.29,0.0,0.0,36.29,36.29,36.29,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.11,36.11,36.11,0.0,0.0
2016-10-09,35.84,35.84,35.84,0.0,0.0,35.93,35.93,35.93,0.0,0.0,35.69,35.69,35.69,0.0,0.0,35.77,35.77,35.77,0.0,0.0
2016-10-16,36.05,36.05,36.05,0.0,0.0,36.2,36.2,36.2,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.15,36.15,36.15,0.0,0.0
2016-10-23,35.57,35.57,35.57,0.0,0.0,35.75,35.75,35.75,0.0,0.0,35.48,35.48,35.48,0.0,0.0,35.64,35.64,35.64,0.0,0.0
2016-10-30,35.64,35.64,35.64,0.0,0.0,35.76,35.76,35.76,0.0,0.0,35.64,35.64,35.64,0.0,0.0,35.66,35.66,35.66,0.0,0.0
2016-11-06,34.53,34.53,34.53,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.46,34.46,34.46,0.0,0.0,34.46,34.46,34.46,0.0,0.0
2016-11-13,34.04,34.04,34.04,0.0,0.0,34.05,34.05,34.05,0.0,0.0,33.96,33.96,33.96,0.0,0.0,34.04,34.04,34.04,0.0,0.0
2016-11-20,34.3,34.3,34.3,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.3,34.3,34.3,0.0,0.0
