Date,WisdomTree Emerging Markets Consumer GrowthEtf_Open_average,WisdomTree Emerging Markets Consumer GrowthEtf_Open_max,WisdomTree Emerging Markets Consumer GrowthEtf_Open_min,WisdomTree Emerging Markets Consumer GrowthEtf_Open_volatility,WisdomTree Emerging Markets Consumer GrowthEtf_Open_change,WisdomTree Emerging Markets Consumer GrowthEtf_High_average,WisdomTree Emerging Markets Consumer GrowthEtf_High_max,WisdomTree Emerging Markets Consumer GrowthEtf_High_min,WisdomTree Emerging Markets Consumer GrowthEtf_High_volatility,WisdomTree Emerging Markets Consumer GrowthEtf_High_change,WisdomTree Emerging Markets Consumer GrowthEtf_Low_average,WisdomTree Emerging Markets Consumer GrowthEtf_Low_max,WisdomTree Emerging Markets Consumer GrowthEtf_Low_min,WisdomTree Emerging Markets Consumer GrowthEtf_Low_volatility,WisdomTree Emerging Markets Consumer GrowthEtf_Low_change,WisdomTree Emerging Markets Consumer GrowthEtf_Close_average,WisdomTree Emerging Markets Consumer GrowthEtf_Close_max,WisdomTree Emerging Markets Consumer GrowthEtf_Close_min,WisdomTree Emerging Markets Consumer GrowthEtf_Close_volatility,WisdomTree Emerging Markets Consumer GrowthEtf_Close_change
2016-01-03,17.81,17.81,17.81,0.0,0.0,17.93,17.93,17.93,0.0,0.0,17.81,17.81,17.81,0.0,0.0,17.93,17.93,17.93,0.0,0.0
2016-01-10,17.0,17.0,17.0,0.0,0.0,17.0,17.0,17.0,0.0,0.0,16.92,16.92,16.92,0.0,0.0,16.96,16.96,16.96,0.0,0.0
2016-01-17,17.02,17.02,17.02,0.0,0.0,17.02,17.02,17.02,0.0,0.0,17.02,17.02,17.02,0.0,0.0,17.02,17.02,17.02,0.0,0.0
2016-01-24,17.69,17.69,17.69,0.0,0.0,18.02,18.02,18.02,0.0,0.0,17.69,17.69,17.69,0.0,0.0,18.0,18.0,18.0,0.0,0.0
2016-01-31,17.44,17.44,17.44,0.0,0.0,17.44,17.44,17.44,0.0,0.0,17.44,17.44,17.44,0.0,0.0,17.44,17.44,17.44,0.0,0.0
2016-02-07,17.4,17.4,17.4,0.0,0.0,17.4,17.4,17.4,0.0,0.0,17.4,17.4,17.4,0.0,0.0,17.4,17.4,17.4,0.0,0.0
2016-02-14,17.69,17.69,17.69,0.0,0.0,17.69,17.69,17.69,0.0,0.0,17.69,17.69,17.69,0.0,0.0,17.69,17.69,17.69,0.0,0.0
2016-02-21,17.78,17.78,17.78,0.0,0.0,17.78,17.78,17.78,0.0,0.0,17.74,17.74,17.74,0.0,0.0,17.78,17.78,17.78,0.0,0.0
2016-02-28,19.46,19.46,19.46,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.52,19.52,19.52,0.0,0.0
2016-03-06,19.6,19.6,19.6,0.0,0.0,19.76,19.76,19.76,0.0,0.0,19.6,19.6,19.6,0.0,0.0,19.76,19.76,19.76,0.0,0.0
