Date,United States 12 Month Oil_etf_Open_average,United States 12 Month Oil_etf_Open_max,United States 12 Month Oil_etf_Open_min,United States 12 Month Oil_etf_Open_volatility,United States 12 Month Oil_etf_Open_change,United States 12 Month Oil_etf_High_average,United States 12 Month Oil_etf_High_max,United States 12 Month Oil_etf_High_min,United States 12 Month Oil_etf_High_volatility,United States 12 Month Oil_etf_High_change,United States 12 Month Oil_etf_Low_average,United States 12 Month Oil_etf_Low_max,United States 12 Month Oil_etf_Low_min,United States 12 Month Oil_etf_Low_volatility,United States 12 Month Oil_etf_Low_change,United States 12 Month Oil_etf_Close_average,United States 12 Month Oil_etf_Close_max,United States 12 Month Oil_etf_Close_min,United States 12 Month Oil_etf_Close_volatility,United States 12 Month Oil_etf_Close_change
2016-01-03,15.82,15.82,15.82,0.0,0.0,15.82,15.82,15.82,0.0,0.0,15.46,15.46,15.46,0.0,0.0,15.65,15.65,15.65,0.0,0.0
2016-01-10,14.08,14.08,14.08,0.0,0.0,14.19,14.19,14.19,0.0,0.0,13.82,13.82,13.82,0.0,0.0,14.04,14.04,14.04,0.0,0.0
2016-01-17,14.54,14.54,14.54,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.41,14.41,14.41,0.0,0.0,14.9,14.9,14.9,0.0,0.0
2016-01-24,15.9,15.9,15.9,0.0,0.0,16.05,16.05,16.05,0.0,0.0,15.46,15.46,15.46,0.0,0.0,15.88,15.88,15.88,0.0,0.0
2016-01-31,15.35,15.35,15.35,0.0,0.0,15.58,15.58,15.58,0.0,0.0,15.11,15.11,15.11,0.0,0.0,15.25,15.25,15.25,0.0,0.0
2016-02-07,14.33,14.33,14.33,0.0,0.0,14.83,14.83,14.83,0.0,0.0,14.12,14.12,14.12,0.0,0.0,14.57,14.57,14.57,0.0,0.0
2016-02-14,14.87,14.87,14.87,0.0,0.0,14.95,14.95,14.95,0.0,0.0,14.45,14.45,14.45,0.0,0.0,14.65,14.65,14.65,0.0,0.0
2016-02-21,15.45,15.45,15.45,0.0,0.0,15.5,15.5,15.5,0.0,0.0,14.86,14.86,14.86,0.0,0.0,15.0,15.0,15.0,0.0,0.0
2016-02-28,15.73,15.73,15.73,0.0,0.0,16.16,16.16,16.16,0.0,0.0,15.5,15.5,15.5,0.0,0.0,16.16,16.16,16.16,0.0,0.0
2016-03-06,16.75,16.75,16.75,0.0,0.0,16.8,16.8,16.8,0.0,0.0,16.51,16.51,16.51,0.0,0.0,16.71,16.71,16.71,0.0,0.0
2016-03-13,17.26,17.26,17.26,0.0,0.0,17.29,17.29,17.29,0.0,0.0,16.91,16.91,16.91,0.0,0.0,17.0,17.0,17.0,0.0,0.0
2016-03-20,16.3,16.3,16.3,0.0,0.0,16.64,16.64,16.64,0.0,0.0,16.22,16.22,16.22,0.0,0.0,16.57,16.57,16.57,0.0,0.0
2016-03-27,15.87,15.87,15.87,0.0,0.0,15.89,15.89,15.89,0.0,0.0,15.71,15.71,15.71,0.0,0.0,15.76,15.76,15.76,0.0,0.0
2016-04-03,16.4,16.4,16.4,0.0,0.0,16.6,16.6,16.6,0.0,0.0,16.33,16.33,16.33,0.0,0.0,16.53,16.53,16.53,0.0,0.0
2016-04-10,16.88,16.88,16.88,0.0,0.0,16.9,16.9,16.9,0.0,0.0,16.66,16.66,16.66,0.0,0.0,16.82,16.82,16.82,0.0,0.0
2016-04-17,17.62,17.62,17.62,0.0,0.0,17.83,17.83,17.83,0.0,0.0,17.59,17.59,17.59,0.0,0.0,17.63,17.63,17.63,0.0,0.0
2016-04-24,18.54,18.54,18.54,0.0,0.0,18.67,18.67,18.67,0.0,0.0,18.17,18.17,18.17,0.0,0.0,18.34,18.34,18.34,0.0,0.0
2016-05-01,17.58,17.58,17.58,0.0,0.0,18.05,18.05,18.05,0.0,0.0,17.57,17.57,17.57,0.0,0.0,17.91,17.91,17.91,0.0,0.0
2016-05-08,18.53,18.53,18.53,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.48,18.48,18.48,0.0,0.0,18.52,18.52,18.52,0.0,0.0
2016-05-15,19.16,19.16,19.16,0.0,0.0,19.16,19.16,19.16,0.0,0.0,18.85,18.85,18.85,0.0,0.0,19.08,19.08,19.08,0.0,0.0
2016-05-22,19.22,19.22,19.22,0.0,0.0,19.47,19.47,19.47,0.0,0.0,19.17,19.17,19.17,0.0,0.0,19.45,19.45,19.45,0.0,0.0
2016-05-29,19.21,19.21,19.21,0.0,0.0,19.34,19.34,19.34,0.0,0.0,19.13,19.13,19.13,0.0,0.0,19.29,19.29,19.29,0.0,0.0
2016-06-05,19.75,19.75,19.75,0.0,0.0,19.83,19.83,19.83,0.0,0.0,19.46,19.46,19.46,0.0,0.0,19.54,19.54,19.54,0.0,0.0
2016-06-12,18.69,18.69,18.69,0.0,0.0,19.31,19.31,19.31,0.0,0.0,18.69,18.69,18.69,0.0,0.0,19.17,19.17,19.17,0.0,0.0
2016-06-19,19.0,19.0,19.0,0.0,0.0,19.16,19.16,19.16,0.0,0.0,18.9,18.9,18.9,0.0,0.0,18.94,18.94,18.94,0.0,0.0
2016-06-26,19.28,19.28,19.28,0.0,0.0,19.73,19.73,19.73,0.0,0.0,19.27,19.27,19.27,0.0,0.0,19.7,19.7,19.7,0.0,0.0
2016-07-03,18.38,18.38,18.38,0.0,0.0,18.53,18.53,18.53,0.0,0.0,18.18,18.18,18.18,0.0,0.0,18.34,18.34,18.34,0.0,0.0
2016-07-10,18.63,18.63,18.63,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.51,18.51,18.51,0.0,0.0,18.59,18.59,18.59,0.0,0.0
2016-07-17,17.92,17.92,17.92,0.0,0.0,17.94,17.94,17.94,0.0,0.0,17.67,17.67,17.67,0.0,0.0,17.87,17.87,17.87,0.0,0.0
2016-07-24,16.69,16.69,16.69,0.0,0.0,16.96,16.96,16.96,0.0,0.0,16.56,16.56,16.56,0.0,0.0,16.91,16.91,16.91,0.0,0.0
2016-07-31,16.98,16.98,16.98,0.0,0.0,17.08,17.08,17.08,0.0,0.0,16.74,16.74,16.74,0.0,0.0,17.08,17.08,17.08,0.0,0.0
