Date,LB_stock_Open_average,LB_stock_Open_max,LB_stock_Open_min,LB_stock_Open_volatility,LB_stock_Open_change,LB_stock_High_average,LB_stock_High_max,LB_stock_High_min,LB_stock_High_volatility,LB_stock_High_change,LB_stock_Low_average,LB_stock_Low_max,LB_stock_Low_min,LB_stock_Low_volatility,LB_stock_Low_change,LB_stock_Close_average,LB_stock_Close_max,LB_stock_Close_min,LB_stock_Close_volatility,LB_stock_Close_change,LB_stock_Volume_average,LB_stock_Volume_max,LB_stock_Volume_min,LB_stock_Volume_volatility,LB_stock_Volume_change
2016-01-03,92.78,94.62,91.74,2.8800000000000097,2.2900000000000063,94.206,95.05,92.45,2.5999999999999943,2.5999999999999943,91.31400000000001,91.79,90.61,1.1800000000000068,-0.45999999999999375,92.694,94.2,90.99,3.210000000000008,-0.75,2637882,3865853,2067992,1797861,486607
2016-01-10,91.306,93.03,89.97,3.0600000000000023,-1.2199999999999989,92.84400000000001,94.48,91.4,3.0799999999999983,-0.9399999999999977,89.76599999999999,91.69,88.49,3.200000000000003,-1.3599999999999994,91.146,92.84,90.04,2.799999999999997,-0.6700000000000017,1983661,2635166,1567407,1067759,1067759
2016-01-17,90.345,92.06,88.77,3.2900000000000063,1.1200000000000045,91.875,93.71,90.32,3.3900000000000006,1.6999999999999886,89.03,91.39,86.53,4.859999999999999,1.4099999999999966,91.0675,93.62,88.6,5.02000000000001,2.710000000000008,2242916,2703334,1974800,728534,640336
2016-01-24,93.146,93.51,92.68,0.8299999999999983,-0.3500000000000085,93.92,94.48,93.11,1.3700000000000045,0.4000000000000057,92.032,92.76,91.05,1.710000000000008,0.10999999999999943,92.82,93.84,91.71,2.1300000000000097,0.8599999999999994,1472758,1752709,1121799,630910,-27800
2016-01-31,91.194,93.89,86.01,7.8799999999999955,-7.409999999999997,92.048,95.01,86.01,9.0,-8.799999999999997,89.102,93.05,82.56,10.489999999999995,-10.489999999999995,89.89999999999999,94.24,83.02,11.219999999999999,-11.219999999999999,3126016,4861974,1751391,3110583,1376890
2016-02-07,81.146,82.76,78.89,3.8700000000000045,0.18000000000000682,82.69200000000001,83.55,81.56,1.9899999999999949,0.8199999999999932,79.136,80.82,77.45,3.3699999999999903,-0.5600000000000023,80.676,82.01,79.16,2.8500000000000085,0.7400000000000091,4194230,6179401,2939492,3239909,1202707
2016-02-14,81.6575,83.22,80.85,2.3700000000000045,2.3700000000000045,82.97,84.07,81.32,2.75,2.75,80.965,82.28,79.59,2.6899999999999977,2.6899999999999977,82.7,83.94,81.31,2.6299999999999955,2.6299999999999955,2943017,3447028,2345583,1101445,-837815
2016-02-21,83.644,85.52,81.15,4.36999999999999,1.5799999999999983,85.05,86.23,83.85,2.3800000000000097,1.75,82.69200000000001,84.24,81.04,3.1999999999999886,1.1999999999999886,84.222,85.67,83.19,2.480000000000004,0.4299999999999926,2973620,4409234,1876947,2532287,-1459612
2016-02-28,86.08,87.21,84.4,2.809999999999988,2.6099999999999994,87.10000000000001,87.93,85.9,2.030000000000001,2.030000000000001,85.23400000000001,86.79,83.59,3.200000000000003,3.200000000000003,86.614,87.5,84.79,2.7099999999999937,2.7099999999999937,2174284,2985654,1631037,1354617,-424836
2016-03-06,86.472,87.14,85.71,1.4300000000000068,-0.14000000000000057,87.054,88.14,86.34,1.7999999999999972,-1.0,85.426,85.76,85.2,0.5600000000000023,0.39000000000000057,86.03999999999999,86.33,85.72,0.6099999999999994,0.4299999999999926,1611921,2766735,965177,1801558,-1707886
