Date,iShares US Consumer GoodsEtf_Open_average,iShares US Consumer GoodsEtf_Open_max,iShares US Consumer GoodsEtf_Open_min,iShares US Consumer GoodsEtf_Open_volatility,iShares US Consumer GoodsEtf_Open_change,iShares US Consumer GoodsEtf_High_average,iShares US Consumer GoodsEtf_High_max,iShares US Consumer GoodsEtf_High_min,iShares US Consumer GoodsEtf_High_volatility,iShares US Consumer GoodsEtf_High_change,iShares US Consumer GoodsEtf_Low_average,iShares US Consumer GoodsEtf_Low_max,iShares US Consumer GoodsEtf_Low_min,iShares US Consumer GoodsEtf_Low_volatility,iShares US Consumer GoodsEtf_Low_change,iShares US Consumer GoodsEtf_Close_average,iShares US Consumer GoodsEtf_Close_max,iShares US Consumer GoodsEtf_Close_min,iShares US Consumer GoodsEtf_Close_volatility,iShares US Consumer GoodsEtf_Close_change
2016-01-03,104.79,104.79,104.79,0.0,0.0,104.79,104.79,104.79,0.0,0.0,102.84,102.84,102.84,0.0,0.0,103.05,103.05,103.05,0.0,0.0
2016-01-10,100.3,100.3,100.3,0.0,0.0,101.2,101.2,101.2,0.0,0.0,99.51,99.51,99.51,0.0,0.0,100.9,100.9,100.9,0.0,0.0
2016-01-17,102.64,102.64,102.64,0.0,0.0,103.13,103.13,103.13,0.0,0.0,102.3,102.3,102.3,0.0,0.0,103.08,103.08,103.08,0.0,0.0
2016-01-24,104.32,104.32,104.32,0.0,0.0,106.3,106.3,106.3,0.0,0.0,104.32,104.32,104.32,0.0,0.0,106.3,106.3,106.3,0.0,0.0
2016-01-31,103.88,103.88,103.88,0.0,0.0,104.03,104.03,104.03,0.0,0.0,102.68,102.68,102.68,0.0,0.0,102.97,102.97,102.97,0.0,0.0
2016-02-07,102.23,102.23,102.23,0.0,0.0,103.1,103.1,103.1,0.0,0.0,102.09,102.09,102.09,0.0,0.0,103.06,103.06,103.06,0.0,0.0
2016-02-14,105.33,105.33,105.33,0.0,0.0,105.72,105.72,105.72,0.0,0.0,104.81,104.81,104.81,0.0,0.0,105.72,105.72,105.72,0.0,0.0
2016-02-21,108.66,108.66,108.66,0.0,0.0,108.66,108.66,108.66,0.0,0.0,107.25,107.25,107.25,0.0,0.0,107.45,107.45,107.45,0.0,0.0
2016-02-28,109.65,109.65,109.65,0.0,0.0,110.63,110.63,110.63,0.0,0.0,109.62,109.62,109.62,0.0,0.0,110.41,110.41,110.41,0.0,0.0
2016-03-06,110.66,110.66,110.66,0.0,0.0,111.02,111.02,111.02,0.0,0.0,110.49,110.49,110.49,0.0,0.0,110.97,110.97,110.97,0.0,0.0
