Date,First Trust Capital StrengthEtf_Open_average,First Trust Capital StrengthEtf_Open_max,First Trust Capital StrengthEtf_Open_min,First Trust Capital StrengthEtf_Open_volatility,First Trust Capital StrengthEtf_Open_change,First Trust Capital StrengthEtf_High_average,First Trust Capital StrengthEtf_High_max,First Trust Capital StrengthEtf_High_min,First Trust Capital StrengthEtf_High_volatility,First Trust Capital StrengthEtf_High_change,First Trust Capital StrengthEtf_Low_average,First Trust Capital StrengthEtf_Low_max,First Trust Capital StrengthEtf_Low_min,First Trust Capital StrengthEtf_Low_volatility,First Trust Capital StrengthEtf_Low_change,First Trust Capital StrengthEtf_Close_average,First Trust Capital StrengthEtf_Close_max,First Trust Capital StrengthEtf_Close_min,First Trust Capital StrengthEtf_Close_volatility,First Trust Capital StrengthEtf_Close_change
2016-01-03,36.84,36.84,36.84,0.0,0.0,36.84,36.84,36.84,0.0,0.0,36.17,36.17,36.17,0.0,0.0,36.18,36.18,36.18,0.0,0.0
2016-01-10,35.11,35.11,35.11,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.11,35.11,35.11,0.0,0.0,35.47,35.47,35.47,0.0,0.0
2016-01-17,35.88,35.88,35.88,0.0,0.0,36.0,36.0,36.0,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.95,35.95,35.95,0.0,0.0
2016-01-24,36.03,36.03,36.03,0.0,0.0,36.92,36.92,36.92,0.0,0.0,36.03,36.03,36.03,0.0,0.0,36.87,36.87,36.87,0.0,0.0
2016-01-31,36.37,36.37,36.37,0.0,0.0,36.37,36.37,36.37,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.92,35.92,35.92,0.0,0.0
2016-02-07,35.67,35.67,35.67,0.0,0.0,35.9,35.9,35.9,0.0,0.0,35.5,35.5,35.5,0.0,0.0,35.89,35.89,35.89,0.0,0.0
2016-02-14,36.77,36.77,36.77,0.0,0.0,36.99,36.99,36.99,0.0,0.0,36.69,36.69,36.69,0.0,0.0,36.97,36.97,36.97,0.0,0.0
2016-02-21,37.88,37.88,37.88,0.0,0.0,37.91,37.91,37.91,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.58,37.58,37.58,0.0,0.0
2016-02-28,37.99,37.99,37.99,0.0,0.0,38.29,38.29,38.29,0.0,0.0,37.94,37.94,37.94,0.0,0.0,38.15,38.15,38.15,0.0,0.0
2016-03-06,38.43,38.43,38.43,0.0,0.0,38.55,38.55,38.55,0.0,0.0,38.38,38.38,38.38,0.0,0.0,38.52,38.52,38.52,0.0,0.0
