Date,ProShares Short Real Estate_etf_Open_average,ProShares Short Real Estate_etf_Open_max,ProShares Short Real Estate_etf_Open_min,ProShares Short Real Estate_etf_Open_volatility,ProShares Short Real Estate_etf_Open_change,ProShares Short Real Estate_etf_High_average,ProShares Short Real Estate_etf_High_max,ProShares Short Real Estate_etf_High_min,ProShares Short Real Estate_etf_High_volatility,ProShares Short Real Estate_etf_High_change,ProShares Short Real Estate_etf_Low_average,ProShares Short Real Estate_etf_Low_max,ProShares Short Real Estate_etf_Low_min,ProShares Short Real Estate_etf_Low_volatility,ProShares Short Real Estate_etf_Low_change,ProShares Short Real Estate_etf_Close_average,ProShares Short Real Estate_etf_Close_max,ProShares Short Real Estate_etf_Close_min,ProShares Short Real Estate_etf_Close_volatility,ProShares Short Real Estate_etf_Close_change
2016-01-03,19.65,19.65,19.65,0.0,0.0,19.98,19.98,19.98,0.0,0.0,19.57,19.57,19.57,0.0,0.0,19.98,19.98,19.98,0.0,0.0
2016-01-10,20.56,20.56,20.56,0.0,0.0,20.73,20.73,20.73,0.0,0.0,20.53,20.53,20.53,0.0,0.0,20.56,20.56,20.56,0.0,0.0
2016-01-17,20.61,20.61,20.61,0.0,0.0,20.65,20.65,20.65,0.0,0.0,20.29,20.29,20.29,0.0,0.0,20.31,20.31,20.31,0.0,0.0
2016-01-24,20.44,20.44,20.44,0.0,0.0,20.53,20.53,20.53,0.0,0.0,20.09,20.09,20.09,0.0,0.0,20.1,20.1,20.1,0.0,0.0
2016-01-31,20.35,20.35,20.35,0.0,0.0,20.61,20.61,20.61,0.0,0.0,20.32,20.32,20.32,0.0,0.0,20.61,20.61,20.61,0.0,0.0
2016-02-07,21.69,21.69,21.69,0.0,0.0,21.69,21.69,21.69,0.0,0.0,21.47,21.47,21.47,0.0,0.0,21.49,21.49,21.49,0.0,0.0
2016-02-14,20.85,20.85,20.85,0.0,0.0,20.85,20.85,20.85,0.0,0.0,20.56,20.56,20.56,0.0,0.0,20.62,20.62,20.62,0.0,0.0
2016-02-21,20.08,20.08,20.08,0.0,0.0,20.12,20.12,20.12,0.0,0.0,19.99,19.99,19.99,0.0,0.0,20.12,20.12,20.12,0.0,0.0
2016-02-28,19.46,19.46,19.46,0.0,0.0,19.46,19.46,19.46,0.0,0.0,19.29,19.29,19.29,0.0,0.0,19.34,19.34,19.34,0.0,0.0
2016-03-06,19.25,19.25,19.25,0.0,0.0,19.29,19.29,19.29,0.0,0.0,18.99,18.99,18.99,0.0,0.0,18.99,18.99,18.99,0.0,0.0
2016-03-13,18.51,18.51,18.51,0.0,0.0,18.57,18.57,18.57,0.0,0.0,18.48,18.48,18.48,0.0,0.0,18.52,18.52,18.52,0.0,0.0
2016-03-20,18.93,18.93,18.93,0.0,0.0,18.99,18.99,18.99,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.81,18.81,18.81,0.0,0.0
2016-03-27,18.31,18.31,18.31,0.0,0.0,18.32,18.32,18.32,0.0,0.0,18.19,18.19,18.19,0.0,0.0,18.2,18.2,18.2,0.0,0.0
2016-04-03,18.3,18.3,18.3,0.0,0.0,18.3,18.3,18.3,0.0,0.0,18.22,18.22,18.22,0.0,0.0,18.27,18.27,18.27,0.0,0.0
2016-04-10,18.19,18.19,18.19,0.0,0.0,18.2,18.2,18.2,0.0,0.0,18.18,18.18,18.18,0.0,0.0,18.2,18.2,18.2,0.0,0.0
2016-04-17,18.65,18.65,18.65,0.0,0.0,18.65,18.65,18.65,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.49,18.49,18.49,0.0,0.0
2016-04-24,18.48,18.48,18.48,0.0,0.0,18.64,18.64,18.64,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.5,18.5,18.5,0.0,0.0
2016-05-01,18.0,18.0,18.0,0.0,0.0,18.07,18.07,18.07,0.0,0.0,17.79,17.79,17.79,0.0,0.0,17.8,17.8,17.8,0.0,0.0
2016-05-08,17.87,17.87,17.87,0.0,0.0,18.06,18.06,18.06,0.0,0.0,17.87,17.87,17.87,0.0,0.0,17.99,17.99,17.99,0.0,0.0
2016-05-15,18.5,18.5,18.5,0.0,0.0,18.51,18.51,18.51,0.0,0.0,18.41,18.41,18.41,0.0,0.0,18.46,18.46,18.46,0.0,0.0
2016-05-22,18.09,18.09,18.09,0.0,0.0,18.12,18.12,18.12,0.0,0.0,17.97,17.97,17.97,0.0,0.0,18.04,18.04,18.04,0.0,0.0
2016-05-29,17.77,17.77,17.77,0.0,0.0,17.91,17.91,17.91,0.0,0.0,17.73,17.73,17.73,0.0,0.0,17.86,17.86,17.86,0.0,0.0
2016-06-05,17.86,17.86,17.86,0.0,0.0,17.88,17.88,17.88,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.85,17.85,17.85,0.0,0.0
2016-06-12,17.77,17.77,17.77,0.0,0.0,17.78,17.78,17.78,0.0,0.0,17.73,17.73,17.73,0.0,0.0,17.73,17.73,17.73,0.0,0.0
2016-06-19,17.91,17.91,17.91,0.0,0.0,17.94,17.94,17.94,0.0,0.0,17.56,17.56,17.56,0.0,0.0,17.74,17.74,17.74,0.0,0.0
2016-06-26,16.87,16.87,16.87,0.0,0.0,16.98,16.98,16.98,0.0,0.0,16.85,16.85,16.85,0.0,0.0,16.97,16.97,16.97,0.0,0.0
2016-07-03,16.9,16.9,16.9,0.0,0.0,16.95,16.95,16.95,0.0,0.0,16.76,16.76,16.76,0.0,0.0,16.78,16.78,16.78,0.0,0.0
2016-07-10,16.8,16.8,16.8,0.0,0.0,16.8,16.8,16.8,0.0,0.0,16.67,16.67,16.67,0.0,0.0,16.69,16.69,16.69,0.0,0.0
2016-07-17,16.47,16.47,16.47,0.0,0.0,16.48,16.48,16.48,0.0,0.0,16.36,16.36,16.36,0.0,0.0,16.4,16.4,16.4,0.0,0.0
2016-07-24,16.44,16.44,16.44,0.0,0.0,16.5,16.5,16.5,0.0,0.0,16.25,16.25,16.25,0.0,0.0,16.31,16.31,16.31,0.0,0.0
2016-07-31,16.61,16.61,16.61,0.0,0.0,16.65,16.65,16.65,0.0,0.0,16.57,16.57,16.57,0.0,0.0,16.62,16.62,16.62,0.0,0.0
2016-08-07,16.64,16.64,16.64,0.0,0.0,16.67,16.67,16.67,0.0,0.0,16.51,16.51,16.51,0.0,0.0,16.65,16.65,16.65,0.0,0.0
2016-08-14,16.95,16.95,16.95,0.0,0.0,17.01,17.01,17.01,0.0,0.0,16.93,16.93,16.93,0.0,0.0,16.97,16.97,16.97,0.0,0.0
2016-08-21,16.94,16.94,16.94,0.0,0.0,17.12,17.12,17.12,0.0,0.0,16.75,16.75,16.75,0.0,0.0,17.02,17.02,17.02,0.0,0.0
2016-08-28,16.62,16.62,16.62,0.0,0.0,16.81,16.81,16.81,0.0,0.0,16.6,16.6,16.6,0.0,0.0,16.75,16.75,16.75,0.0,0.0
2016-09-04,16.94,16.94,16.94,0.0,0.0,17.37,17.37,17.37,0.0,0.0,16.94,16.94,16.94,0.0,0.0,17.37,17.37,17.37,0.0,0.0
2016-09-11,17.56,17.56,17.56,0.0,0.0,17.56,17.56,17.56,0.0,0.0,17.48,17.48,17.48,0.0,0.0,17.48,17.48,17.48,0.0,0.0
2016-09-18,16.85,16.85,16.85,0.0,0.0,16.9,16.9,16.9,0.0,0.0,16.73,16.73,16.73,0.0,0.0,16.77,16.77,16.77,0.0,0.0
2016-09-25,16.93,16.93,16.93,0.0,0.0,17.05,17.05,17.05,0.0,0.0,16.83,16.83,16.83,0.0,0.0,17.05,17.05,17.05,0.0,0.0
2016-10-02,17.92,17.92,17.92,0.0,0.0,18.02,18.02,18.02,0.0,0.0,17.91,17.91,17.91,0.0,0.0,17.91,17.91,17.91,0.0,0.0
2016-10-09,17.74,17.74,17.74,0.0,0.0,17.74,17.74,17.74,0.0,0.0,17.55,17.55,17.55,0.0,0.0,17.7,17.7,17.7,0.0,0.0
2016-10-16,17.66,17.66,17.66,0.0,0.0,17.66,17.66,17.66,0.0,0.0,17.57,17.57,17.57,0.0,0.0,17.59,17.59,17.59,0.0,0.0
