Date,iShares Global TelecomEtf_Open_average,iShares Global TelecomEtf_Open_max,iShares Global TelecomEtf_Open_min,iShares Global TelecomEtf_Open_volatility,iShares Global TelecomEtf_Open_change,iShares Global TelecomEtf_High_average,iShares Global TelecomEtf_High_max,iShares Global TelecomEtf_High_min,iShares Global TelecomEtf_High_volatility,iShares Global TelecomEtf_High_change,iShares Global TelecomEtf_Low_average,iShares Global TelecomEtf_Low_max,iShares Global TelecomEtf_Low_min,iShares Global TelecomEtf_Low_volatility,iShares Global TelecomEtf_Low_change,iShares Global TelecomEtf_Close_average,iShares Global TelecomEtf_Close_max,iShares Global TelecomEtf_Close_min,iShares Global TelecomEtf_Close_volatility,iShares Global TelecomEtf_Close_change
2016-01-03,56.7,56.7,56.7,0.0,0.0,56.7,56.7,56.7,0.0,0.0,55.8,55.8,55.8,0.0,0.0,55.96,55.96,55.96,0.0,0.0
2016-01-10,54.96,54.96,54.96,0.0,0.0,55.48,55.48,55.48,0.0,0.0,54.65,54.65,54.65,0.0,0.0,55.05,55.05,55.05,0.0,0.0
2016-01-17,56.22,56.22,56.22,0.0,0.0,56.93,56.93,56.93,0.0,0.0,56.22,56.22,56.22,0.0,0.0,56.91,56.91,56.91,0.0,0.0
2016-01-24,57.98,57.98,57.98,0.0,0.0,58.84,58.84,58.84,0.0,0.0,57.98,57.98,57.98,0.0,0.0,58.81,58.81,58.81,0.0,0.0
2016-01-31,59.09,59.09,59.09,0.0,0.0,59.36,59.36,59.36,0.0,0.0,58.76,58.76,58.76,0.0,0.0,58.87,58.87,58.87,0.0,0.0
2016-02-07,57.12,57.12,57.12,0.0,0.0,57.66,57.66,57.66,0.0,0.0,56.89,56.89,56.89,0.0,0.0,57.62,57.62,57.62,0.0,0.0
2016-02-14,58.72,58.72,58.72,0.0,0.0,58.84,58.84,58.84,0.0,0.0,58.53,58.53,58.53,0.0,0.0,58.68,58.68,58.68,0.0,0.0
2016-02-21,59.47,59.47,59.47,0.0,0.0,59.47,59.47,59.47,0.0,0.0,59.06,59.06,59.06,0.0,0.0,59.11,59.11,59.11,0.0,0.0
2016-02-28,60.72,60.72,60.72,0.0,0.0,60.86,60.86,60.86,0.0,0.0,60.5,60.5,60.5,0.0,0.0,60.58,60.58,60.58,0.0,0.0
2016-03-06,61.47,61.47,61.47,0.0,0.0,61.74,61.74,61.74,0.0,0.0,61.41,61.41,61.41,0.0,0.0,61.74,61.74,61.74,0.0,0.0
2016-03-13,62.47,62.47,62.47,0.0,0.0,62.47,62.47,62.47,0.0,0.0,61.91,61.91,61.91,0.0,0.0,61.95,61.95,61.95,0.0,0.0
2016-03-20,61.08,61.08,61.08,0.0,0.0,61.58,61.58,61.58,0.0,0.0,61.08,61.08,61.08,0.0,0.0,61.56,61.56,61.56,0.0,0.0
2016-03-27,61.5,61.5,61.5,0.0,0.0,62.08,62.08,62.08,0.0,0.0,61.35,61.35,61.35,0.0,0.0,62.08,62.08,62.08,0.0,0.0
2016-04-03,61.68,61.68,61.68,0.0,0.0,61.95,61.95,61.95,0.0,0.0,61.51,61.51,61.51,0.0,0.0,61.54,61.54,61.54,0.0,0.0
2016-04-10,62.42,62.42,62.42,0.0,0.0,62.53,62.53,62.53,0.0,0.0,62.32,62.32,62.32,0.0,0.0,62.41,62.41,62.41,0.0,0.0
2016-04-17,62.51,62.51,62.51,0.0,0.0,62.74,62.74,62.74,0.0,0.0,62.4,62.4,62.4,0.0,0.0,62.7,62.7,62.7,0.0,0.0
2016-04-24,62.17,62.17,62.17,0.0,0.0,62.37,62.37,62.37,0.0,0.0,61.95,61.95,61.95,0.0,0.0,62.18,62.18,62.18,0.0,0.0
2016-05-01,61.45,61.45,61.45,0.0,0.0,61.81,61.81,61.81,0.0,0.0,61.31,61.31,61.31,0.0,0.0,61.74,61.74,61.74,0.0,0.0
2016-05-08,62.45,62.45,62.45,0.0,0.0,62.45,62.45,62.45,0.0,0.0,62.02,62.02,62.02,0.0,0.0,62.06,62.06,62.06,0.0,0.0
