Date,CRNT_stock_Open_average,CRNT_stock_Open_max,CRNT_stock_Open_min,CRNT_stock_Open_volatility,CRNT_stock_Open_change,CRNT_stock_High_average,CRNT_stock_High_max,CRNT_stock_High_min,CRNT_stock_High_volatility,CRNT_stock_High_change,CRNT_stock_Low_average,CRNT_stock_Low_max,CRNT_stock_Low_min,CRNT_stock_Low_volatility,CRNT_stock_Low_change,CRNT_stock_Close_average,CRNT_stock_Close_max,CRNT_stock_Close_min,CRNT_stock_Close_volatility,CRNT_stock_Close_change,CRNT_stock_Volume_average,CRNT_stock_Volume_max,CRNT_stock_Volume_min,CRNT_stock_Volume_volatility,CRNT_stock_Volume_change
2016-01-03,1.216,1.27,1.14,0.13000000000000012,-0.050000000000000044,1.246,1.28,1.2,0.08000000000000007,-0.030000000000000027,1.154,1.21,1.07,0.1399999999999999,-0.030000000000000027,1.2,1.27,1.13,0.14000000000000012,-0.08000000000000007,236176,848228,49023,799205,-34604
2016-01-10,1.11,1.19,1.05,0.1399999999999999,-0.1399999999999999,1.146,1.19,1.12,0.06999999999999984,-0.06000000000000005,1.06,1.13,1.01,0.11999999999999988,-0.10999999999999988,1.09,1.14,1.06,0.07999999999999985,-0.07999999999999985,116964,166327,38094,128233,-93419
2016-01-17,1.045,1.12,0.99,0.13000000000000012,0.08000000000000007,1.1225,1.22,1.06,0.15999999999999992,0.1299999999999999,1.0025,1.1,0.89,0.21000000000000008,0.10000000000000009,1.0875,1.19,1.03,0.15999999999999992,0.15999999999999992,226710,326977,110141,216836,141753
2016-01-24,1.228,1.26,1.19,0.07000000000000006,0.020000000000000018,1.274,1.28,1.27,0.010000000000000009,-0.010000000000000009,1.192,1.23,1.13,0.10000000000000009,0.030000000000000027,1.246,1.26,1.2,0.06000000000000005,0.010000000000000009,131091,343333,17491,325842,-325842
2016-01-31,1.246,1.27,1.23,0.040000000000000036,0.030000000000000027,1.27,1.3,1.24,0.06000000000000005,0.030000000000000027,1.21,1.23,1.18,0.050000000000000044,0.020000000000000018,1.254,1.28,1.24,0.040000000000000036,-0.020000000000000018,97283,196674,13590,183084,-86508
2016-02-07,1.1260000000000001,1.24,1.03,0.20999999999999996,-0.11999999999999988,1.17,1.24,1.12,0.11999999999999988,-0.050000000000000044,1.072,1.12,1.03,0.09000000000000008,-0.020000000000000018,1.096,1.16,1.03,0.1299999999999999,-0.05999999999999983,40628,76212,25431,50781,-17779
2016-02-14,1.1425,1.18,1.1,0.07999999999999985,-0.05999999999999983,1.1925,1.21,1.18,0.030000000000000027,-0.020000000000000018,1.1125,1.13,1.1,0.029999999999999805,-0.020000000000000018,1.135,1.18,1.1,0.07999999999999985,0.019999999999999796,73284,128994,10725,118269,-118269
2016-02-21,1.1,1.14,1.06,0.07999999999999985,-0.039999999999999813,1.124,1.14,1.1,0.039999999999999813,-0.019999999999999796,1.074,1.09,1.04,0.050000000000000044,0.020000000000000018,1.112,1.12,1.1,0.020000000000000018,0.0,43869,89144,22414,66730,-66730
2016-02-28,1.118,1.14,1.1,0.039999999999999813,0.029999999999999805,1.146,1.17,1.12,0.04999999999999982,0.04999999999999982,1.098,1.12,1.08,0.040000000000000036,0.030000000000000027,1.134,1.16,1.1,0.05999999999999983,0.05999999999999983,54224,71595,20711,50884,-13036
2016-03-06,1.154,1.19,1.13,0.06000000000000005,-0.020000000000000018,1.196,1.21,1.17,0.040000000000000036,0.040000000000000036,1.126,1.15,1.09,0.05999999999999983,0.019999999999999796,1.154,1.17,1.14,0.030000000000000027,0.020000000000000018,92661,145405,34606,110799,-40108
