Date,ProShares Inflation ExpectationsEtf_Open_average,ProShares Inflation ExpectationsEtf_Open_max,ProShares Inflation ExpectationsEtf_Open_min,ProShares Inflation ExpectationsEtf_Open_volatility,ProShares Inflation ExpectationsEtf_Open_change,ProShares Inflation ExpectationsEtf_High_average,ProShares Inflation ExpectationsEtf_High_max,ProShares Inflation ExpectationsEtf_High_min,ProShares Inflation ExpectationsEtf_High_volatility,ProShares Inflation ExpectationsEtf_High_change,ProShares Inflation ExpectationsEtf_Low_average,ProShares Inflation ExpectationsEtf_Low_max,ProShares Inflation ExpectationsEtf_Low_min,ProShares Inflation ExpectationsEtf_Low_volatility,ProShares Inflation ExpectationsEtf_Low_change,ProShares Inflation ExpectationsEtf_Close_average,ProShares Inflation ExpectationsEtf_Close_max,ProShares Inflation ExpectationsEtf_Close_min,ProShares Inflation ExpectationsEtf_Close_volatility,ProShares Inflation ExpectationsEtf_Close_change
2016-01-03,27.73,27.73,27.73,0.0,0.0,27.74,27.74,27.74,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.72,27.72,27.72,0.0,0.0
2016-01-10,26.94,26.94,26.94,0.0,0.0,26.94,26.94,26.94,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.77,26.77,26.77,0.0,0.0
2016-01-17,26.62,26.62,26.62,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.62,26.62,26.62,0.0,0.0
2016-01-24,27.09,27.09,27.09,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.06,27.06,27.06,0.0,0.0,27.11,27.11,27.11,0.0,0.0
2016-01-31,26.83,26.83,26.83,0.0,0.0,27.16,27.16,27.16,0.0,0.0,26.83,26.83,26.83,0.0,0.0,27.06,27.06,27.06,0.0,0.0
2016-02-07,26.35,26.35,26.35,0.0,0.0,26.36,26.36,26.36,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.36,26.36,26.36,0.0,0.0
2016-02-14,25.75,25.75,25.75,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.81,25.81,25.81,0.0,0.0
2016-02-21,26.7,26.7,26.7,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.7,26.7,26.7,0.0,0.0
2016-02-28,27.33,27.33,27.33,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.25,27.25,27.25,0.0,0.0
2016-03-06,27.14,27.14,27.14,0.0,0.0,27.14,27.14,27.14,0.0,0.0,27.14,27.14,27.14,0.0,0.0,27.14,27.14,27.14,0.0,0.0
2016-03-13,27.37,27.37,27.37,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.06,27.06,27.06,0.0,0.0,27.64,27.64,27.64,0.0,0.0
2016-03-20,27.48,27.48,27.48,0.0,0.0,27.48,27.48,27.48,0.0,0.0,27.48,27.48,27.48,0.0,0.0,27.48,27.48,27.48,0.0,0.0
2016-03-27,27.83,27.83,27.83,0.0,0.0,27.83,27.83,27.83,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.71,27.71,27.71,0.0,0.0
2016-04-03,27.49,27.49,27.49,0.0,0.0,27.49,27.49,27.49,0.0,0.0,27.49,27.49,27.49,0.0,0.0,27.49,27.49,27.49,0.0,0.0
2016-04-10,27.22,27.22,27.22,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.15,27.15,27.15,0.0,0.0
2016-04-17,27.53,27.53,27.53,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.53,27.53,27.53,0.0,0.0
2016-04-24,27.74,27.74,27.74,0.0,0.0,28.0,28.0,28.0,0.0,0.0,27.34,27.34,27.34,0.0,0.0,28.0,28.0,28.0,0.0,0.0
2016-05-01,27.61,27.61,27.61,0.0,0.0,27.62,27.62,27.62,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.57,27.57,27.57,0.0,0.0
2016-05-08,27.61,27.61,27.61,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.56,27.56,27.56,0.0,0.0
2016-05-15,27.66,27.66,27.66,0.0,0.0,27.67,27.67,27.67,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.31,27.31,27.31,0.0,0.0
2016-05-22,27.46,27.46,27.46,0.0,0.0,27.94,27.94,27.94,0.0,0.0,27.46,27.46,27.46,0.0,0.0,27.94,27.94,27.94,0.0,0.0
2016-05-29,27.27,27.27,27.27,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.26,27.26,27.26,0.0,0.0
2016-06-05,27.39,27.39,27.39,0.0,0.0,27.39,27.39,27.39,0.0,0.0,27.39,27.39,27.39,0.0,0.0,27.39,27.39,27.39,0.0,0.0
2016-06-12,26.72,26.72,26.72,0.0,0.0,26.72,26.72,26.72,0.0,0.0,26.72,26.72,26.72,0.0,0.0,26.72,26.72,26.72,0.0,0.0
2016-06-19,26.95,26.95,26.95,0.0,0.0,26.95,26.95,26.95,0.0,0.0,26.95,26.95,26.95,0.0,0.0,26.95,26.95,26.95,0.0,0.0
2016-06-26,27.03,27.03,27.03,0.0,0.0,27.03,27.03,27.03,0.0,0.0,27.03,27.03,27.03,0.0,0.0,27.03,27.03,27.03,0.0,0.0
2016-07-03,27.27,27.27,27.27,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.27,27.27,27.27,0.0,0.0
2016-07-10,27.79,27.79,27.79,0.0,0.0,27.79,27.79,27.79,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.25,27.25,27.25,0.0,0.0
2016-07-17,27.2,27.2,27.2,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.19,27.19,27.19,0.0,0.0,27.19,27.19,27.19,0.0,0.0
2016-07-24,27.34,27.34,27.34,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0
2016-07-31,27.15,27.15,27.15,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.31,27.31,27.31,0.0,0.0
2016-08-07,27.69,27.69,27.69,0.0,0.0,27.69,27.69,27.69,0.0,0.0,27.69,27.69,27.69,0.0,0.0,27.69,27.69,27.69,0.0,0.0
2016-08-14,27.45,27.45,27.45,0.0,0.0,27.63,27.63,27.63,0.0,0.0,27.43,27.43,27.43,0.0,0.0,27.47,27.47,27.47,0.0,0.0
2016-08-21,27.75,27.75,27.75,0.0,0.0,27.97,27.97,27.97,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.6,27.6,27.6,0.0,0.0
2016-08-28,27.82,27.82,27.82,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.76,27.76,27.76,0.0,0.0,27.76,27.76,27.76,0.0,0.0
2016-09-04,27.93,27.93,27.93,0.0,0.0,27.93,27.93,27.93,0.0,0.0,27.93,27.93,27.93,0.0,0.0,27.93,27.93,27.93,0.0,0.0
2016-09-11,27.86,27.86,27.86,0.0,0.0,28.05,28.05,28.05,0.0,0.0,27.86,27.86,27.86,0.0,0.0,28.05,28.05,28.05,0.0,0.0
2016-09-18,27.91,27.91,27.91,0.0,0.0,28.13,28.13,28.13,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.9,27.9,27.9,0.0,0.0
2016-09-25,27.94,27.94,27.94,0.0,0.0,27.94,27.94,27.94,0.0,0.0,27.94,27.94,27.94,0.0,0.0,27.94,27.94,27.94,0.0,0.0
