Date,iShares MSCI Global Metals & Mining ProducersEtf_Open_average,iShares MSCI Global Metals & Mining ProducersEtf_Open_max,iShares MSCI Global Metals & Mining ProducersEtf_Open_min,iShares MSCI Global Metals & Mining ProducersEtf_Open_volatility,iShares MSCI Global Metals & Mining ProducersEtf_Open_change,iShares MSCI Global Metals & Mining ProducersEtf_High_average,iShares MSCI Global Metals & Mining ProducersEtf_High_max,iShares MSCI Global Metals & Mining ProducersEtf_High_min,iShares MSCI Global Metals & Mining ProducersEtf_High_volatility,iShares MSCI Global Metals & Mining ProducersEtf_High_change,iShares MSCI Global Metals & Mining ProducersEtf_Low_average,iShares MSCI Global Metals & Mining ProducersEtf_Low_max,iShares MSCI Global Metals & Mining ProducersEtf_Low_min,iShares MSCI Global Metals & Mining ProducersEtf_Low_volatility,iShares MSCI Global Metals & Mining ProducersEtf_Low_change,iShares MSCI Global Metals & Mining ProducersEtf_Close_average,iShares MSCI Global Metals & Mining ProducersEtf_Close_max,iShares MSCI Global Metals & Mining ProducersEtf_Close_min,iShares MSCI Global Metals & Mining ProducersEtf_Close_volatility,iShares MSCI Global Metals & Mining ProducersEtf_Close_change
2016-01-03,15.36,15.36,15.36,0.0,0.0,15.4,15.4,15.4,0.0,0.0,14.84,14.84,14.84,0.0,0.0,14.9,14.9,14.9,0.0,0.0
2016-01-10,13.96,13.96,13.96,0.0,0.0,14.22,14.22,14.22,0.0,0.0,13.8,13.8,13.8,0.0,0.0,14.02,14.02,14.02,0.0,0.0
2016-01-17,14.48,14.48,14.48,0.0,0.0,14.6,14.6,14.6,0.0,0.0,14.1,14.1,14.1,0.0,0.0,14.48,14.48,14.48,0.0,0.0
2016-01-24,14.6,14.6,14.6,0.0,0.0,14.96,14.96,14.96,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.74,14.74,14.74,0.0,0.0
2016-01-31,15.58,15.58,15.58,0.0,0.0,15.74,15.74,15.74,0.0,0.0,15.2,15.2,15.2,0.0,0.0,15.38,15.38,15.38,0.0,0.0
2016-02-07,14.6,14.6,14.6,0.0,0.0,15.2,15.2,15.2,0.0,0.0,14.56,14.56,14.56,0.0,0.0,14.96,14.96,14.96,0.0,0.0
2016-02-14,15.92,15.92,15.92,0.0,0.0,16.17,16.17,16.17,0.0,0.0,15.82,15.82,15.82,0.0,0.0,16.14,16.14,16.14,0.0,0.0
2016-02-21,16.4,16.4,16.4,0.0,0.0,16.54,16.54,16.54,0.0,0.0,16.14,16.14,16.14,0.0,0.0,16.16,16.16,16.16,0.0,0.0
2016-02-28,18.5,18.5,18.5,0.0,0.0,19.51,19.51,19.51,0.0,0.0,18.5,18.5,18.5,0.0,0.0,19.14,19.14,19.14,0.0,0.0
2016-03-06,18.74,18.74,18.74,0.0,0.0,19.12,19.12,19.12,0.0,0.0,18.72,18.72,18.72,0.0,0.0,19.1,19.1,19.1,0.0,0.0
2016-03-13,19.92,19.92,19.92,0.0,0.0,20.0,20.0,20.0,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.72,19.72,19.72,0.0,0.0
2016-03-20,18.44,18.44,18.44,0.0,0.0,18.78,18.78,18.78,0.0,0.0,18.2,18.2,18.2,0.0,0.0,18.72,18.72,18.72,0.0,0.0
2016-03-27,18.84,18.84,18.84,0.0,0.0,19.12,19.12,19.12,0.0,0.0,18.54,18.54,18.54,0.0,0.0,19.1,19.1,19.1,0.0,0.0
2016-04-03,18.7,18.7,18.7,0.0,0.0,18.98,18.98,18.98,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.88,18.88,18.88,0.0,0.0
2016-04-10,20.88,20.88,20.88,0.0,0.0,20.96,20.96,20.96,0.0,0.0,20.7,20.7,20.7,0.0,0.0,20.89,20.89,20.89,0.0,0.0
2016-04-17,22.14,22.14,22.14,0.0,0.0,22.32,22.32,22.32,0.0,0.0,22.02,22.02,22.02,0.0,0.0,22.1,22.1,22.1,0.0,0.0
2016-04-24,22.2,22.2,22.2,0.0,0.0,22.38,22.38,22.38,0.0,0.0,22.04,22.04,22.04,0.0,0.0,22.24,22.24,22.24,0.0,0.0
2016-05-01,20.1,20.1,20.1,0.0,0.0,20.4,20.4,20.4,0.0,0.0,20.0,20.0,20.0,0.0,0.0,20.3,20.3,20.3,0.0,0.0
2016-05-08,19.14,19.14,19.14,0.0,0.0,19.32,19.32,19.32,0.0,0.0,18.94,18.94,18.94,0.0,0.0,18.98,18.98,18.98,0.0,0.0
2016-05-15,19.3,19.3,19.3,0.0,0.0,19.3,19.3,19.3,0.0,0.0,19.01,19.01,19.01,0.0,0.0,19.06,19.06,19.06,0.0,0.0
2016-05-22,19.64,19.64,19.64,0.0,0.0,19.64,19.64,19.64,0.0,0.0,19.34,19.34,19.34,0.0,0.0,19.4,19.4,19.4,0.0,0.0
2016-05-29,19.32,19.32,19.32,0.0,0.0,19.62,19.62,19.62,0.0,0.0,19.28,19.28,19.28,0.0,0.0,19.58,19.58,19.58,0.0,0.0
2016-06-05,19.84,19.84,19.84,0.0,0.0,19.86,19.86,19.86,0.0,0.0,19.44,19.44,19.44,0.0,0.0,19.47,19.47,19.47,0.0,0.0
2016-06-12,19.52,19.52,19.52,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.66,19.66,19.66,0.0,0.0
2016-06-19,19.54,19.54,19.54,0.0,0.0,19.62,19.62,19.62,0.0,0.0,19.04,19.04,19.04,0.0,0.0,19.08,19.08,19.08,0.0,0.0
2016-06-26,20.18,20.18,20.18,0.0,0.0,20.38,20.38,20.38,0.0,0.0,20.0,20.0,20.0,0.0,0.0,20.36,20.36,20.36,0.0,0.0
2016-07-03,20.1,20.1,20.1,0.0,0.0,20.56,20.56,20.56,0.0,0.0,20.1,20.1,20.1,0.0,0.0,20.52,20.52,20.52,0.0,0.0
2016-07-10,22.14,22.14,22.14,0.0,0.0,22.33,22.33,22.33,0.0,0.0,22.12,22.12,22.12,0.0,0.0,22.22,22.22,22.22,0.0,0.0
2016-07-17,21.34,21.34,21.34,0.0,0.0,21.48,21.48,21.48,0.0,0.0,21.24,21.24,21.24,0.0,0.0,21.48,21.48,21.48,0.0,0.0
2016-07-24,22.22,22.22,22.22,0.0,0.0,22.4,22.4,22.4,0.0,0.0,22.08,22.08,22.08,0.0,0.0,22.36,22.36,22.36,0.0,0.0
2016-07-31,22.36,22.36,22.36,0.0,0.0,22.58,22.58,22.58,0.0,0.0,22.34,22.34,22.34,0.0,0.0,22.54,22.54,22.54,0.0,0.0
2016-08-07,22.84,22.84,22.84,0.0,0.0,22.84,22.84,22.84,0.0,0.0,22.36,22.36,22.36,0.0,0.0,22.42,22.42,22.42,0.0,0.0
2016-08-14,22.88,22.88,22.88,0.0,0.0,22.92,22.92,22.92,0.0,0.0,22.72,22.72,22.72,0.0,0.0,22.84,22.84,22.84,0.0,0.0
2016-08-21,22.38,22.38,22.38,0.0,0.0,22.84,22.84,22.84,0.0,0.0,22.02,22.02,22.02,0.0,0.0,22.1,22.1,22.1,0.0,0.0
2016-08-28,22.08,22.08,22.08,0.0,0.0,22.3,22.3,22.3,0.0,0.0,22.02,22.02,22.02,0.0,0.0,22.12,22.12,22.12,0.0,0.0
2016-09-04,22.32,22.32,22.32,0.0,0.0,22.32,22.32,22.32,0.0,0.0,21.8,21.8,21.8,0.0,0.0,21.84,21.84,21.84,0.0,0.0
2016-09-11,21.36,21.36,21.36,0.0,0.0,21.36,21.36,21.36,0.0,0.0,21.12,21.12,21.12,0.0,0.0,21.24,21.24,21.24,0.0,0.0
2016-09-18,22.72,22.72,22.72,0.0,0.0,23.0,23.0,23.0,0.0,0.0,22.72,22.72,22.72,0.0,0.0,22.85,22.85,22.85,0.0,0.0
2016-09-25,23.4,23.4,23.4,0.0,0.0,23.47,23.47,23.47,0.0,0.0,23.3,23.3,23.3,0.0,0.0,23.34,23.34,23.34,0.0,0.0
2016-10-02,23.46,23.46,23.46,0.0,0.0,23.48,23.48,23.48,0.0,0.0,23.02,23.02,23.02,0.0,0.0,23.32,23.32,23.32,0.0,0.0
2016-10-09,22.96,22.96,22.96,0.0,0.0,23.0,23.0,23.0,0.0,0.0,22.68,22.68,22.68,0.0,0.0,22.7,22.7,22.7,0.0,0.0
2016-10-16,23.4,23.4,23.4,0.0,0.0,23.66,23.66,23.66,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.62,23.62,23.62,0.0,0.0
2016-10-23,23.76,23.76,23.76,0.0,0.0,24.06,24.06,24.06,0.0,0.0,23.76,23.76,23.76,0.0,0.0,23.92,23.92,23.92,0.0,0.0
2016-10-30,23.7,23.7,23.7,0.0,0.0,23.91,23.91,23.91,0.0,0.0,23.46,23.46,23.46,0.0,0.0,23.64,23.64,23.64,0.0,0.0
2016-11-06,26.4,26.4,26.4,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.36,26.36,26.36,0.0,0.0
2016-11-13,26.1,26.1,26.1,0.0,0.0,26.1,26.1,26.1,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.35,25.35,25.35,0.0,0.0
2016-11-20,27.65,27.65,27.65,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.5,27.5,27.5,0.0,0.0
2016-11-27,26.74,26.74,26.74,0.0,0.0,27.21,27.21,27.21,0.0,0.0,26.67,26.67,26.67,0.0,0.0,27.16,27.16,27.16,0.0,0.0
2016-12-04,28.74,28.74,28.74,0.0,0.0,28.78,28.78,28.78,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.35,28.35,28.35,0.0,0.0
2016-12-11,26.85,26.85,26.85,0.0,0.0,27.03,27.03,27.03,0.0,0.0,26.4,26.4,26.4,0.0,0.0,26.41,26.41,26.41,0.0,0.0
2016-12-18,25.68,25.68,25.68,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.69,25.69,25.69,0.0,0.0
2016-12-25,26.11,26.11,26.11,0.0,0.0,26.16,26.16,26.16,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.74,25.74,25.74,0.0,0.0
2017-01-01,26.81,26.81,26.81,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.48,26.48,26.48,0.0,0.0,26.51,26.51,26.51,0.0,0.0
2017-01-08,28.18,28.18,28.18,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.09,28.09,28.09,0.0,0.0,28.41,28.41,28.41,0.0,0.0
2017-01-15,28.35,28.35,28.35,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.3,28.3,28.3,0.0,0.0,28.54,28.54,28.54,0.0,0.0
2017-01-22,29.75,29.75,29.75,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.78,29.78,29.78,0.0,0.0
2017-01-29,29.47,29.47,29.47,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.08,29.08,29.08,0.0,0.0,29.11,29.11,29.11,0.0,0.0
2017-02-05,29.59,29.59,29.59,0.0,0.0,29.92,29.92,29.92,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.87,29.87,29.87,0.0,0.0
2017-02-12,29.83,29.83,29.83,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.95,29.95,29.95,0.0,0.0
2017-02-19,28.84,28.84,28.84,0.0,0.0,28.96,28.96,28.96,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.68,28.68,28.68,0.0,0.0
2017-02-26,28.9,28.9,28.9,0.0,0.0,29.19,29.19,29.19,0.0,0.0,28.87,28.87,28.87,0.0,0.0,29.13,29.13,29.13,0.0,0.0
