Date,GABC_stock_Open_average,GABC_stock_Open_max,GABC_stock_Open_min,GABC_stock_Open_volatility,GABC_stock_Open_change,GABC_stock_High_average,GABC_stock_High_max,GABC_stock_High_min,GABC_stock_High_volatility,GABC_stock_High_change,GABC_stock_Low_average,GABC_stock_Low_max,GABC_stock_Low_min,GABC_stock_Low_volatility,GABC_stock_Low_change,GABC_stock_Close_average,GABC_stock_Close_max,GABC_stock_Close_min,GABC_stock_Close_volatility,GABC_stock_Close_change,GABC_stock_Volume_average,GABC_stock_Volume_max,GABC_stock_Volume_min,GABC_stock_Volume_volatility,GABC_stock_Volume_change
2016-01-03,21.418,21.87,21.14,0.7300000000000004,-0.5199999999999996,21.904,22.27,21.75,0.5199999999999996,0.3999999999999986,21.138,21.33,20.88,0.4499999999999993,0.2900000000000027,21.48,21.73,21.24,0.490000000000002,0.21999999999999886,51984,65348,31601,33747,717
2016-01-10,21.332,21.53,20.91,0.620000000000001,-0.620000000000001,21.5,21.59,21.3,0.28999999999999915,-0.23000000000000043,21.012,21.34,20.6,0.7399999999999984,-0.629999999999999,21.25,21.47,20.93,0.5399999999999991,-0.4200000000000017,68085,88442,48045,40397,-26387
2016-01-17,20.9725,21.12,20.77,0.3500000000000014,-0.13000000000000256,21.2275,21.33,21.13,0.1999999999999993,-0.1700000000000017,20.7325,21.01,20.53,0.4800000000000004,-0.4700000000000024,20.9925,21.09,20.87,0.21999999999999886,-0.08999999999999986,58488,85466,38138,47328,4683
2016-01-24,20.778,21.33,20.35,0.9799999999999969,0.16000000000000014,21.064,21.33,20.78,0.5499999999999972,0.4499999999999993,20.354,20.69,20.14,0.5500000000000007,0.490000000000002,20.722,21.21,20.39,0.8200000000000003,0.8200000000000003,70184,117198,40320,76878,67362
2016-01-31,20.69,21.05,20.39,0.6600000000000001,-0.620000000000001,20.88,21.2,20.64,0.5599999999999987,-0.5599999999999987,20.36,20.75,20.13,0.620000000000001,-0.620000000000001,20.568,20.96,20.28,0.6799999999999997,-0.6799999999999997,50007,90375,25890,64485,43599
2016-02-07,20.258,20.53,20.0,0.5300000000000011,0.00999999999999801,20.478,20.77,20.11,0.6600000000000001,-0.379999999999999,19.942,20.18,19.5,0.6799999999999997,0.17999999999999972,20.252,20.57,19.99,0.5800000000000018,-0.21999999999999886,36423,58671,23780,34891,-2841
2016-02-14,20.655,20.96,20.34,0.620000000000001,-0.14999999999999858,20.927500000000002,21.12,20.71,0.41000000000000014,-0.41000000000000014,20.3825,20.63,20.28,0.34999999999999787,0.05999999999999872,20.6725,20.87,20.36,0.5100000000000016,-0.23000000000000043,33764,51836,24021,27815,3624
2016-02-21,22.448333333333334,30.99,20.57,10.419999999999998,10.099999999999998,22.721666666666668,31.0,21.0,10.0,10.0,22.195,30.99,20.25,10.739999999999998,10.379999999999999,22.453333333333333,31.0,20.59,10.41,10.370000000000001,57440,106560,30920,75640,19539
2016-02-28,21.214,21.43,20.72,0.7100000000000009,0.7100000000000009,21.508,21.58,21.43,0.14999999999999858,0.0,21.11,21.29,20.52,0.7699999999999996,0.7699999999999996,21.378,21.55,21.29,0.26000000000000156,0.03999999999999915,88274,190390,42930,147460,-143510
2016-03-06,21.282,21.33,21.18,0.14999999999999858,0.030000000000001137,21.54,21.69,21.43,0.26000000000000156,0.240000000000002,21.07,21.21,20.85,0.35999999999999943,0.0799999999999983,21.346,21.67,21.17,0.5,0.23000000000000043,56006,77793,41660,36133,21708
