Date,WisdomTree India Earnings_etf_Open_average,WisdomTree India Earnings_etf_Open_max,WisdomTree India Earnings_etf_Open_min,WisdomTree India Earnings_etf_Open_volatility,WisdomTree India Earnings_etf_Open_change,WisdomTree India Earnings_etf_High_average,WisdomTree India Earnings_etf_High_max,WisdomTree India Earnings_etf_High_min,WisdomTree India Earnings_etf_High_volatility,WisdomTree India Earnings_etf_High_change,WisdomTree India Earnings_etf_Low_average,WisdomTree India Earnings_etf_Low_max,WisdomTree India Earnings_etf_Low_min,WisdomTree India Earnings_etf_Low_volatility,WisdomTree India Earnings_etf_Low_change,WisdomTree India Earnings_etf_Close_average,WisdomTree India Earnings_etf_Close_max,WisdomTree India Earnings_etf_Close_min,WisdomTree India Earnings_etf_Close_volatility,WisdomTree India Earnings_etf_Close_change
2016-01-03,19.05,19.05,19.05,0.0,0.0,19.09,19.09,19.09,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.84,18.84,18.84,0.0,0.0
2016-01-10,18.18,18.18,18.18,0.0,0.0,18.22,18.22,18.22,0.0,0.0,18.0,18.0,18.0,0.0,0.0,18.12,18.12,18.12,0.0,0.0
2016-01-17,18.21,18.21,18.21,0.0,0.0,18.22,18.22,18.22,0.0,0.0,18.07,18.07,18.07,0.0,0.0,18.2,18.2,18.2,0.0,0.0
2016-01-24,18.39,18.39,18.39,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.37,18.37,18.37,0.0,0.0,18.59,18.59,18.59,0.0,0.0
2016-01-31,18.1,18.1,18.1,0.0,0.0,18.12,18.12,18.12,0.0,0.0,17.89,17.89,17.89,0.0,0.0,17.96,17.96,17.96,0.0,0.0
2016-02-07,16.76,16.76,16.76,0.0,0.0,16.85,16.85,16.85,0.0,0.0,16.67,16.67,16.67,0.0,0.0,16.85,16.85,16.85,0.0,0.0
2016-02-14,17.05,17.05,17.05,0.0,0.0,17.17,17.17,17.17,0.0,0.0,17.02,17.02,17.02,0.0,0.0,17.08,17.08,17.08,0.0,0.0
2016-02-21,16.84,16.84,16.84,0.0,0.0,16.86,16.86,16.86,0.0,0.0,16.68,16.68,16.68,0.0,0.0,16.7,16.7,16.7,0.0,0.0
2016-02-28,18.52,18.52,18.52,0.0,0.0,18.77,18.77,18.77,0.0,0.0,18.46,18.46,18.46,0.0,0.0,18.76,18.76,18.76,0.0,0.0
2016-03-06,18.57,18.57,18.57,0.0,0.0,18.72,18.72,18.72,0.0,0.0,18.56,18.56,18.56,0.0,0.0,18.71,18.71,18.71,0.0,0.0
2016-03-13,19.07,19.07,19.07,0.0,0.0,19.16,19.16,19.16,0.0,0.0,19.06,19.06,19.06,0.0,0.0,19.11,19.11,19.11,0.0,0.0
2016-03-20,18.93,18.93,18.93,0.0,0.0,19.09,19.09,19.09,0.0,0.0,18.93,18.93,18.93,0.0,0.0,19.08,19.08,19.08,0.0,0.0
2016-03-27,19.2,19.2,19.2,0.0,0.0,19.56,19.56,19.56,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.5,19.5,19.5,0.0,0.0
2016-04-03,19.0,19.0,19.0,0.0,0.0,19.01,19.01,19.01,0.0,0.0,18.86,18.86,18.86,0.0,0.0,18.93,18.93,18.93,0.0,0.0
2016-04-10,19.82,19.82,19.82,0.0,0.0,19.88,19.88,19.88,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.82,19.82,19.82,0.0,0.0
2016-04-17,19.77,19.77,19.77,0.0,0.0,19.89,19.89,19.89,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.77,19.77,19.77,0.0,0.0
2016-04-24,19.57,19.57,19.57,0.0,0.0,19.64,19.64,19.64,0.0,0.0,19.45,19.45,19.45,0.0,0.0,19.58,19.58,19.58,0.0,0.0
2016-05-01,19.14,19.14,19.14,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.12,19.12,19.12,0.0,0.0,19.19,19.19,19.19,0.0,0.0
2016-05-08,19.23,19.23,19.23,0.0,0.0,19.32,19.32,19.32,0.0,0.0,19.0,19.0,19.0,0.0,0.0,19.03,19.03,19.03,0.0,0.0
2016-05-15,18.9,18.9,18.9,0.0,0.0,18.9,18.9,18.9,0.0,0.0,18.79,18.79,18.79,0.0,0.0,18.83,18.83,18.83,0.0,0.0
2016-05-22,19.83,19.83,19.83,0.0,0.0,19.85,19.85,19.85,0.0,0.0,19.76,19.76,19.76,0.0,0.0,19.81,19.81,19.81,0.0,0.0
2016-05-29,20.03,20.03,20.03,0.0,0.0,20.14,20.14,20.14,0.0,0.0,19.95,19.95,19.95,0.0,0.0,20.13,20.13,20.13,0.0,0.0
2016-06-05,20.09,20.09,20.09,0.0,0.0,20.12,20.12,20.12,0.0,0.0,19.92,19.92,19.92,0.0,0.0,19.93,19.93,19.93,0.0,0.0
2016-06-12,20.03,20.03,20.03,0.0,0.0,20.03,20.03,20.03,0.0,0.0,19.88,19.88,19.88,0.0,0.0,19.99,19.99,19.99,0.0,0.0
2016-06-19,19.31,19.31,19.31,0.0,0.0,19.62,19.62,19.62,0.0,0.0,19.17,19.17,19.17,0.0,0.0,19.22,19.22,19.22,0.0,0.0
2016-06-26,20.36,20.36,20.36,0.0,0.0,20.49,20.49,20.49,0.0,0.0,20.32,20.32,20.32,0.0,0.0,20.45,20.45,20.45,0.0,0.0
2016-07-03,20.44,20.44,20.44,0.0,0.0,20.64,20.64,20.64,0.0,0.0,20.41,20.41,20.41,0.0,0.0,20.64,20.64,20.64,0.0,0.0
2016-07-10,20.98,20.98,20.98,0.0,0.0,21.01,21.01,21.01,0.0,0.0,20.88,20.88,20.88,0.0,0.0,20.93,20.93,20.93,0.0,0.0
2016-07-17,20.97,20.97,20.97,0.0,0.0,21.04,21.04,21.04,0.0,0.0,20.89,20.89,20.89,0.0,0.0,21.04,21.04,21.04,0.0,0.0
2016-07-24,21.34,21.34,21.34,0.0,0.0,21.42,21.42,21.42,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.38,21.38,21.38,0.0,0.0
2016-07-31,21.47,21.47,21.47,0.0,0.0,21.55,21.55,21.55,0.0,0.0,21.42,21.42,21.42,0.0,0.0,21.54,21.54,21.54,0.0,0.0
2016-08-07,21.61,21.61,21.61,0.0,0.0,21.61,21.61,21.61,0.0,0.0,21.48,21.48,21.48,0.0,0.0,21.55,21.55,21.55,0.0,0.0
2016-08-14,21.53,21.53,21.53,0.0,0.0,21.59,21.59,21.59,0.0,0.0,21.43,21.43,21.43,0.0,0.0,21.59,21.59,21.59,0.0,0.0
2016-08-21,21.36,21.36,21.36,0.0,0.0,21.5,21.5,21.5,0.0,0.0,21.06,21.06,21.06,0.0,0.0,21.23,21.23,21.23,0.0,0.0
2016-08-28,21.98,21.98,21.98,0.0,0.0,22.06,22.06,22.06,0.0,0.0,21.94,21.94,21.94,0.0,0.0,22.06,22.06,22.06,0.0,0.0
2016-09-04,22.04,22.04,22.04,0.0,0.0,22.04,22.04,22.04,0.0,0.0,21.67,21.67,21.67,0.0,0.0,21.68,21.68,21.68,0.0,0.0
2016-09-11,21.67,21.67,21.67,0.0,0.0,21.68,21.68,21.68,0.0,0.0,21.53,21.53,21.53,0.0,0.0,21.62,21.62,21.62,0.0,0.0
2016-09-18,22.07,22.07,22.07,0.0,0.0,22.07,22.07,22.07,0.0,0.0,21.92,21.92,21.92,0.0,0.0,21.92,21.92,21.92,0.0,0.0
2016-09-25,21.56,21.56,21.56,0.0,0.0,21.65,21.65,21.65,0.0,0.0,21.51,21.51,21.51,0.0,0.0,21.62,21.62,21.62,0.0,0.0
2016-10-02,22.03,22.03,22.03,0.0,0.0,22.04,22.04,22.04,0.0,0.0,21.86,21.86,21.86,0.0,0.0,21.96,21.96,21.96,0.0,0.0
2016-10-09,21.71,21.71,21.71,0.0,0.0,21.76,21.76,21.76,0.0,0.0,21.58,21.58,21.58,0.0,0.0,21.59,21.59,21.59,0.0,0.0
2016-10-16,21.85,21.85,21.85,0.0,0.0,21.94,21.94,21.94,0.0,0.0,21.83,21.83,21.83,0.0,0.0,21.9,21.9,21.9,0.0,0.0
2016-10-23,21.7,21.7,21.7,0.0,0.0,21.77,21.77,21.77,0.0,0.0,21.55,21.55,21.55,0.0,0.0,21.64,21.64,21.64,0.0,0.0
2016-10-30,20.96,20.96,20.96,0.0,0.0,20.99,20.99,20.99,0.0,0.0,20.8,20.8,20.8,0.0,0.0,20.81,20.81,20.81,0.0,0.0
2016-11-06,20.13,20.13,20.13,0.0,0.0,20.26,20.26,20.26,0.0,0.0,19.85,19.85,19.85,0.0,0.0,19.98,19.98,19.98,0.0,0.0
2016-11-13,19.86,19.86,19.86,0.0,0.0,19.88,19.88,19.88,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.72,19.72,19.72,0.0,0.0
2016-11-20,19.93,19.93,19.93,0.0,0.0,19.99,19.99,19.99,0.0,0.0,19.89,19.89,19.89,0.0,0.0,19.92,19.92,19.92,0.0,0.0
2016-11-27,19.9,19.9,19.9,0.0,0.0,20.06,20.06,20.06,0.0,0.0,19.89,19.89,19.89,0.0,0.0,19.89,19.89,19.89,0.0,0.0
2016-12-04,20.63,20.63,20.63,0.0,0.0,20.68,20.68,20.68,0.0,0.0,20.59,20.59,20.59,0.0,0.0,20.64,20.64,20.64,0.0,0.0
2016-12-11,20.33,20.33,20.33,0.0,0.0,20.36,20.36,20.36,0.0,0.0,20.22,20.22,20.22,0.0,0.0,20.25,20.25,20.25,0.0,0.0
2016-12-18,19.77,19.77,19.77,0.0,0.0,19.85,19.85,19.85,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.83,19.83,19.83,0.0,0.0
2016-12-25,20.25,20.25,20.25,0.0,0.0,20.26,20.26,20.26,0.0,0.0,20.16,20.16,20.16,0.0,0.0,20.2,20.2,20.2,0.0,0.0
2017-01-01,20.56,20.56,20.56,0.0,0.0,20.56,20.56,20.56,0.0,0.0,20.49,20.49,20.49,0.0,0.0,20.51,20.51,20.51,0.0,0.0
2017-01-08,20.91,20.91,20.91,0.0,0.0,20.99,20.99,20.99,0.0,0.0,20.89,20.89,20.89,0.0,0.0,20.98,20.98,20.98,0.0,0.0
2017-01-15,20.71,20.71,20.71,0.0,0.0,20.74,20.74,20.74,0.0,0.0,20.64,20.64,20.64,0.0,0.0,20.69,20.69,20.69,0.0,0.0
2017-01-22,21.42,21.42,21.42,0.0,0.0,21.47,21.47,21.47,0.0,0.0,21.38,21.38,21.38,0.0,0.0,21.4,21.4,21.4,0.0,0.0
2017-01-29,21.94,21.94,21.94,0.0,0.0,22.03,22.03,22.03,0.0,0.0,21.93,21.93,21.93,0.0,0.0,22.03,22.03,22.03,0.0,0.0
2017-02-05,22.23,22.23,22.23,0.0,0.0,22.31,22.31,22.31,0.0,0.0,22.19,22.19,22.19,0.0,0.0,22.31,22.31,22.31,0.0,0.0
2017-02-12,22.1,22.1,22.1,0.0,0.0,22.17,22.17,22.17,0.0,0.0,22.1,22.1,22.1,0.0,0.0,22.16,22.16,22.16,0.0,0.0
2017-02-19,22.63,22.63,22.63,0.0,0.0,22.68,22.68,22.68,0.0,0.0,22.62,22.62,22.62,0.0,0.0,22.64,22.64,22.64,0.0,0.0
2017-02-26,22.78,22.78,22.78,0.0,0.0,22.81,22.81,22.81,0.0,0.0,22.69,22.69,22.69,0.0,0.0,22.8,22.8,22.8,0.0,0.0
2017-03-05,22.78,22.78,22.78,0.0,0.0,22.91,22.91,22.91,0.0,0.0,22.76,22.76,22.76,0.0,0.0,22.9,22.9,22.9,0.0,0.0
2017-03-12,23.86,23.86,23.86,0.0,0.0,23.86,23.86,23.86,0.0,0.0,23.72,23.72,23.72,0.0,0.0,23.73,23.73,23.73,0.0,0.0
2017-03-19,23.75,23.75,23.75,0.0,0.0,23.82,23.82,23.82,0.0,0.0,23.72,23.72,23.72,0.0,0.0,23.78,23.78,23.78,0.0,0.0
2017-03-26,24.14,24.14,24.14,0.0,0.0,24.26,24.26,24.26,0.0,0.0,24.12,24.12,24.12,0.0,0.0,24.13,24.13,24.13,0.0,0.0
2017-04-02,24.51,24.51,24.51,0.0,0.0,24.62,24.62,24.62,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.56,24.56,24.56,0.0,0.0
2017-04-09,24.48,24.48,24.48,0.0,0.0,24.51,24.51,24.51,0.0,0.0,24.31,24.31,24.31,0.0,0.0,24.34,24.34,24.34,0.0,0.0
2017-04-16,24.36,24.36,24.36,0.0,0.0,24.37,24.37,24.37,0.0,0.0,24.26,24.26,24.26,0.0,0.0,24.28,24.28,24.28,0.0,0.0
2017-04-23,24.79,24.79,24.79,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.74,24.74,24.74,0.0,0.0,24.84,24.84,24.84,0.0,0.0
2017-04-30,24.71,24.71,24.71,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.62,24.62,24.62,0.0,0.0,24.83,24.83,24.83,0.0,0.0
2017-05-07,25.12,25.12,25.12,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2017-05-14,24.79,24.79,24.79,0.0,0.0,24.93,24.93,24.93,0.0,0.0,24.77,24.77,24.77,0.0,0.0,24.89,24.89,24.89,0.0,0.0
2017-05-21,24.89,24.89,24.89,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.87,24.87,24.87,0.0,0.0
2017-05-28,25.17,25.17,25.17,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.21,25.21,25.21,0.0,0.0
2017-06-04,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0,24.95,24.95,24.95,0.0,0.0,25.03,25.03,25.03,0.0,0.0
2017-06-11,24.94,24.94,24.94,0.0,0.0,25.02,25.02,25.02,0.0,0.0,24.89,24.89,24.89,0.0,0.0,25.02,25.02,25.02,0.0,0.0
2017-06-18,24.78,24.78,24.78,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.84,24.84,24.84,0.0,0.0
2017-06-25,24.56,24.56,24.56,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.51,24.51,24.51,0.0,0.0
2017-07-02,25.0,25.0,25.0,0.0,0.0,25.07,25.07,25.07,0.0,0.0,24.92,24.92,24.92,0.0,0.0,25.02,25.02,25.02,0.0,0.0
2017-07-09,25.89,25.89,25.89,0.0,0.0,25.98,25.98,25.98,0.0,0.0,25.88,25.88,25.88,0.0,0.0,25.94,25.94,25.94,0.0,0.0
2017-07-16,26.06,26.06,26.06,0.0,0.0,26.06,26.06,26.06,0.0,0.0,25.98,25.98,25.98,0.0,0.0,26.01,26.01,26.01,0.0,0.0
2017-07-23,26.35,26.35,26.35,0.0,0.0,26.39,26.39,26.39,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.36,26.36,26.36,0.0,0.0
2017-07-30,26.79,26.79,26.79,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.8,26.8,26.8,0.0,0.0
