Date,Direxion Daily MSCI India Bull 3X SharesEtf_Open_average,Direxion Daily MSCI India Bull 3X SharesEtf_Open_max,Direxion Daily MSCI India Bull 3X SharesEtf_Open_min,Direxion Daily MSCI India Bull 3X SharesEtf_Open_volatility,Direxion Daily MSCI India Bull 3X SharesEtf_Open_change,Direxion Daily MSCI India Bull 3X SharesEtf_High_average,Direxion Daily MSCI India Bull 3X SharesEtf_High_max,Direxion Daily MSCI India Bull 3X SharesEtf_High_min,Direxion Daily MSCI India Bull 3X SharesEtf_High_volatility,Direxion Daily MSCI India Bull 3X SharesEtf_High_change,Direxion Daily MSCI India Bull 3X SharesEtf_Low_average,Direxion Daily MSCI India Bull 3X SharesEtf_Low_max,Direxion Daily MSCI India Bull 3X SharesEtf_Low_min,Direxion Daily MSCI India Bull 3X SharesEtf_Low_volatility,Direxion Daily MSCI India Bull 3X SharesEtf_Low_change,Direxion Daily MSCI India Bull 3X SharesEtf_Close_average,Direxion Daily MSCI India Bull 3X SharesEtf_Close_max,Direxion Daily MSCI India Bull 3X SharesEtf_Close_min,Direxion Daily MSCI India Bull 3X SharesEtf_Close_volatility,Direxion Daily MSCI India Bull 3X SharesEtf_Close_change
2016-01-03,47.08,47.08,47.08,0.0,0.0,47.28,47.28,47.28,0.0,0.0,44.92,44.92,44.92,0.0,0.0,44.92,44.92,44.92,0.0,0.0
2016-01-10,43.48,43.48,43.48,0.0,0.0,43.48,43.48,43.48,0.0,0.0,40.56,40.56,40.56,0.0,0.0,41.48,41.48,41.48,0.0,0.0
2016-01-17,41.68,41.68,41.68,0.0,0.0,41.88,41.88,41.88,0.0,0.0,40.8,40.8,40.8,0.0,0.0,41.64,41.64,41.64,0.0,0.0
2016-01-24,42.36,42.36,42.36,0.0,0.0,44.76,44.76,44.76,0.0,0.0,42.36,42.36,42.36,0.0,0.0,44.64,44.64,44.64,0.0,0.0
2016-01-31,42.28,42.28,42.28,0.0,0.0,42.47,42.47,42.47,0.0,0.0,40.72,40.72,40.72,0.0,0.0,41.16,41.16,41.16,0.0,0.0
2016-02-07,34.16,34.16,34.16,0.0,0.0,34.6,34.6,34.6,0.0,0.0,33.64,33.64,33.64,0.0,0.0,34.44,34.44,34.44,0.0,0.0
2016-02-14,35.8,35.8,35.8,0.0,0.0,36.08,36.08,36.08,0.0,0.0,35.08,35.08,35.08,0.0,0.0,35.76,35.76,35.76,0.0,0.0
2016-02-21,35.12,35.12,35.12,0.0,0.0,35.52,35.52,35.52,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.72,33.72,33.72,0.0,0.0
2016-02-28,43.56,43.56,43.56,0.0,0.0,44.92,44.92,44.92,0.0,0.0,43.04,43.04,43.04,0.0,0.0,44.84,44.84,44.84,0.0,0.0
2016-03-06,43.36,43.36,43.36,0.0,0.0,44.32,44.32,44.32,0.0,0.0,42.88,42.88,42.88,0.0,0.0,44.16,44.16,44.16,0.0,0.0
2016-03-13,46.32,46.32,46.32,0.0,0.0,46.32,46.32,46.32,0.0,0.0,45.44,45.44,45.44,0.0,0.0,45.87,45.87,45.87,0.0,0.0
2016-03-20,43.71,43.71,43.71,0.0,0.0,46.0,46.0,46.0,0.0,0.0,43.71,43.71,43.71,0.0,0.0,45.96,45.96,45.96,0.0,0.0
2016-03-27,46.35,46.35,46.35,0.0,0.0,48.3,48.3,48.3,0.0,0.0,45.74,45.74,45.74,0.0,0.0,48.14,48.14,48.14,0.0,0.0
2016-04-03,43.76,43.76,43.76,0.0,0.0,44.32,44.32,44.32,0.0,0.0,43.31,43.31,43.31,0.0,0.0,43.73,43.73,43.73,0.0,0.0
2016-04-10,49.82,49.82,49.82,0.0,0.0,50.47,50.47,50.47,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.94,49.94,49.94,0.0,0.0
2016-04-17,49.36,49.36,49.36,0.0,0.0,50.02,50.02,50.02,0.0,0.0,49.13,49.13,49.13,0.0,0.0,49.32,49.32,49.32,0.0,0.0
2016-04-24,47.77,47.77,47.77,0.0,0.0,48.0,48.0,48.0,0.0,0.0,47.06,47.06,47.06,0.0,0.0,47.75,47.75,47.75,0.0,0.0
2016-05-01,45.2,45.2,45.2,0.0,0.0,45.9,45.9,45.9,0.0,0.0,45.2,45.2,45.2,0.0,0.0,45.64,45.64,45.64,0.0,0.0
2016-05-08,46.02,46.02,46.02,0.0,0.0,46.02,46.02,46.02,0.0,0.0,43.9,43.9,43.9,0.0,0.0,44.06,44.06,44.06,0.0,0.0
