Date,ProShares Ultra FTSE EuropeEtf_Open_average,ProShares Ultra FTSE EuropeEtf_Open_max,ProShares Ultra FTSE EuropeEtf_Open_min,ProShares Ultra FTSE EuropeEtf_Open_volatility,ProShares Ultra FTSE EuropeEtf_Open_change,ProShares Ultra FTSE EuropeEtf_High_average,ProShares Ultra FTSE EuropeEtf_High_max,ProShares Ultra FTSE EuropeEtf_High_min,ProShares Ultra FTSE EuropeEtf_High_volatility,ProShares Ultra FTSE EuropeEtf_High_change,ProShares Ultra FTSE EuropeEtf_Low_average,ProShares Ultra FTSE EuropeEtf_Low_max,ProShares Ultra FTSE EuropeEtf_Low_min,ProShares Ultra FTSE EuropeEtf_Low_volatility,ProShares Ultra FTSE EuropeEtf_Low_change,ProShares Ultra FTSE EuropeEtf_Close_average,ProShares Ultra FTSE EuropeEtf_Close_max,ProShares Ultra FTSE EuropeEtf_Close_min,ProShares Ultra FTSE EuropeEtf_Close_volatility,ProShares Ultra FTSE EuropeEtf_Close_change
2016-01-03,35.86,35.86,35.86,0.0,0.0,35.86,35.86,35.86,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.84,34.84,34.84,0.0,0.0
2016-01-10,33.28,33.28,33.28,0.0,0.0,33.28,33.28,33.28,0.0,0.0,32.05,32.05,32.05,0.0,0.0,32.38,32.38,32.38,0.0,0.0
2016-01-17,33.37,33.37,33.37,0.0,0.0,34.02,34.02,34.02,0.0,0.0,33.37,33.37,33.37,0.0,0.0,33.51,33.51,33.51,0.0,0.0
2016-01-24,33.99,33.99,33.99,0.0,0.0,35.2,35.2,35.2,0.0,0.0,33.99,33.99,33.99,0.0,0.0,35.2,35.2,35.2,0.0,0.0
2016-01-31,33.86,33.86,33.86,0.0,0.0,33.86,33.86,33.86,0.0,0.0,32.77,32.77,32.77,0.0,0.0,33.3,33.3,33.3,0.0,0.0
2016-02-07,31.02,31.02,31.02,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.02,31.02,31.02,0.0,0.0,31.53,31.53,31.53,0.0,0.0
2016-02-14,32.8,32.8,32.8,0.0,0.0,33.29,33.29,33.29,0.0,0.0,32.8,32.8,32.8,0.0,0.0,33.29,33.29,33.29,0.0,0.0
2016-02-21,33.22,33.22,33.22,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.22,33.22,33.22,0.0,0.0
2016-02-28,35.69,35.69,35.69,0.0,0.0,36.15,36.15,36.15,0.0,0.0,35.69,35.69,35.69,0.0,0.0,36.03,36.03,36.03,0.0,0.0
2016-03-06,36.8,36.8,36.8,0.0,0.0,37.44,37.44,37.44,0.0,0.0,36.48,36.48,36.48,0.0,0.0,37.44,37.44,37.44,0.0,0.0
