Date,NEN_stock_Open_average,NEN_stock_Open_max,NEN_stock_Open_min,NEN_stock_Open_volatility,NEN_stock_Open_change,NEN_stock_High_average,NEN_stock_High_max,NEN_stock_High_min,NEN_stock_High_volatility,NEN_stock_High_change,NEN_stock_Low_average,NEN_stock_Low_max,NEN_stock_Low_min,NEN_stock_Low_volatility,NEN_stock_Low_change,NEN_stock_Close_average,NEN_stock_Close_max,NEN_stock_Close_min,NEN_stock_Close_volatility,NEN_stock_Close_change,NEN_stock_Volume_average,NEN_stock_Volume_max,NEN_stock_Volume_min,NEN_stock_Volume_volatility,NEN_stock_Volume_change
2016-01-03,50.256,50.5,49.99,0.509999999999998,0.19999999999999574,50.256,50.5,49.99,0.509999999999998,0.19999999999999574,50.256,50.5,49.99,0.509999999999998,0.19999999999999574,50.256,50.5,49.99,0.509999999999998,0.19999999999999574,172,300,100,200,0
2016-01-10,50.083333333333336,50.25,50.0,0.25,-0.25,50.083333333333336,50.25,50.0,0.25,-0.25,50.083333333333336,50.25,50.0,0.25,-0.25,50.083333333333336,50.25,50.0,0.25,-0.25,141,200,100,100,-25
2016-01-17,49.54,49.79,49.06,0.7299999999999969,-0.7299999999999969,49.54,49.79,49.06,0.7299999999999969,-0.7299999999999969,49.53333333333333,49.79,49.06,0.7299999999999969,-0.7299999999999969,49.53333333333333,49.79,49.06,0.7299999999999969,-0.7299999999999969,322,432,250,182,182
2016-01-24,50.33,52.35,48.75,3.6000000000000014,2.280000000000001,50.788000000000004,52.35,48.95,3.3999999999999986,2.0799999999999983,50.328,52.35,48.75,3.6000000000000014,2.270000000000003,50.784,52.35,48.95,3.3999999999999986,2.0700000000000003,905,1886,310,1576,-163
2016-01-31,49.485,49.85,49.12,0.730000000000004,-0.730000000000004,49.57,49.85,49.29,0.5600000000000023,-0.5600000000000023,49.485,49.85,49.12,0.730000000000004,-0.730000000000004,49.565,49.85,49.28,0.5700000000000003,-0.5700000000000003,254,409,100,309,309
2016-02-07,50.69,50.69,50.69,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.16,50.16,50.16,0.0,0.0,427,427,427,0,0
2016-02-14,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.36,49.36,49.36,0.0,0.0,49.36,49.36,49.36,0.0,0.0,590,590,590,0,0
2016-02-21,49.0,49.75,48.18,1.5700000000000003,0.6799999999999997,49.153333333333336,49.77,48.49,1.2800000000000011,0.5700000000000003,48.983333333333334,49.75,48.18,1.5700000000000003,0.7299999999999969,49.153333333333336,49.77,48.49,1.2800000000000011,0.5700000000000003,888,1428,298,1130,-642
2016-02-28,50.414,50.5,50.2,0.29999999999999716,0.09000000000000341,50.494,50.79,50.2,0.5899999999999963,-0.28999999999999915,50.232,50.48,50.0,0.4799999999999969,0.27999999999999403,50.354,50.79,50.0,0.7899999999999991,-0.28999999999999915,478,959,178,781,-305
2016-03-06,52.48,54.25,50.5,3.75,3.75,53.1,55.57,51.2,4.369999999999997,4.369999999999997,52.44,54.25,50.5,3.75,3.75,53.076,55.45,51.2,4.25,4.25,471,867,100,767,347
