Date,PowerShares Global Listed Private EquityEtf_Open_average,PowerShares Global Listed Private EquityEtf_Open_max,PowerShares Global Listed Private EquityEtf_Open_min,PowerShares Global Listed Private EquityEtf_Open_volatility,PowerShares Global Listed Private EquityEtf_Open_change,PowerShares Global Listed Private EquityEtf_High_average,PowerShares Global Listed Private EquityEtf_High_max,PowerShares Global Listed Private EquityEtf_High_min,PowerShares Global Listed Private EquityEtf_High_volatility,PowerShares Global Listed Private EquityEtf_High_change,PowerShares Global Listed Private EquityEtf_Low_average,PowerShares Global Listed Private EquityEtf_Low_max,PowerShares Global Listed Private EquityEtf_Low_min,PowerShares Global Listed Private EquityEtf_Low_volatility,PowerShares Global Listed Private EquityEtf_Low_change,PowerShares Global Listed Private EquityEtf_Close_average,PowerShares Global Listed Private EquityEtf_Close_max,PowerShares Global Listed Private EquityEtf_Close_min,PowerShares Global Listed Private EquityEtf_Close_volatility,PowerShares Global Listed Private EquityEtf_Close_change
2016-01-03,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,9.77,9.77,9.77,0.0,0.0,9.77,9.77,9.77,0.0,0.0
2016-01-10,9.35,9.35,9.35,0.0,0.0,9.38,9.38,9.38,0.0,0.0,9.22,9.22,9.22,0.0,0.0,9.35,9.35,9.35,0.0,0.0
2016-01-17,9.4,9.4,9.4,0.0,0.0,9.51,9.51,9.51,0.0,0.0,9.4,9.4,9.4,0.0,0.0,9.48,9.48,9.48,0.0,0.0
2016-01-24,9.5,9.5,9.5,0.0,0.0,9.62,9.62,9.62,0.0,0.0,9.5,9.5,9.5,0.0,0.0,9.62,9.62,9.62,0.0,0.0
2016-01-31,9.51,9.51,9.51,0.0,0.0,9.51,9.51,9.51,0.0,0.0,9.41,9.41,9.41,0.0,0.0,9.43,9.43,9.43,0.0,0.0
2016-02-07,8.84,8.84,8.84,0.0,0.0,8.99,8.99,8.99,0.0,0.0,8.82,8.82,8.82,0.0,0.0,8.98,8.98,8.98,0.0,0.0
2016-02-14,9.38,9.38,9.38,0.0,0.0,9.43,9.43,9.43,0.0,0.0,9.35,9.35,9.35,0.0,0.0,9.4,9.4,9.4,0.0,0.0
2016-02-21,9.48,9.48,9.48,0.0,0.0,9.52,9.52,9.52,0.0,0.0,9.43,9.43,9.43,0.0,0.0,9.5,9.5,9.5,0.0,0.0
2016-02-28,9.9,9.9,9.9,0.0,0.0,10.0,10.0,10.0,0.0,0.0,9.89,9.89,9.89,0.0,0.0,9.95,9.95,9.95,0.0,0.0
2016-03-06,9.95,9.95,9.95,0.0,0.0,10.04,10.04,10.04,0.0,0.0,9.95,9.95,9.95,0.0,0.0,10.02,10.02,10.02,0.0,0.0
2016-03-13,10.2,10.2,10.2,0.0,0.0,10.26,10.26,10.26,0.0,0.0,10.17,10.17,10.17,0.0,0.0,10.21,10.21,10.21,0.0,0.0
2016-03-20,9.99,9.99,9.99,0.0,0.0,10.03,10.03,10.03,0.0,0.0,9.94,9.94,9.94,0.0,0.0,10.02,10.02,10.02,0.0,0.0
2016-03-27,10.25,10.25,10.25,0.0,0.0,10.36,10.36,10.36,0.0,0.0,10.21,10.21,10.21,0.0,0.0,10.35,10.35,10.35,0.0,0.0
2016-04-03,10.12,10.12,10.12,0.0,0.0,10.15,10.15,10.15,0.0,0.0,10.06,10.06,10.06,0.0,0.0,10.07,10.07,10.07,0.0,0.0
2016-04-10,10.38,10.38,10.38,0.0,0.0,10.43,10.43,10.43,0.0,0.0,10.38,10.38,10.38,0.0,0.0,10.39,10.39,10.39,0.0,0.0
2016-04-17,10.5,10.5,10.5,0.0,0.0,10.58,10.58,10.58,0.0,0.0,10.5,10.5,10.5,0.0,0.0,10.55,10.55,10.55,0.0,0.0
2016-04-24,10.4,10.4,10.4,0.0,0.0,10.43,10.43,10.43,0.0,0.0,10.34,10.34,10.34,0.0,0.0,10.39,10.39,10.39,0.0,0.0
2016-05-01,10.15,10.15,10.15,0.0,0.0,10.25,10.25,10.25,0.0,0.0,10.15,10.15,10.15,0.0,0.0,10.24,10.24,10.24,0.0,0.0
2016-05-08,10.3,10.3,10.3,0.0,0.0,10.3,10.3,10.3,0.0,0.0,10.17,10.17,10.17,0.0,0.0,10.18,10.18,10.18,0.0,0.0
2016-05-15,10.21,10.21,10.21,0.0,0.0,10.28,10.28,10.28,0.0,0.0,10.21,10.21,10.21,0.0,0.0,10.26,10.26,10.26,0.0,0.0
