Date,PB_stock_Open_average,PB_stock_Open_max,PB_stock_Open_min,PB_stock_Open_volatility,PB_stock_Open_change,PB_stock_High_average,PB_stock_High_max,PB_stock_High_min,PB_stock_High_volatility,PB_stock_High_change,PB_stock_Low_average,PB_stock_Low_max,PB_stock_Low_min,PB_stock_Low_volatility,PB_stock_Low_change,PB_stock_Close_average,PB_stock_Close_max,PB_stock_Close_min,PB_stock_Close_volatility,PB_stock_Close_change,PB_stock_Volume_average,PB_stock_Volume_max,PB_stock_Volume_min,PB_stock_Volume_volatility,PB_stock_Volume_change
2016-01-03,45.446,47.23,44.07,3.1599999999999966,-3.1599999999999966,45.97,47.45,44.27,3.1799999999999997,-3.1799999999999997,44.492,46.16,42.51,3.6499999999999986,-3.6499999999999986,44.852,46.55,42.62,3.9299999999999997,-3.9299999999999997,517585,643190,385965,257225,-133696
2016-01-10,40.318,42.62,37.69,4.93,-4.93,40.9,43.18,38.37,4.810000000000002,-4.810000000000002,38.748,41.41,36.72,4.689999999999998,-4.689999999999998,39.694,41.92,38.01,3.9100000000000037,-3.9100000000000037,849949,1172658,505683,666975,390030
2016-01-17,36.5075,38.71,35.38,3.3299999999999983,-3.3299999999999983,36.9725,38.77,36.26,2.510000000000005,-2.510000000000005,35.2575,36.91,34.24,2.6699999999999946,-1.8499999999999943,35.9025,37.11,34.89,2.219999999999999,-1.0799999999999983,931959,1248887,593786,655101,239044
2016-01-24,37.188,40.55,34.0,6.549999999999997,4.909999999999997,38.788,42.4,35.51,6.890000000000001,6.689999999999998,36.628,40.55,33.57,6.979999999999997,6.979999999999997,38.26,42.4,33.73,8.670000000000002,8.670000000000002,1263719,1783105,659795,1123310,578583
2016-01-31,41.391999999999996,42.16,40.69,1.4699999999999989,-0.46999999999999886,41.926,42.84,40.77,2.0700000000000003,-0.01999999999999602,40.294,40.94,39.16,1.7800000000000011,-0.35999999999999943,41.086,41.66,40.48,1.1799999999999997,-0.6300000000000026,672462,948942,436074,512868,-253014
2016-02-07,40.058,41.06,39.06,2.0,0.3300000000000054,41.334,42.63,40.23,2.4000000000000057,1.9299999999999997,39.642,40.31,38.8,1.5100000000000051,0.7600000000000051,40.722,42.2,39.88,2.3200000000000003,1.7800000000000011,719024,1282066,392018,890048,-852300
2016-02-14,42.7575,43.59,41.82,1.7700000000000031,-1.0799999999999983,43.4825,44.28,42.59,1.6899999999999977,-1.5899999999999963,41.78,42.38,41.38,1.0,-0.46000000000000085,42.46,43.19,41.98,1.2100000000000009,-1.0499999999999972,492706,510231,448298,61933,-4650
2016-02-21,41.696,42.74,40.61,2.1300000000000026,-0.9099999999999966,42.13,43.28,40.85,2.4299999999999997,-1.1000000000000014,40.766,42.52,39.23,3.2900000000000063,-1.5700000000000003,41.576,42.78,40.7,2.0799999999999983,-1.0,718034,1346379,421976,924403,881373
2016-02-28,42.634,44.89,40.71,4.18,3.049999999999997,43.628,45.67,41.99,3.6799999999999997,3.6799999999999997,42.14,44.77,40.42,4.350000000000001,4.350000000000001,43.19,45.32,40.45,4.869999999999997,4.869999999999997,591980,825799,393040,432759,-158001
2016-03-06,44.73,45.49,43.62,1.8700000000000045,-0.30000000000000426,45.248,46.05,44.41,1.6400000000000006,-0.7999999999999972,43.768,44.97,42.78,2.1899999999999977,-0.6599999999999966,44.566,45.96,43.26,2.700000000000003,-0.75,476622,688703,403398,285305,-716
