Date,Direxion Daily Small Cap Bear 3X Shares_etf_Open_average,Direxion Daily Small Cap Bear 3X Shares_etf_Open_max,Direxion Daily Small Cap Bear 3X Shares_etf_Open_min,Direxion Daily Small Cap Bear 3X Shares_etf_Open_volatility,Direxion Daily Small Cap Bear 3X Shares_etf_Open_change,Direxion Daily Small Cap Bear 3X Shares_etf_High_average,Direxion Daily Small Cap Bear 3X Shares_etf_High_max,Direxion Daily Small Cap Bear 3X Shares_etf_High_min,Direxion Daily Small Cap Bear 3X Shares_etf_High_volatility,Direxion Daily Small Cap Bear 3X Shares_etf_High_change,Direxion Daily Small Cap Bear 3X Shares_etf_Low_average,Direxion Daily Small Cap Bear 3X Shares_etf_Low_max,Direxion Daily Small Cap Bear 3X Shares_etf_Low_min,Direxion Daily Small Cap Bear 3X Shares_etf_Low_volatility,Direxion Daily Small Cap Bear 3X Shares_etf_Low_change,Direxion Daily Small Cap Bear 3X Shares_etf_Close_average,Direxion Daily Small Cap Bear 3X Shares_etf_Close_max,Direxion Daily Small Cap Bear 3X Shares_etf_Close_min,Direxion Daily Small Cap Bear 3X Shares_etf_Close_volatility,Direxion Daily Small Cap Bear 3X Shares_etf_Close_change
2016-01-03,267.7,267.7,267.7,0.0,0.0,284.75,284.75,284.75,0.0,0.0,263.15,263.15,263.15,0.0,0.0,283.65,283.65,283.65,0.0,0.0
2016-01-10,322.05,322.05,322.05,0.0,0.0,335.9,335.9,335.9,0.0,0.0,311.75,311.75,311.75,0.0,0.0,313.15,313.15,313.15,0.0,0.0
2016-01-17,307.05,307.05,307.05,0.0,0.0,312.27,312.27,312.27,0.0,0.0,297.95,297.95,297.95,0.0,0.0,300.3,300.3,300.3,0.0,0.0
2016-01-24,310.05,310.05,310.05,0.0,0.0,310.4,310.4,310.4,0.0,0.0,282.45,282.45,282.45,0.0,0.0,283.33,283.33,283.33,0.0,0.0
2016-01-31,303.75,303.75,303.75,0.0,0.0,324.85,324.85,324.85,0.0,0.0,302.9,302.9,302.9,0.0,0.0,324.5,324.5,324.5,0.0,0.0
2016-02-07,347.7,347.7,347.7,0.0,0.0,352.95,352.95,352.95,0.0,0.0,335.3,335.3,335.3,0.0,0.0,337.5,337.5,337.5,0.0,0.0
2016-02-14,306.4,306.4,306.4,0.0,0.0,310.15,310.15,310.15,0.0,0.0,297.02,297.02,297.02,0.0,0.0,298.0,298.0,298.0,0.0,0.0
2016-02-21,274.6,274.6,274.6,0.0,0.0,277.88,277.88,277.88,0.0,0.0,271.7,271.7,271.7,0.0,0.0,274.3,274.3,274.3,0.0,0.0
2016-02-28,244.3,244.3,244.3,0.0,0.0,246.8,246.8,246.8,0.0,0.0,235.75,235.75,235.75,0.0,0.0,239.75,239.75,239.75,0.0,0.0
2016-03-06,244.4,244.4,244.4,0.0,0.0,245.4,245.4,245.4,0.0,0.0,233.7,233.7,233.7,0.0,0.0,234.75,234.75,234.75,0.0,0.0
