Date,SPDR MFS Systematic Core Equity_etf_Open_average,SPDR MFS Systematic Core Equity_etf_Open_max,SPDR MFS Systematic Core Equity_etf_Open_min,SPDR MFS Systematic Core Equity_etf_Open_volatility,SPDR MFS Systematic Core Equity_etf_Open_change,SPDR MFS Systematic Core Equity_etf_High_average,SPDR MFS Systematic Core Equity_etf_High_max,SPDR MFS Systematic Core Equity_etf_High_min,SPDR MFS Systematic Core Equity_etf_High_volatility,SPDR MFS Systematic Core Equity_etf_High_change,SPDR MFS Systematic Core Equity_etf_Low_average,SPDR MFS Systematic Core Equity_etf_Low_max,SPDR MFS Systematic Core Equity_etf_Low_min,SPDR MFS Systematic Core Equity_etf_Low_volatility,SPDR MFS Systematic Core Equity_etf_Low_change,SPDR MFS Systematic Core Equity_etf_Close_average,SPDR MFS Systematic Core Equity_etf_Close_max,SPDR MFS Systematic Core Equity_etf_Close_min,SPDR MFS Systematic Core Equity_etf_Close_volatility,SPDR MFS Systematic Core Equity_etf_Close_change
2016-01-03,55.51,55.51,55.51,0.0,0.0,55.56,55.56,55.56,0.0,0.0,54.72,54.72,54.72,0.0,0.0,54.72,54.72,54.72,0.0,0.0
2016-01-10,53.4,53.4,53.4,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.4,53.4,53.4,0.0,0.0
2016-01-17,54.77,54.77,54.77,0.0,0.0,54.77,54.77,54.77,0.0,0.0,54.31,54.31,54.31,0.0,0.0,54.31,54.31,54.31,0.0,0.0
2016-01-24,53.95,53.95,53.95,0.0,0.0,53.96,53.96,53.96,0.0,0.0,53.95,53.95,53.95,0.0,0.0,53.96,53.96,53.96,0.0,0.0
2016-01-31,52.18,52.18,52.18,0.0,0.0,52.29,52.29,52.29,0.0,0.0,52.18,52.18,52.18,0.0,0.0,52.29,52.29,52.29,0.0,0.0
2016-02-07,50.68,50.68,50.68,0.0,0.0,50.85,50.85,50.85,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.85,50.85,50.85,0.0,0.0
2016-02-14,53.42,53.42,53.42,0.0,0.0,53.42,53.42,53.42,0.0,0.0,53.42,53.42,53.42,0.0,0.0,53.42,53.42,53.42,0.0,0.0
2016-02-21,53.7,53.7,53.7,0.0,0.0,53.7,53.7,53.7,0.0,0.0,53.7,53.7,53.7,0.0,0.0,53.7,53.7,53.7,0.0,0.0
2016-02-28,55.67,55.67,55.67,0.0,0.0,55.67,55.67,55.67,0.0,0.0,55.67,55.67,55.67,0.0,0.0,55.67,55.67,55.67,0.0,0.0
2016-03-06,56.49,56.49,56.49,0.0,0.0,56.49,56.49,56.49,0.0,0.0,56.49,56.49,56.49,0.0,0.0,56.49,56.49,56.49,0.0,0.0
2016-03-13,57.6,57.6,57.6,0.0,0.0,57.6,57.6,57.6,0.0,0.0,57.6,57.6,57.6,0.0,0.0,57.6,57.6,57.6,0.0,0.0
2016-03-20,56.63,56.63,56.63,0.0,0.0,56.91,56.91,56.91,0.0,0.0,56.63,56.63,56.63,0.0,0.0,56.91,56.91,56.91,0.0,0.0
2016-03-27,58.0,58.0,58.0,0.0,0.0,58.0,58.0,58.0,0.0,0.0,57.78,57.78,57.78,0.0,0.0,57.83,57.83,57.83,0.0,0.0
