Date,ProShares UltraShort MSCI Emerging MarketsEtf_Open_average,ProShares UltraShort MSCI Emerging MarketsEtf_Open_max,ProShares UltraShort MSCI Emerging MarketsEtf_Open_min,ProShares UltraShort MSCI Emerging MarketsEtf_Open_volatility,ProShares UltraShort MSCI Emerging MarketsEtf_Open_change,ProShares UltraShort MSCI Emerging MarketsEtf_High_average,ProShares UltraShort MSCI Emerging MarketsEtf_High_max,ProShares UltraShort MSCI Emerging MarketsEtf_High_min,ProShares UltraShort MSCI Emerging MarketsEtf_High_volatility,ProShares UltraShort MSCI Emerging MarketsEtf_High_change,ProShares UltraShort MSCI Emerging MarketsEtf_Low_average,ProShares UltraShort MSCI Emerging MarketsEtf_Low_max,ProShares UltraShort MSCI Emerging MarketsEtf_Low_min,ProShares UltraShort MSCI Emerging MarketsEtf_Low_volatility,ProShares UltraShort MSCI Emerging MarketsEtf_Low_change,ProShares UltraShort MSCI Emerging MarketsEtf_Close_average,ProShares UltraShort MSCI Emerging MarketsEtf_Close_max,ProShares UltraShort MSCI Emerging MarketsEtf_Close_min,ProShares UltraShort MSCI Emerging MarketsEtf_Close_volatility,ProShares UltraShort MSCI Emerging MarketsEtf_Close_change
2016-01-03,136.25,136.25,136.25,0.0,0.0,141.15,141.15,141.15,0.0,0.0,135.26,135.26,135.26,0.0,0.0,140.9,140.9,140.9,0.0,0.0
2016-01-10,150.5,150.5,150.5,0.0,0.0,154.15,154.15,154.15,0.0,0.0,148.8,148.8,148.8,0.0,0.0,150.7,150.7,150.7,0.0,0.0
2016-01-17,141.55,141.55,141.55,0.0,0.0,143.7,143.7,143.7,0.0,0.0,140.8,140.8,140.8,0.0,0.0,140.95,140.95,140.95,0.0,0.0
2016-01-24,133.4,133.4,133.4,0.0,0.0,133.6,133.6,133.6,0.0,0.0,128.7,128.7,128.7,0.0,0.0,129.2,129.2,129.2,0.0,0.0
2016-01-31,130.85,130.85,130.85,0.0,0.0,133.85,133.85,133.85,0.0,0.0,130.2,130.2,130.2,0.0,0.0,132.8,132.8,132.8,0.0,0.0
2016-02-07,141.3,141.3,141.3,0.0,0.0,142.3,142.3,142.3,0.0,0.0,138.55,138.55,138.55,0.0,0.0,138.65,138.65,138.65,0.0,0.0
2016-02-14,130.25,130.25,130.25,0.0,0.0,131.05,131.05,131.05,0.0,0.0,128.6,128.6,128.6,0.0,0.0,129.9,129.9,129.9,0.0,0.0
2016-02-21,126.5,126.5,126.5,0.0,0.0,130.9,130.9,130.9,0.0,0.0,126.5,126.5,126.5,0.0,0.0,130.75,130.75,130.75,0.0,0.0
2016-02-28,111.45,111.45,111.45,0.0,0.0,111.75,111.75,111.75,0.0,0.0,108.05,108.05,108.05,0.0,0.0,109.15,109.15,109.15,0.0,0.0
2016-03-06,108.0,108.0,108.0,0.0,0.0,108.05,108.05,108.05,0.0,0.0,106.1,106.1,106.1,0.0,0.0,106.45,106.45,106.45,0.0,0.0
2016-03-13,100.65,100.65,100.65,0.0,0.0,100.9,100.9,100.9,0.0,0.0,99.9,99.9,99.9,0.0,0.0,100.7,100.7,100.7,0.0,0.0
2016-03-20,106.45,106.45,106.45,0.0,0.0,106.83,106.83,106.83,0.0,0.0,104.6,104.6,104.6,0.0,0.0,104.6,104.6,104.6,0.0,0.0
2016-03-27,103.45,103.45,103.45,0.0,0.0,103.9,103.9,103.9,0.0,0.0,99.45,99.45,99.45,0.0,0.0,99.75,99.75,99.75,0.0,0.0
2016-04-03,103.0,103.0,103.0,0.0,0.0,104.55,104.55,104.55,0.0,0.0,102.8,102.8,102.8,0.0,0.0,103.95,103.95,103.95,0.0,0.0
2016-04-10,95.25,95.25,95.25,0.0,0.0,96.55,96.55,96.55,0.0,0.0,95.25,95.25,95.25,0.0,0.0,96.5,96.5,96.5,0.0,0.0
2016-04-17,96.2,96.2,96.2,0.0,0.0,96.65,96.65,96.65,0.0,0.0,94.95,94.95,94.95,0.0,0.0,96.5,96.5,96.5,0.0,0.0
2016-04-24,97.05,97.05,97.05,0.0,0.0,98.7,98.7,98.7,0.0,0.0,96.25,96.25,96.25,0.0,0.0,97.2,97.2,97.2,0.0,0.0
2016-05-01,107.25,107.25,107.25,0.0,0.0,107.45,107.45,107.45,0.0,0.0,105.45,105.45,105.45,0.0,0.0,106.35,106.35,106.35,0.0,0.0
2016-05-08,107.6,107.6,107.6,0.0,0.0,110.0,110.0,110.0,0.0,0.0,106.9,106.9,106.9,0.0,0.0,109.65,109.65,109.65,0.0,0.0
2016-05-15,109.95,109.95,109.95,0.0,0.0,110.25,110.25,110.25,0.0,0.0,109.25,109.25,109.25,0.0,0.0,109.85,109.85,109.85,0.0,0.0
2016-05-22,103.35,103.35,103.35,0.0,0.0,104.5,104.5,104.5,0.0,0.0,102.9,102.9,102.9,0.0,0.0,104.15,104.15,104.15,0.0,0.0
