Date,First Trust Small Cap Growth AlphaDEX_etf_Open_average,First Trust Small Cap Growth AlphaDEX_etf_Open_max,First Trust Small Cap Growth AlphaDEX_etf_Open_min,First Trust Small Cap Growth AlphaDEX_etf_Open_volatility,First Trust Small Cap Growth AlphaDEX_etf_Open_change,First Trust Small Cap Growth AlphaDEX_etf_High_average,First Trust Small Cap Growth AlphaDEX_etf_High_max,First Trust Small Cap Growth AlphaDEX_etf_High_min,First Trust Small Cap Growth AlphaDEX_etf_High_volatility,First Trust Small Cap Growth AlphaDEX_etf_High_change,First Trust Small Cap Growth AlphaDEX_etf_Low_average,First Trust Small Cap Growth AlphaDEX_etf_Low_max,First Trust Small Cap Growth AlphaDEX_etf_Low_min,First Trust Small Cap Growth AlphaDEX_etf_Low_volatility,First Trust Small Cap Growth AlphaDEX_etf_Low_change,First Trust Small Cap Growth AlphaDEX_etf_Close_average,First Trust Small Cap Growth AlphaDEX_etf_Close_max,First Trust Small Cap Growth AlphaDEX_etf_Close_min,First Trust Small Cap Growth AlphaDEX_etf_Close_volatility,First Trust Small Cap Growth AlphaDEX_etf_Close_change
2016-01-03,28.66,28.66,28.66,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.13,28.13,28.13,0.0,0.0,28.19,28.19,28.19,0.0,0.0
2016-01-10,27.19,27.19,27.19,0.0,0.0,27.58,27.58,27.58,0.0,0.0,26.95,26.95,26.95,0.0,0.0,27.58,27.58,27.58,0.0,0.0
2016-01-17,27.66,27.66,27.66,0.0,0.0,27.83,27.83,27.83,0.0,0.0,27.54,27.54,27.54,0.0,0.0,27.79,27.79,27.79,0.0,0.0
2016-01-24,27.48,27.48,27.48,0.0,0.0,28.26,28.26,28.26,0.0,0.0,27.48,27.48,27.48,0.0,0.0,28.26,28.26,28.26,0.0,0.0
2016-01-31,27.34,27.34,27.34,0.0,0.0,27.34,27.34,27.34,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.6,26.6,26.6,0.0,0.0
2016-02-07,26.32,26.32,26.32,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.5,26.5,26.5,0.0,0.0
2016-02-14,27.25,27.25,27.25,0.0,0.0,27.58,27.58,27.58,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.53,27.53,27.53,0.0,0.0
2016-02-21,28.39,28.39,28.39,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.37,28.37,28.37,0.0,0.0
2016-02-28,29.03,29.03,29.03,0.0,0.0,29.25,29.25,29.25,0.0,0.0,28.95,28.95,28.95,0.0,0.0,29.05,29.05,29.05,0.0,0.0
2016-03-06,28.78,28.78,28.78,0.0,0.0,29.24,29.24,29.24,0.0,0.0,28.78,28.78,28.78,0.0,0.0,29.22,29.22,29.22,0.0,0.0
2016-03-13,29.35,29.35,29.35,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2016-03-20,28.8,28.8,28.8,0.0,0.0,29.05,29.05,29.05,0.0,0.0,28.79,28.79,28.79,0.0,0.0,29.05,29.05,29.05,0.0,0.0
2016-03-27,30.06,30.06,30.06,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.3,30.3,30.3,0.0,0.0
2016-04-03,29.79,29.79,29.79,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.55,29.55,29.55,0.0,0.0
2016-04-10,30.19,30.19,30.19,0.0,0.0,30.38,30.38,30.38,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.32,30.32,30.32,0.0,0.0
2016-04-17,30.62,30.62,30.62,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2016-04-24,30.47,30.47,30.47,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.17,30.17,30.17,0.0,0.0,30.3,30.3,30.3,0.0,0.0
2016-05-01,30.03,30.03,30.03,0.0,0.0,30.1,30.1,30.1,0.0,0.0,29.8,29.8,29.8,0.0,0.0,30.1,30.1,30.1,0.0,0.0
