Date,United States Brent Oil_etf_Open_average,United States Brent Oil_etf_Open_max,United States Brent Oil_etf_Open_min,United States Brent Oil_etf_Open_volatility,United States Brent Oil_etf_Open_change,United States Brent Oil_etf_High_average,United States Brent Oil_etf_High_max,United States Brent Oil_etf_High_min,United States Brent Oil_etf_High_volatility,United States Brent Oil_etf_High_change,United States Brent Oil_etf_Low_average,United States Brent Oil_etf_Low_max,United States Brent Oil_etf_Low_min,United States Brent Oil_etf_Low_volatility,United States Brent Oil_etf_Low_change,United States Brent Oil_etf_Close_average,United States Brent Oil_etf_Close_max,United States Brent Oil_etf_Close_min,United States Brent Oil_etf_Close_volatility,United States Brent Oil_etf_Close_change
2016-01-03,11.15,11.15,11.15,0.0,0.0,11.15,11.15,11.15,0.0,0.0,10.76,10.76,10.76,0.0,0.0,10.95,10.95,10.95,0.0,0.0
2016-01-10,9.67,9.67,9.67,0.0,0.0,9.75,9.75,9.75,0.0,0.0,9.36,9.36,9.36,0.0,0.0,9.47,9.47,9.47,0.0,0.0
2016-01-17,10.2,10.2,10.2,0.0,0.0,10.44,10.44,10.44,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.39,10.39,10.39,0.0,0.0
2016-01-24,11.3,11.3,11.3,0.0,0.0,11.44,11.44,11.44,0.0,0.0,10.99,10.99,10.99,0.0,0.0,11.34,11.34,11.34,0.0,0.0
2016-01-31,10.86,10.86,10.86,0.0,0.0,11.0,11.0,11.0,0.0,0.0,10.7,10.7,10.7,0.0,0.0,10.8,10.8,10.8,0.0,0.0
2016-02-07,10.03,10.03,10.03,0.0,0.0,10.57,10.57,10.57,0.0,0.0,9.9,9.9,9.9,0.0,0.0,10.37,10.37,10.37,0.0,0.0
2016-02-14,10.61,10.61,10.61,0.0,0.0,10.61,10.61,10.61,0.0,0.0,10.34,10.34,10.34,0.0,0.0,10.53,10.53,10.53,0.0,0.0
2016-02-21,11.45,11.45,11.45,0.0,0.0,11.51,11.51,11.51,0.0,0.0,10.95,10.95,10.95,0.0,0.0,11.05,11.05,11.05,0.0,0.0
2016-02-28,11.64,11.64,11.64,0.0,0.0,12.08,12.08,12.08,0.0,0.0,11.52,11.52,11.52,0.0,0.0,12.08,12.08,12.08,0.0,0.0
2016-03-06,12.64,12.64,12.64,0.0,0.0,12.71,12.71,12.71,0.0,0.0,12.43,12.43,12.43,0.0,0.0,12.54,12.54,12.54,0.0,0.0
2016-03-13,13.09,13.09,13.09,0.0,0.0,13.19,13.19,13.19,0.0,0.0,12.75,12.75,12.75,0.0,0.0,12.84,12.84,12.84,0.0,0.0
2016-03-20,12.23,12.23,12.23,0.0,0.0,12.58,12.58,12.58,0.0,0.0,12.16,12.16,12.16,0.0,0.0,12.52,12.52,12.52,0.0,0.0
2016-03-27,11.87,11.87,11.87,0.0,0.0,11.92,11.92,11.92,0.0,0.0,11.77,11.77,11.77,0.0,0.0,11.79,11.79,11.79,0.0,0.0
2016-04-03,12.6,12.6,12.6,0.0,0.0,12.81,12.81,12.81,0.0,0.0,12.54,12.54,12.54,0.0,0.0,12.75,12.75,12.75,0.0,0.0
2016-04-10,13.1,13.1,13.1,0.0,0.0,13.24,13.24,13.24,0.0,0.0,12.91,12.91,12.91,0.0,0.0,13.14,13.14,13.14,0.0,0.0
2016-04-17,13.74,13.74,13.74,0.0,0.0,14.01,14.01,14.01,0.0,0.0,13.71,13.71,13.71,0.0,0.0,13.8,13.8,13.8,0.0,0.0
2016-04-24,14.71,14.71,14.71,0.0,0.0,14.77,14.77,14.77,0.0,0.0,14.32,14.32,14.32,0.0,0.0,14.5,14.5,14.5,0.0,0.0
2016-05-01,13.67,13.67,13.67,0.0,0.0,14.11,14.11,14.11,0.0,0.0,13.62,13.62,13.62,0.0,0.0,13.86,13.86,13.86,0.0,0.0
2016-05-08,14.56,14.56,14.56,0.0,0.0,14.69,14.69,14.69,0.0,0.0,14.49,14.49,14.49,0.0,0.0,14.63,14.63,14.63,0.0,0.0
2016-05-15,14.93,14.93,14.93,0.0,0.0,15.01,15.01,15.01,0.0,0.0,14.73,14.73,14.73,0.0,0.0,14.96,14.96,14.96,0.0,0.0
2016-05-22,15.0,15.0,15.0,0.0,0.0,15.15,15.15,15.15,0.0,0.0,14.94,14.94,14.94,0.0,0.0,15.14,15.14,15.14,0.0,0.0
2016-05-29,15.12,15.12,15.12,0.0,0.0,15.12,15.12,15.12,0.0,0.0,14.93,14.93,14.93,0.0,0.0,15.07,15.07,15.07,0.0,0.0
2016-06-05,15.44,15.44,15.44,0.0,0.0,15.51,15.51,15.51,0.0,0.0,15.26,15.26,15.26,0.0,0.0,15.27,15.27,15.27,0.0,0.0
2016-06-12,14.63,14.63,14.63,0.0,0.0,14.92,14.92,14.92,0.0,0.0,14.62,14.62,14.62,0.0,0.0,14.92,14.92,14.92,0.0,0.0
2016-06-19,14.6,14.6,14.6,0.0,0.0,14.82,14.82,14.82,0.0,0.0,14.6,14.6,14.6,0.0,0.0,14.65,14.65,14.65,0.0,0.0
2016-06-26,14.79,14.79,14.79,0.0,0.0,15.14,15.14,15.14,0.0,0.0,14.79,14.79,14.79,0.0,0.0,15.14,15.14,15.14,0.0,0.0
2016-07-03,14.0,14.0,14.0,0.0,0.0,14.06,14.06,14.06,0.0,0.0,13.79,13.79,13.79,0.0,0.0,13.93,13.93,13.93,0.0,0.0
2016-07-10,14.26,14.26,14.26,0.0,0.0,14.35,14.35,14.35,0.0,0.0,14.16,14.16,14.16,0.0,0.0,14.23,14.23,14.23,0.0,0.0
2016-07-17,13.74,13.74,13.74,0.0,0.0,13.74,13.74,13.74,0.0,0.0,13.49,13.49,13.49,0.0,0.0,13.62,13.62,13.62,0.0,0.0
2016-07-24,12.68,12.68,12.68,0.0,0.0,12.88,12.88,12.88,0.0,0.0,12.59,12.59,12.59,0.0,0.0,12.83,12.83,12.83,0.0,0.0
2016-07-31,13.05,13.05,13.05,0.0,0.0,13.13,13.13,13.13,0.0,0.0,12.87,12.87,12.87,0.0,0.0,13.13,13.13,13.13,0.0,0.0
2016-08-07,13.67,13.67,13.67,0.0,0.0,13.95,13.95,13.95,0.0,0.0,13.64,13.64,13.64,0.0,0.0,13.95,13.95,13.95,0.0,0.0
2016-08-14,15.03,15.03,15.03,0.0,0.0,15.06,15.06,15.06,0.0,0.0,14.89,14.89,14.89,0.0,0.0,15.0,15.0,15.0,0.0,0.0
2016-08-21,14.63,14.63,14.63,0.0,0.0,14.96,14.96,14.96,0.0,0.0,14.53,14.53,14.53,0.0,0.0,14.65,14.65,14.65,0.0,0.0
