Date,PowerShares KBW Property & Casualty Insurance Port_etf_Open_average,PowerShares KBW Property & Casualty Insurance Port_etf_Open_max,PowerShares KBW Property & Casualty Insurance Port_etf_Open_min,PowerShares KBW Property & Casualty Insurance Port_etf_Open_volatility,PowerShares KBW Property & Casualty Insurance Port_etf_Open_change,PowerShares KBW Property & Casualty Insurance Port_etf_High_average,PowerShares KBW Property & Casualty Insurance Port_etf_High_max,PowerShares KBW Property & Casualty Insurance Port_etf_High_min,PowerShares KBW Property & Casualty Insurance Port_etf_High_volatility,PowerShares KBW Property & Casualty Insurance Port_etf_High_change,PowerShares KBW Property & Casualty Insurance Port_etf_Low_average,PowerShares KBW Property & Casualty Insurance Port_etf_Low_max,PowerShares KBW Property & Casualty Insurance Port_etf_Low_min,PowerShares KBW Property & Casualty Insurance Port_etf_Low_volatility,PowerShares KBW Property & Casualty Insurance Port_etf_Low_change,PowerShares KBW Property & Casualty Insurance Port_etf_Close_average,PowerShares KBW Property & Casualty Insurance Port_etf_Close_max,PowerShares KBW Property & Casualty Insurance Port_etf_Close_min,PowerShares KBW Property & Casualty Insurance Port_etf_Close_volatility,PowerShares KBW Property & Casualty Insurance Port_etf_Close_change
2016-01-03,46.43,46.43,46.43,0.0,0.0,46.43,46.43,46.43,0.0,0.0,45.4,45.4,45.4,0.0,0.0,45.4,45.4,45.4,0.0,0.0
2016-01-10,44.9,44.9,44.9,0.0,0.0,45.06,45.06,45.06,0.0,0.0,44.24,44.24,44.24,0.0,0.0,44.7,44.7,44.7,0.0,0.0
2016-01-17,44.66,44.66,44.66,0.0,0.0,44.85,44.85,44.85,0.0,0.0,44.43,44.43,44.43,0.0,0.0,44.84,44.84,44.84,0.0,0.0
2016-01-24,45.35,45.35,45.35,0.0,0.0,46.05,46.05,46.05,0.0,0.0,45.16,45.16,45.16,0.0,0.0,46.05,46.05,46.05,0.0,0.0
2016-01-31,45.38,45.38,45.38,0.0,0.0,45.41,45.41,45.41,0.0,0.0,45.17,45.17,45.17,0.0,0.0,45.27,45.27,45.27,0.0,0.0
2016-02-07,44.75,44.75,44.75,0.0,0.0,45.74,45.74,45.74,0.0,0.0,44.75,44.75,44.75,0.0,0.0,45.74,45.74,45.74,0.0,0.0
2016-02-14,46.16,46.16,46.16,0.0,0.0,46.41,46.41,46.41,0.0,0.0,46.16,46.16,46.16,0.0,0.0,46.35,46.35,46.35,0.0,0.0
2016-02-21,47.35,47.35,47.35,0.0,0.0,47.35,47.35,47.35,0.0,0.0,46.57,46.57,46.57,0.0,0.0,46.59,46.59,46.59,0.0,0.0
2016-02-28,47.62,47.62,47.62,0.0,0.0,47.62,47.62,47.62,0.0,0.0,47.13,47.13,47.13,0.0,0.0,47.56,47.56,47.56,0.0,0.0
2016-03-06,47.48,47.48,47.48,0.0,0.0,48.1,48.1,48.1,0.0,0.0,47.48,47.48,47.48,0.0,0.0,48.1,48.1,48.1,0.0,0.0
2016-03-13,48.94,48.94,48.94,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.79,48.79,48.79,0.0,0.0
2016-03-20,48.6,48.6,48.6,0.0,0.0,48.6,48.6,48.6,0.0,0.0,48.13,48.13,48.13,0.0,0.0,48.29,48.29,48.29,0.0,0.0
2016-03-27,49.0,49.0,49.0,0.0,0.0,49.7,49.7,49.7,0.0,0.0,48.87,48.87,48.87,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2016-04-03,48.28,48.28,48.28,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.01,48.01,48.01,0.0,0.0,48.19,48.19,48.19,0.0,0.0
2016-04-10,48.45,48.45,48.45,0.0,0.0,48.89,48.89,48.89,0.0,0.0,48.38,48.38,48.38,0.0,0.0,48.67,48.67,48.67,0.0,0.0
2016-04-17,47.72,47.72,47.72,0.0,0.0,48.12,48.12,48.12,0.0,0.0,47.5,47.5,47.5,0.0,0.0,48.04,48.04,48.04,0.0,0.0
