Date,ProShares UltraShort FTSE Europe_etf_Open_average,ProShares UltraShort FTSE Europe_etf_Open_max,ProShares UltraShort FTSE Europe_etf_Open_min,ProShares UltraShort FTSE Europe_etf_Open_volatility,ProShares UltraShort FTSE Europe_etf_Open_change,ProShares UltraShort FTSE Europe_etf_High_average,ProShares UltraShort FTSE Europe_etf_High_max,ProShares UltraShort FTSE Europe_etf_High_min,ProShares UltraShort FTSE Europe_etf_High_volatility,ProShares UltraShort FTSE Europe_etf_High_change,ProShares UltraShort FTSE Europe_etf_Low_average,ProShares UltraShort FTSE Europe_etf_Low_max,ProShares UltraShort FTSE Europe_etf_Low_min,ProShares UltraShort FTSE Europe_etf_Low_volatility,ProShares UltraShort FTSE Europe_etf_Low_change,ProShares UltraShort FTSE Europe_etf_Close_average,ProShares UltraShort FTSE Europe_etf_Close_max,ProShares UltraShort FTSE Europe_etf_Close_min,ProShares UltraShort FTSE Europe_etf_Close_volatility,ProShares UltraShort FTSE Europe_etf_Close_change
2016-01-03,64.06,64.06,64.06,0.0,0.0,66.65,66.65,66.65,0.0,0.0,64.06,64.06,64.06,0.0,0.0,66.38,66.38,66.38,0.0,0.0
2016-01-10,67.67,67.67,67.67,0.0,0.0,71.07,71.07,71.07,0.0,0.0,67.67,67.67,67.67,0.0,0.0,70.6,70.6,70.6,0.0,0.0
2016-01-17,67.34,67.34,67.34,0.0,0.0,68.14,68.14,68.14,0.0,0.0,66.8,66.8,66.8,0.0,0.0,67.17,67.17,67.17,0.0,0.0
2016-01-24,66.38,66.38,66.38,0.0,0.0,66.56,66.56,66.56,0.0,0.0,64.68,64.68,64.68,0.0,0.0,64.79,64.79,64.79,0.0,0.0
2016-01-31,66.45,66.45,66.45,0.0,0.0,68.43,68.43,68.43,0.0,0.0,66.45,66.45,66.45,0.0,0.0,67.98,67.98,67.98,0.0,0.0
2016-02-07,73.37,73.37,73.37,0.0,0.0,73.75,73.75,73.75,0.0,0.0,71.46,71.46,71.46,0.0,0.0,71.48,71.48,71.48,0.0,0.0
2016-02-14,67.67,67.67,67.67,0.0,0.0,68.31,68.31,68.31,0.0,0.0,66.83,66.83,66.83,0.0,0.0,66.97,66.97,66.97,0.0,0.0
2016-02-21,66.58,66.58,66.58,0.0,0.0,67.72,67.72,67.72,0.0,0.0,66.47,66.47,66.47,0.0,0.0,67.58,67.58,67.58,0.0,0.0
2016-02-28,62.14,62.14,62.14,0.0,0.0,62.43,62.43,62.43,0.0,0.0,61.61,61.61,61.61,0.0,0.0,62.12,62.12,62.12,0.0,0.0
2016-03-06,60.63,60.63,60.63,0.0,0.0,60.76,60.76,60.76,0.0,0.0,59.55,59.55,59.55,0.0,0.0,59.58,59.58,59.58,0.0,0.0
