Date,WPP_stock_Open_average,WPP_stock_Open_max,WPP_stock_Open_min,WPP_stock_Open_volatility,WPP_stock_Open_change,WPP_stock_High_average,WPP_stock_High_max,WPP_stock_High_min,WPP_stock_High_volatility,WPP_stock_High_change,WPP_stock_Low_average,WPP_stock_Low_max,WPP_stock_Low_min,WPP_stock_Low_volatility,WPP_stock_Low_change,WPP_stock_Close_average,WPP_stock_Close_max,WPP_stock_Close_min,WPP_stock_Close_volatility,WPP_stock_Close_change,WPP_stock_Volume_average,WPP_stock_Volume_max,WPP_stock_Volume_min,WPP_stock_Volume_volatility,WPP_stock_Volume_change
2016-01-03,110.574,113.39,107.8,5.590000000000003,-4.829999999999998,111.03,113.58,108.09,5.489999999999995,-4.759999999999991,109.52,112.44,106.08,6.359999999999999,-4.960000000000008,110.236,113.4,106.15,7.25,-6.4199999999999875,74296,101441,42096,59345,30076
2016-01-10,105.552,107.52,102.3,5.219999999999999,-3.740000000000009,106.298,107.89,103.03,4.859999999999999,-3.9000000000000057,104.316,106.51,101.49,5.02000000000001,-4.070000000000007,105.356,107.66,102.36,5.299999999999997,-4.209999999999994,120729,163731,101249,62482,4012
2016-01-17,101.92750000000001,104.67,100.09,4.579999999999998,2.200000000000003,102.95,105.64,101.37,4.269999999999996,2.780000000000001,101.0,104.5,98.64,5.859999999999999,2.8700000000000045,102.33,105.47,100.56,4.909999999999997,3.1799999999999926,113199,158238,70333,87905,44248
2016-01-24,105.354,106.4,103.92,2.480000000000004,1.5999999999999943,106.422,108.85,105.0,3.8499999999999943,3.8499999999999943,104.468,106.25,103.67,2.5799999999999983,2.5799999999999983,105.652,108.8,103.78,5.019999999999996,5.019999999999996,79915,106948,57832,49116,-18032
2016-01-31,107.438,108.85,105.69,3.1599999999999966,-1.990000000000009,108.08,109.88,105.79,4.089999999999989,-4.089999999999989,105.874,107.14,102.31,4.829999999999998,-4.829999999999998,106.88199999999999,109.55,102.6,6.950000000000003,-6.950000000000003,111432,142442,72944,69498,-23217
2016-02-07,98.854,100.45,96.92,3.530000000000001,2.940000000000012,100.336,101.61,97.82,3.7900000000000063,3.7900000000000063,98.168,99.9,95.67,4.230000000000004,4.159999999999997,99.73400000000001,101.45,97.52,3.930000000000007,3.930000000000007,120849,194131,73419,120712,-95435
2016-02-14,104.4975,105.6,103.43,2.1699999999999875,1.1099999999999994,105.2575,106.1,103.6,2.5,1.9500000000000028,103.925,105.02,102.3,2.719999999999999,1.7600000000000051,104.95,105.67,103.44,2.230000000000004,1.8900000000000006,80455,95583,67296,28287,9382
2016-02-21,104.57166666666666,105.32,102.8,2.519999999999996,-0.19999999999998863,105.13833333333334,105.76,103.74,2.0200000000000102,-1.0799999999999983,103.94166666666666,104.88,101.64,3.239999999999995,-0.19999999999998863,104.64333333333333,105.62,103.57,2.0500000000000114,-0.6299999999999955,69640,130211,0,130211,-68565
2016-02-28,107.504,108.45,105.46,2.990000000000009,2.910000000000011,108.456,109.51,106.4,3.1099999999999994,2.6799999999999926,107.21000000000001,108.29,105.15,3.1400000000000006,2.969999999999999,108.17,109.51,105.24,4.27000000000001,3.740000000000009,90932,121810,57278,64532,64532
2016-03-06,111.03,112.24,109.51,2.7299999999999898,2.1299999999999955,111.756,112.94,110.68,2.259999999999991,2.259999999999991,110.184,111.99,108.98,3.009999999999991,2.6999999999999886,111.144,112.93,110.13,2.8000000000000114,2.6700000000000017,97752,132267,71078,61189,-13071
2016-03-13,113.12599999999999,114.88,111.77,3.1099999999999994,2.1700000000000017,114.396,115.74,113.23,2.509999999999991,2.1299999999999955,112.88,114.73,111.58,3.1500000000000057,2.410000000000011,114.024,115.49,112.64,2.8499999999999943,2.1700000000000017,71261,90226,58743,31483,-18799
2016-03-20,113.655,114.96,112.76,2.1999999999999886,-0.9000000000000057,114.22999999999999,114.98,113.71,1.2700000000000102,-0.7000000000000028,113.22,114.04,112.64,1.4000000000000057,-0.5400000000000063,113.8175,114.11,113.46,0.6500000000000057,-0.45999999999999375,78627,95234,62193,33041,-33041
2016-03-27,115.898,117.91,114.36,3.549999999999997,0.8400000000000034,116.588,118.13,114.59,3.539999999999992,1.789999999999992,115.412,117.19,113.87,3.319999999999993,1.1999999999999886,116.086,117.25,114.09,3.1599999999999966,2.1700000000000017,73847,118202,52803,65399,7675
2016-04-03,116.614,117.99,115.64,2.3499999999999943,-2.3499999999999943,117.076,118.21,115.92,2.289999999999992,-2.289999999999992,115.894,116.98,115.0,1.980000000000004,-1.5900000000000034,116.614,117.7,115.38,2.3200000000000074,-1.7800000000000011,132610,308286,65101,243185,-32843
2016-04-10,117.37,118.2,116.84,1.3599999999999994,0.5900000000000034,117.946,118.46,117.56,0.8999999999999915,0.269999999999996,116.91,117.83,116.33,1.5,0.8099999999999881,117.504,118.41,116.51,1.8999999999999915,1.1999999999999886,51340,75683,36291,39392,-14351
2016-04-17,118.13799999999999,120.57,115.96,4.609999999999999,-1.6600000000000108,118.69,120.81,116.7,4.109999999999999,-2.039999999999992,117.636,119.78,115.76,4.019999999999996,-1.8499999999999943,118.26599999999999,120.46,116.46,4.0,-2.0700000000000074,113870,197747,54043,143704,128269
2016-04-24,116.74199999999999,117.46,115.91,1.5499999999999972,0.8299999999999983,117.67,118.75,116.54,2.2099999999999937,0.8199999999999932,116.286,116.68,115.67,1.0100000000000051,0.45999999999999375,117.188,117.72,116.5,1.2199999999999989,0.6500000000000057,74299,83115,61331,21784,16906
2016-05-01,115.684,116.8,114.89,1.9099999999999966,-1.9099999999999966,116.444,118.33,115.29,3.039999999999992,-1.9299999999999926,115.184,116.71,114.24,2.469999999999999,-2.029999999999987,116.1,118.21,114.71,3.5,-1.9499999999999886,140174,316620,82972,233648,-20096
2016-05-08,115.788,116.84,113.68,3.1599999999999966,-2.5799999999999983,116.332,117.17,114.5,2.6700000000000017,-2.3799999999999955,115.224,116.09,113.53,2.5600000000000023,-2.480000000000004,115.838,117.03,114.2,2.8299999999999983,-2.3799999999999955,115020,157433,69684,87749,23370
2016-05-15,114.626,115.22,113.76,1.4599999999999937,1.019999999999996,115.358,115.6,114.91,0.6899999999999977,0.01999999999999602,114.014,114.4,113.64,0.7600000000000051,0.6500000000000057,114.778,115.06,114.44,0.6200000000000045,-0.3400000000000034,89666,110050,66722,43328,-25144
2016-05-22,116.196,118.01,114.77,3.240000000000009,0.4000000000000057,116.838,118.21,114.94,3.269999999999996,1.240000000000009,115.61200000000001,116.65,114.17,2.480000000000004,0.980000000000004,116.202,118.02,114.18,3.839999999999989,1.5899999999999892,100039,172956,53180,119776,26655
2016-05-29,115.33,116.89,114.59,2.299999999999997,-2.299999999999997,116.07,117.3,115.4,1.8999999999999915,-1.8999999999999915,114.7025,115.26,113.9,1.3599999999999994,-1.3599999999999994,115.62,116.16,115.13,1.0300000000000011,-0.8000000000000114,98791,117883,76758,41125,-30448
2016-06-05,114.11,115.73,111.4,4.329999999999998,-3.0999999999999943,114.69200000000001,116.72,111.73,4.989999999999995,-3.6400000000000006,113.44800000000001,115.68,109.35,6.3300000000000125,-5.150000000000006,113.946,116.27,110.32,5.950000000000003,-4.460000000000008,77990,123361,54473,68888,61219
2016-06-12,106.524,107.5,105.22,2.280000000000001,0.04000000000000625,107.506,108.63,106.0,2.6299999999999955,-0.28000000000000114,105.77,107.32,104.43,2.8899999999999864,-0.4199999999999875,106.844,108.16,105.3,2.8599999999999994,0.5600000000000023,125738,146702,104692,42010,34320
2016-06-19,113.058,117.86,104.31,13.549999999999997,-9.14,114.048,118.0,106.9,11.099999999999994,-6.61999999999999,112.17,116.28,103.67,12.61,-8.670000000000002,112.694,117.83,103.87,13.959999999999994,-8.579999999999998,199225,345164,120363,224801,125345
2016-06-26,102.914,107.91,98.8,9.11,9.11,103.974,108.5,99.14,9.36,9.36,102.264,107.72,96.94,10.780000000000001,10.780000000000001,103.47,108.07,98.12,9.949999999999989,9.949999999999989,162828,216113,140122,75991,-56460
2016-07-03,106.18,107.82,103.93,3.8899999999999864,2.029999999999987,106.675,107.82,105.35,2.469999999999999,1.4799999999999898,105.0575,107.08,103.18,3.8999999999999915,2.219999999999999,105.9,107.26,105.24,2.0200000000000102,2.0200000000000102,105501,173780,66604,107176,-37537
2016-07-10,110.32600000000001,111.9,108.02,3.8800000000000097,2.4200000000000017,110.838,112.17,108.75,3.4200000000000017,1.8799999999999955,109.464,110.36,107.75,2.6099999999999994,1.5100000000000051,109.816,110.73,108.43,2.299999999999997,1.3199999999999932,166829,334266,64727,269539,45038
2016-07-17,110.49,111.7,109.24,2.460000000000008,1.230000000000004,111.082,112.22,109.38,2.8400000000000034,0.269999999999996,109.814,110.74,107.86,2.8799999999999955,0.9300000000000068,110.242,111.6,108.33,3.269999999999996,1.3700000000000045,130982,248406,71301,177105,-3963
2016-07-24,111.484,112.1,110.61,1.4899999999999949,1.4899999999999949,112.068,113.2,111.24,1.960000000000008,1.960000000000008,110.938,111.53,110.55,0.980000000000004,0.980000000000004,111.624,112.11,111.02,1.0900000000000034,1.0499999999999972,97462,127242,69467,57775,36489
