Date,NPTN_stock_Open_average,NPTN_stock_Open_max,NPTN_stock_Open_min,NPTN_stock_Open_volatility,NPTN_stock_Open_change,NPTN_stock_High_average,NPTN_stock_High_max,NPTN_stock_High_min,NPTN_stock_High_volatility,NPTN_stock_High_change,NPTN_stock_Low_average,NPTN_stock_Low_max,NPTN_stock_Low_min,NPTN_stock_Low_volatility,NPTN_stock_Low_change,NPTN_stock_Close_average,NPTN_stock_Close_max,NPTN_stock_Close_min,NPTN_stock_Close_volatility,NPTN_stock_Close_change,NPTN_stock_Volume_average,NPTN_stock_Volume_max,NPTN_stock_Volume_min,NPTN_stock_Volume_volatility,NPTN_stock_Volume_change
2016-03-13,11.858,12.19,11.51,0.6799999999999997,0.16000000000000014,12.258,12.73,11.77,0.9600000000000009,0.3600000000000012,11.636000000000001,12.05,11.22,0.8300000000000001,0.39000000000000057,12.006,12.68,11.61,1.0700000000000003,0.9800000000000004,887801,1229338,710293,519045,300655
2016-03-20,12.73,12.94,12.61,0.33000000000000007,-0.009999999999999787,13.059999999999999,13.19,12.87,0.3200000000000003,-0.120000000000001,12.5325,12.76,12.17,0.5899999999999999,-0.39000000000000057,12.8625,13.05,12.77,0.28000000000000114,-0.05000000000000071,748293,1018354,556992,461362,-461362
2016-03-27,13.594,13.91,13.02,0.8900000000000006,0.870000000000001,13.92,14.12,13.51,0.6099999999999994,0.5899999999999999,13.32,13.75,12.92,0.8300000000000001,0.8300000000000001,13.806,14.04,13.35,0.6899999999999995,0.6600000000000001,940362,1282918,513406,769512,-504945
2016-04-03,14.166,14.38,13.92,0.46000000000000085,0.16999999999999993,14.392,14.6,14.02,0.5800000000000001,0.40000000000000036,13.876,14.0,13.72,0.27999999999999936,0.16999999999999993,14.118,14.49,13.74,0.75,0.22000000000000064,555317,1026570,374983,651587,126998
2016-04-10,13.398,13.96,13.0,0.9600000000000009,-0.9600000000000009,13.672,14.23,13.23,1.0,-1.0,13.066,13.69,12.71,0.9799999999999986,-0.7899999999999991,13.262,13.76,12.99,0.7699999999999996,-0.7699999999999996,560168,1000477,283971,716506,-331738
2016-04-17,12.57,12.88,12.29,0.5900000000000016,-0.4299999999999997,13.001999999999999,13.28,12.66,0.6199999999999992,0.16000000000000014,12.318,12.75,12.07,0.6799999999999997,-0.4399999999999995,12.576,12.94,12.24,0.6999999999999993,0.009999999999999787,625060,1104512,386112,718400,718400
2016-04-24,12.97,13.51,11.97,1.5399999999999991,-1.0099999999999998,13.382,14.0,12.27,1.7300000000000004,-1.120000000000001,12.718,13.18,11.31,1.8699999999999992,-1.6600000000000001,13.138,13.85,11.99,1.8599999999999994,-1.2300000000000004,1069129,2223729,563912,1659817,1596404
2016-05-01,11.724,12.14,11.32,0.8200000000000003,-0.45000000000000107,11.934000000000001,12.22,11.51,0.7100000000000009,-0.7000000000000011,11.358,11.77,10.79,0.9800000000000004,-0.8500000000000014,11.572,12.18,11.04,1.1400000000000006,-1.1400000000000006,722788,820048,533670,286378,-64852
2016-05-08,10.636000000000001,11.07,10.12,0.9500000000000011,-0.9500000000000011,10.82,11.23,10.52,0.7100000000000009,-0.7100000000000009,10.352,10.77,10.02,0.75,-0.6999999999999993,10.504,10.82,10.09,0.7300000000000004,-0.34999999999999964,504354,618659,412057,206602,-78640
2016-05-15,9.91,10.42,9.21,1.209999999999999,-1.209999999999999,10.097999999999999,10.5,9.77,0.7300000000000004,-0.7300000000000004,9.572,10.16,9.0,1.1600000000000001,-1.0500000000000007,9.752,10.32,9.19,1.1300000000000008,-0.8100000000000005,674690,964918,406467,558451,495179
2016-05-22,9.562,9.66,9.43,0.23000000000000043,-0.16000000000000014,9.738,9.98,9.46,0.5199999999999996,-0.33999999999999986,9.364,9.52,8.98,0.5399999999999991,-0.4399999999999995,9.414,9.59,8.99,0.5999999999999996,-0.47000000000000064,757184,1165390,446175,719215,673420
2016-05-29,9.4575,10.27,9.07,1.1999999999999993,0.23000000000000043,9.89,10.71,9.21,1.5,0.379999999999999,9.055,9.25,8.89,0.35999999999999943,0.35999999999999943,9.325,9.69,9.01,0.6799999999999997,0.45000000000000107,1676371,2316051,1212062,1103989,-324956
2016-06-05,9.254,9.63,8.85,0.7800000000000011,-0.5399999999999991,9.404,9.69,9.0,0.6899999999999995,-0.6799999999999997,9.052,9.41,8.75,0.6600000000000001,-0.6600000000000001,9.152000000000001,9.64,8.77,0.870000000000001,-0.870000000000001,824428,1115906,545210,570696,-342327
2016-06-12,8.724,9.11,8.5,0.6099999999999994,0.33999999999999986,8.978,9.52,8.71,0.8099999999999987,0.6899999999999995,8.642,9.02,8.49,0.5299999999999994,0.4800000000000004,8.786,9.1,8.53,0.5700000000000003,0.5299999999999994,700740,1266152,466059,800093,795432
2016-06-19,9.314,9.56,9.2,0.3600000000000012,-0.05000000000000071,9.638,9.89,9.39,0.5,-0.040000000000000924,9.146,9.23,9.03,0.20000000000000107,-0.06999999999999851,9.426,9.81,9.19,0.620000000000001,-0.21000000000000085,1156082,1662833,813134,849699,741164
2016-06-26,9.26,9.5,8.96,0.5399999999999991,0.41000000000000014,9.438,9.75,9.15,0.5999999999999996,0.4599999999999991,9.024,9.24,8.77,0.47000000000000064,0.47000000000000064,9.244,9.53,8.77,0.7599999999999998,0.5700000000000003,865957,1348858,315690,1033168,-995886
