Date,iShares Global Materials_etf_Open_average,iShares Global Materials_etf_Open_max,iShares Global Materials_etf_Open_min,iShares Global Materials_etf_Open_volatility,iShares Global Materials_etf_Open_change,iShares Global Materials_etf_High_average,iShares Global Materials_etf_High_max,iShares Global Materials_etf_High_min,iShares Global Materials_etf_High_volatility,iShares Global Materials_etf_High_change,iShares Global Materials_etf_Low_average,iShares Global Materials_etf_Low_max,iShares Global Materials_etf_Low_min,iShares Global Materials_etf_Low_volatility,iShares Global Materials_etf_Low_change,iShares Global Materials_etf_Close_average,iShares Global Materials_etf_Close_max,iShares Global Materials_etf_Close_min,iShares Global Materials_etf_Close_volatility,iShares Global Materials_etf_Close_change
2016-01-03,42.24,42.24,42.24,0.0,0.0,42.35,42.35,42.35,0.0,0.0,41.67,41.67,41.67,0.0,0.0,41.67,41.67,41.67,0.0,0.0
2016-01-10,39.8,39.8,39.8,0.0,0.0,39.91,39.91,39.91,0.0,0.0,39.31,39.31,39.31,0.0,0.0,39.8,39.8,39.8,0.0,0.0
2016-01-17,40.37,40.37,40.37,0.0,0.0,40.61,40.61,40.61,0.0,0.0,40.06,40.06,40.06,0.0,0.0,40.26,40.26,40.26,0.0,0.0
2016-01-24,40.03,40.03,40.03,0.0,0.0,40.85,40.85,40.85,0.0,0.0,40.03,40.03,40.03,0.0,0.0,40.83,40.83,40.83,0.0,0.0
2016-01-31,42.14,42.14,42.14,0.0,0.0,42.27,42.27,42.27,0.0,0.0,41.87,41.87,41.87,0.0,0.0,41.92,41.92,41.92,0.0,0.0
2016-02-07,40.63,40.63,40.63,0.0,0.0,41.25,41.25,41.25,0.0,0.0,40.51,40.51,40.51,0.0,0.0,41.22,41.22,41.22,0.0,0.0
2016-02-14,42.77,42.77,42.77,0.0,0.0,42.8,42.8,42.8,0.0,0.0,42.63,42.63,42.63,0.0,0.0,42.73,42.73,42.73,0.0,0.0
2016-02-21,43.24,43.24,43.24,0.0,0.0,43.45,43.45,43.45,0.0,0.0,43.2,43.2,43.2,0.0,0.0,43.25,43.25,43.25,0.0,0.0
2016-02-28,45.79,45.79,45.79,0.0,0.0,46.59,46.59,46.59,0.0,0.0,45.79,45.79,45.79,0.0,0.0,46.32,46.32,46.32,0.0,0.0
2016-03-06,46.65,46.65,46.65,0.0,0.0,46.93,46.93,46.93,0.0,0.0,46.65,46.65,46.65,0.0,0.0,46.85,46.85,46.85,0.0,0.0
2016-03-13,48.1,48.1,48.1,0.0,0.0,48.27,48.27,48.27,0.0,0.0,47.91,47.91,47.91,0.0,0.0,47.94,47.94,47.94,0.0,0.0
2016-03-20,46.34,46.34,46.34,0.0,0.0,46.85,46.85,46.85,0.0,0.0,46.33,46.33,46.33,0.0,0.0,46.74,46.74,46.74,0.0,0.0
2016-03-27,46.63,46.63,46.63,0.0,0.0,47.49,47.49,47.49,0.0,0.0,46.55,46.55,46.55,0.0,0.0,47.47,47.47,47.47,0.0,0.0
2016-04-03,46.91,46.91,46.91,0.0,0.0,47.22,47.22,47.22,0.0,0.0,46.84,46.84,46.84,0.0,0.0,47.0,47.0,47.0,0.0,0.0
2016-04-10,49.33,49.33,49.33,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.58,49.58,49.58,0.0,0.0
2016-04-17,51.15,51.15,51.15,0.0,0.0,51.49,51.49,51.49,0.0,0.0,50.99,50.99,50.99,0.0,0.0,51.17,51.17,51.17,0.0,0.0
2016-04-24,51.31,51.31,51.31,0.0,0.0,51.66,51.66,51.66,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.47,51.47,51.47,0.0,0.0
2016-05-01,49.02,49.02,49.02,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.02,49.02,49.02,0.0,0.0,49.66,49.66,49.66,0.0,0.0
2016-05-08,48.72,48.72,48.72,0.0,0.0,48.95,48.95,48.95,0.0,0.0,48.42,48.42,48.42,0.0,0.0,48.58,48.58,48.58,0.0,0.0
2016-05-15,48.67,48.67,48.67,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.58,48.58,48.58,0.0,0.0,48.7,48.7,48.7,0.0,0.0
2016-05-22,49.43,49.43,49.43,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.24,49.24,49.24,0.0,0.0,49.29,49.29,49.29,0.0,0.0
2016-05-29,49.43,49.43,49.43,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2016-06-05,49.83,49.83,49.83,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.39,49.39,49.39,0.0,0.0,49.52,49.52,49.52,0.0,0.0
2016-06-12,49.01,49.01,49.01,0.0,0.0,49.35,49.35,49.35,0.0,0.0,48.9,48.9,48.9,0.0,0.0,49.34,49.34,49.34,0.0,0.0
2016-06-19,47.98,47.98,47.98,0.0,0.0,48.65,48.65,48.65,0.0,0.0,47.84,47.84,47.84,0.0,0.0,47.84,47.84,47.84,0.0,0.0
2016-06-26,49.33,49.33,49.33,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.17,49.17,49.17,0.0,0.0,49.4,49.4,49.4,0.0,0.0
2016-07-03,48.86,48.86,48.86,0.0,0.0,49.53,49.53,49.53,0.0,0.0,48.86,48.86,48.86,0.0,0.0,49.42,49.42,49.42,0.0,0.0
2016-07-10,51.71,51.71,51.71,0.0,0.0,51.71,51.71,51.71,0.0,0.0,51.53,51.53,51.53,0.0,0.0,51.68,51.68,51.68,0.0,0.0
2016-07-17,50.96,50.96,50.96,0.0,0.0,50.98,50.98,50.98,0.0,0.0,50.78,50.78,50.78,0.0,0.0,50.98,50.98,50.98,0.0,0.0
2016-07-24,51.85,51.85,51.85,0.0,0.0,52.06,52.06,52.06,0.0,0.0,51.66,51.66,51.66,0.0,0.0,52.06,52.06,52.06,0.0,0.0
2016-07-31,52.17,52.17,52.17,0.0,0.0,52.25,52.25,52.25,0.0,0.0,52.06,52.06,52.06,0.0,0.0,52.19,52.19,52.19,0.0,0.0
2016-08-07,53.3,53.3,53.3,0.0,0.0,53.45,53.45,53.45,0.0,0.0,52.87,52.87,52.87,0.0,0.0,52.92,52.92,52.92,0.0,0.0
2016-08-14,53.4,53.4,53.4,0.0,0.0,53.61,53.61,53.61,0.0,0.0,53.16,53.16,53.16,0.0,0.0,53.54,53.54,53.54,0.0,0.0
2016-08-21,53.4,53.4,53.4,0.0,0.0,53.94,53.94,53.94,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.65,52.65,52.65,0.0,0.0
2016-08-28,53.02,53.02,53.02,0.0,0.0,53.36,53.36,53.36,0.0,0.0,53.02,53.02,53.02,0.0,0.0,53.35,53.35,53.35,0.0,0.0
2016-09-04,52.95,52.95,52.95,0.0,0.0,52.95,52.95,52.95,0.0,0.0,51.86,51.86,51.86,0.0,0.0,51.87,51.87,51.87,0.0,0.0
