Date,SPDR S&P 500Etf_Open_average,SPDR S&P 500Etf_Open_max,SPDR S&P 500Etf_Open_min,SPDR S&P 500Etf_Open_volatility,SPDR S&P 500Etf_Open_change,SPDR S&P 500Etf_High_average,SPDR S&P 500Etf_High_max,SPDR S&P 500Etf_High_min,SPDR S&P 500Etf_High_volatility,SPDR S&P 500Etf_High_change,SPDR S&P 500Etf_Low_average,SPDR S&P 500Etf_Low_max,SPDR S&P 500Etf_Low_min,SPDR S&P 500Etf_Low_volatility,SPDR S&P 500Etf_Low_change,SPDR S&P 500Etf_Close_average,SPDR S&P 500Etf_Close_max,SPDR S&P 500Etf_Close_min,SPDR S&P 500Etf_Close_volatility,SPDR S&P 500Etf_Close_change
2016-01-03,195.19,195.19,195.19,0.0,0.0,195.85,195.85,195.85,0.0,0.0,191.58,191.58,191.58,0.0,0.0,191.92,191.92,191.92,0.0,0.0
2016-01-10,186.77,186.77,186.77,0.0,0.0,188.76,188.76,188.76,0.0,0.0,185.52,185.52,185.52,0.0,0.0,187.81,187.81,187.81,0.0,0.0
2016-01-17,189.78,189.78,189.78,0.0,0.0,190.76,190.76,190.76,0.0,0.0,188.88,188.88,188.88,0.0,0.0,190.52,190.52,190.52,0.0,0.0
2016-01-24,190.02,190.02,190.02,0.0,0.0,193.88,193.88,193.88,0.0,0.0,189.88,189.88,189.88,0.0,0.0,193.72,193.72,193.72,0.0,0.0
2016-01-31,190.99,190.99,190.99,0.0,0.0,191.67,191.67,191.67,0.0,0.0,187.2,187.2,187.2,0.0,0.0,187.95,187.95,187.95,0.0,0.0
2016-02-07,184.96,184.96,184.96,0.0,0.0,186.65,186.65,186.65,0.0,0.0,183.96,183.96,183.96,0.0,0.0,186.63,186.63,186.63,0.0,0.0
2016-02-14,191.17,191.17,191.17,0.0,0.0,192.18,192.18,192.18,0.0,0.0,190.45,190.45,190.45,0.0,0.0,192.0,192.0,192.0,0.0,0.0
2016-02-21,196.57,196.57,196.57,0.0,0.0,196.68,196.68,196.68,0.0,0.0,194.9,194.9,194.9,0.0,0.0,195.09,195.09,195.09,0.0,0.0
2016-02-28,200.01,200.01,200.01,0.0,0.0,201.35,201.35,201.35,0.0,0.0,199.03,199.03,199.03,0.0,0.0,200.43,200.43,200.43,0.0,0.0
2016-03-06,201.26,201.26,201.26,0.0,0.0,202.81,202.81,202.81,0.0,0.0,199.52,199.52,199.52,0.0,0.0,202.76,202.76,202.76,0.0,0.0
2016-03-13,204.17,204.17,204.17,0.0,0.0,204.78,204.78,204.78,0.0,0.0,203.8,203.8,203.8,0.0,0.0,204.38,204.38,204.38,0.0,0.0
