Date,iShares MSCI EAFE Value_etf_Open_average,iShares MSCI EAFE Value_etf_Open_max,iShares MSCI EAFE Value_etf_Open_min,iShares MSCI EAFE Value_etf_Open_volatility,iShares MSCI EAFE Value_etf_Open_change,iShares MSCI EAFE Value_etf_High_average,iShares MSCI EAFE Value_etf_High_max,iShares MSCI EAFE Value_etf_High_min,iShares MSCI EAFE Value_etf_High_volatility,iShares MSCI EAFE Value_etf_High_change,iShares MSCI EAFE Value_etf_Low_average,iShares MSCI EAFE Value_etf_Low_max,iShares MSCI EAFE Value_etf_Low_min,iShares MSCI EAFE Value_etf_Low_volatility,iShares MSCI EAFE Value_etf_Low_change,iShares MSCI EAFE Value_etf_Close_average,iShares MSCI EAFE Value_etf_Close_max,iShares MSCI EAFE Value_etf_Close_min,iShares MSCI EAFE Value_etf_Close_volatility,iShares MSCI EAFE Value_etf_Close_change
2016-01-03,44.05,44.05,44.05,0.0,0.0,44.16,44.16,44.16,0.0,0.0,43.12,43.12,43.12,0.0,0.0,43.26,43.26,43.26,0.0,0.0
2016-01-10,42.13,42.13,42.13,0.0,0.0,42.3,42.3,42.3,0.0,0.0,41.64,41.64,41.64,0.0,0.0,41.87,41.87,41.87,0.0,0.0
2016-01-17,42.44,42.44,42.44,0.0,0.0,42.74,42.74,42.74,0.0,0.0,42.34,42.34,42.34,0.0,0.0,42.66,42.66,42.66,0.0,0.0
2016-01-24,42.78,42.78,42.78,0.0,0.0,43.38,43.38,43.38,0.0,0.0,42.72,42.72,42.72,0.0,0.0,43.38,43.38,43.38,0.0,0.0
2016-01-31,42.48,42.48,42.48,0.0,0.0,42.51,42.51,42.51,0.0,0.0,41.93,41.93,41.93,0.0,0.0,42.09,42.09,42.09,0.0,0.0
2016-02-07,40.07,40.07,40.07,0.0,0.0,40.74,40.74,40.74,0.0,0.0,39.89,39.89,39.89,0.0,0.0,40.74,40.74,40.74,0.0,0.0
2016-02-14,41.76,41.76,41.76,0.0,0.0,42.04,42.04,42.04,0.0,0.0,41.65,41.65,41.65,0.0,0.0,42.0,42.0,42.0,0.0,0.0
2016-02-21,42.33,42.33,42.33,0.0,0.0,42.37,42.37,42.37,0.0,0.0,41.98,41.98,41.98,0.0,0.0,42.02,42.02,42.02,0.0,0.0
2016-02-28,44.37,44.37,44.37,0.0,0.0,44.69,44.69,44.69,0.0,0.0,44.27,44.27,44.27,0.0,0.0,44.5,44.5,44.5,0.0,0.0
2016-03-06,44.95,44.95,44.95,0.0,0.0,45.42,45.42,45.42,0.0,0.0,44.84,44.84,44.84,0.0,0.0,45.42,45.42,45.42,0.0,0.0
2016-03-13,45.67,45.67,45.67,0.0,0.0,45.73,45.73,45.73,0.0,0.0,45.46,45.46,45.46,0.0,0.0,45.65,45.65,45.65,0.0,0.0
