Date,PowerShares Global Water Portfolio_etf_Open_average,PowerShares Global Water Portfolio_etf_Open_max,PowerShares Global Water Portfolio_etf_Open_min,PowerShares Global Water Portfolio_etf_Open_volatility,PowerShares Global Water Portfolio_etf_Open_change,PowerShares Global Water Portfolio_etf_High_average,PowerShares Global Water Portfolio_etf_High_max,PowerShares Global Water Portfolio_etf_High_min,PowerShares Global Water Portfolio_etf_High_volatility,PowerShares Global Water Portfolio_etf_High_change,PowerShares Global Water Portfolio_etf_Low_average,PowerShares Global Water Portfolio_etf_Low_max,PowerShares Global Water Portfolio_etf_Low_min,PowerShares Global Water Portfolio_etf_Low_volatility,PowerShares Global Water Portfolio_etf_Low_change,PowerShares Global Water Portfolio_etf_Close_average,PowerShares Global Water Portfolio_etf_Close_max,PowerShares Global Water Portfolio_etf_Close_min,PowerShares Global Water Portfolio_etf_Close_volatility,PowerShares Global Water Portfolio_etf_Close_change
2016-01-03,19.74,19.74,19.74,0.0,0.0,19.8,19.8,19.8,0.0,0.0,19.41,19.41,19.41,0.0,0.0,19.41,19.41,19.41,0.0,0.0
2016-01-10,18.9,18.9,18.9,0.0,0.0,18.97,18.97,18.97,0.0,0.0,18.64,18.64,18.64,0.0,0.0,18.86,18.86,18.86,0.0,0.0
2016-01-17,18.91,18.91,18.91,0.0,0.0,19.15,19.15,19.15,0.0,0.0,18.91,18.91,18.91,0.0,0.0,19.1,19.1,19.1,0.0,0.0
2016-01-24,19.48,19.48,19.48,0.0,0.0,19.72,19.72,19.72,0.0,0.0,19.39,19.39,19.39,0.0,0.0,19.72,19.72,19.72,0.0,0.0
2016-01-31,19.48,19.48,19.48,0.0,0.0,19.53,19.53,19.53,0.0,0.0,19.12,19.12,19.12,0.0,0.0,19.18,19.18,19.18,0.0,0.0
2016-02-07,18.38,18.38,18.38,0.0,0.0,18.65,18.65,18.65,0.0,0.0,18.38,18.38,18.38,0.0,0.0,18.62,18.62,18.62,0.0,0.0
2016-02-14,19.48,19.48,19.48,0.0,0.0,19.54,19.54,19.54,0.0,0.0,19.34,19.34,19.34,0.0,0.0,19.45,19.45,19.45,0.0,0.0
2016-02-21,19.47,19.47,19.47,0.0,0.0,19.47,19.47,19.47,0.0,0.0,19.28,19.28,19.28,0.0,0.0,19.37,19.37,19.37,0.0,0.0
2016-02-28,20.01,20.01,20.01,0.0,0.0,20.19,20.19,20.19,0.0,0.0,19.97,19.97,19.97,0.0,0.0,20.08,20.08,20.08,0.0,0.0
2016-03-06,20.17,20.17,20.17,0.0,0.0,20.47,20.47,20.47,0.0,0.0,20.17,20.17,20.17,0.0,0.0,20.46,20.46,20.46,0.0,0.0
2016-03-13,20.7,20.7,20.7,0.0,0.0,20.81,20.81,20.81,0.0,0.0,20.62,20.62,20.62,0.0,0.0,20.63,20.63,20.63,0.0,0.0
2016-03-20,20.32,20.32,20.32,0.0,0.0,20.39,20.39,20.39,0.0,0.0,20.25,20.25,20.25,0.0,0.0,20.39,20.39,20.39,0.0,0.0
2016-03-27,20.78,20.78,20.78,0.0,0.0,21.05,21.05,21.05,0.0,0.0,20.78,20.78,20.78,0.0,0.0,21.03,21.03,21.03,0.0,0.0
2016-04-03,21.0,21.0,21.0,0.0,0.0,21.14,21.14,21.14,0.0,0.0,20.96,20.96,20.96,0.0,0.0,20.98,20.98,20.98,0.0,0.0
2016-04-10,21.46,21.46,21.46,0.0,0.0,21.46,21.46,21.46,0.0,0.0,21.38,21.38,21.38,0.0,0.0,21.44,21.44,21.44,0.0,0.0
2016-04-17,21.43,21.43,21.43,0.0,0.0,21.59,21.59,21.59,0.0,0.0,21.43,21.43,21.43,0.0,0.0,21.57,21.57,21.57,0.0,0.0
2016-04-24,21.77,21.77,21.77,0.0,0.0,21.85,21.85,21.85,0.0,0.0,21.62,21.62,21.62,0.0,0.0,21.7,21.7,21.7,0.0,0.0
2016-05-01,21.37,21.37,21.37,0.0,0.0,21.5,21.5,21.5,0.0,0.0,21.32,21.32,21.32,0.0,0.0,21.5,21.5,21.5,0.0,0.0
2016-05-08,21.46,21.46,21.46,0.0,0.0,21.46,21.46,21.46,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.26,21.26,21.26,0.0,0.0
2016-05-15,21.51,21.51,21.51,0.0,0.0,21.58,21.58,21.58,0.0,0.0,21.41,21.41,21.41,0.0,0.0,21.42,21.42,21.42,0.0,0.0
2016-05-22,21.67,21.67,21.67,0.0,0.0,21.81,21.81,21.81,0.0,0.0,21.67,21.67,21.67,0.0,0.0,21.7,21.7,21.7,0.0,0.0
2016-05-29,21.81,21.81,21.81,0.0,0.0,21.96,21.96,21.96,0.0,0.0,21.79,21.79,21.79,0.0,0.0,21.89,21.89,21.89,0.0,0.0
2016-06-05,21.85,21.85,21.85,0.0,0.0,21.85,21.85,21.85,0.0,0.0,21.52,21.52,21.52,0.0,0.0,21.58,21.58,21.58,0.0,0.0
2016-06-12,21.18,21.18,21.18,0.0,0.0,21.22,21.22,21.22,0.0,0.0,21.05,21.05,21.05,0.0,0.0,21.18,21.18,21.18,0.0,0.0
