Date,IDRA_stock_Open_average,IDRA_stock_Open_max,IDRA_stock_Open_min,IDRA_stock_Open_volatility,IDRA_stock_Open_change,IDRA_stock_High_average,IDRA_stock_High_max,IDRA_stock_High_min,IDRA_stock_High_volatility,IDRA_stock_High_change,IDRA_stock_Low_average,IDRA_stock_Low_max,IDRA_stock_Low_min,IDRA_stock_Low_volatility,IDRA_stock_Low_change,IDRA_stock_Close_average,IDRA_stock_Close_max,IDRA_stock_Close_min,IDRA_stock_Close_volatility,IDRA_stock_Close_change,IDRA_stock_Volume_average,IDRA_stock_Volume_max,IDRA_stock_Volume_min,IDRA_stock_Volume_volatility,IDRA_stock_Volume_change
2016-01-03,2.9,3.03,2.7,0.3299999999999996,-0.3299999999999996,2.9656000000000002,3.1,2.82,0.28000000000000025,-0.2519999999999998,2.718,2.9,2.51,0.3900000000000001,-0.3900000000000001,2.782,3.0,2.52,0.48,-0.48,1548840,1786390,1359386,427004,319694
2016-01-10,2.2479999999999998,2.59,2.12,0.46999999999999975,-0.46999999999999975,2.3048,2.63,2.12,0.5099999999999998,-0.5099999999999998,1.986,2.1,1.93,0.17000000000000015,-0.17000000000000015,2.114,2.22,1.98,0.2400000000000002,-0.2400000000000002,2038900,2461777,1622679,839098,275612
2016-01-17,1.895,1.99,1.72,0.27,-0.050000000000000044,2.0025,2.08,1.92,0.16000000000000014,-0.09000000000000008,1.68525,1.811,1.5,0.31099999999999994,-0.07000000000000006,1.8325,1.92,1.74,0.17999999999999994,-0.050000000000000044,1878902,2531852,1110895,1420957,570565
2016-01-24,1.78,1.83,1.75,0.08000000000000007,0.08000000000000007,1.879,1.98,1.82,0.15999999999999992,0.15500000000000003,1.709,1.79,1.63,0.16000000000000014,0.09000000000000008,1.81,1.94,1.76,0.17999999999999994,0.16999999999999993,1285495,1965647,597430,1368217,941214
2016-01-31,1.888,1.94,1.8,0.1399999999999999,-0.050000000000000044,1.974,2.06,1.9,0.16000000000000014,-0.08000000000000007,1.802,1.88,1.69,0.18999999999999995,-0.05999999999999983,1.8739999999999999,1.93,1.8,0.1299999999999999,-0.08999999999999986,1042205,1393113,712869,680244,-367196
2016-02-07,1.68,1.82,1.59,0.22999999999999998,-0.13000000000000012,1.758,1.82,1.72,0.10000000000000009,-0.08000000000000007,1.606,1.65,1.55,0.09999999999999987,-0.04999999999999982,1.667,1.685,1.64,0.04500000000000015,-0.010000000000000009,664958,1005599,506963,498636,-498636
2016-02-14,1.78,1.94,1.69,0.25,0.06000000000000005,1.885,1.95,1.77,0.17999999999999994,0.10000000000000009,1.7025,1.74,1.65,0.09000000000000008,0.040000000000000036,1.7974999999999999,1.92,1.71,0.20999999999999996,0.1100000000000001,1060745,1808553,609842,1198711,-93053
2016-02-21,1.8008333333333333,1.86,1.72,0.14000000000000012,-0.015000000000000124,1.8625,1.93,1.81,0.11999999999999988,-0.08499999999999996,1.7541666666666667,1.845,1.68,0.16500000000000004,0.04499999999999993,1.8041666666666667,1.85,1.74,0.1100000000000001,0.03499999999999992,615269,715060,451044,264016,-161206
2016-02-28,1.934,2.12,1.8,0.32000000000000006,0.17999999999999972,2.042,2.17,1.855,0.31499999999999995,0.29499999999999993,1.87,2.0,1.75,0.25,0.20999999999999996,1.968,2.1,1.78,0.32000000000000006,0.28,842032,1195408,595857,599551,-268401
2016-03-06,1.996,2.2,1.84,0.3600000000000001,-0.24,2.068,2.25,1.84,0.4099999999999999,-0.4099999999999999,1.8719999999999999,2.03,1.75,0.2799999999999998,-0.2799999999999998,1.936,2.19,1.78,0.4099999999999999,-0.3599999999999999,948703,1049796,813497,236299,-124695
2016-03-13,1.8900000000000001,1.99,1.8,0.18999999999999995,0.1299999999999999,2.018,2.14,1.9,0.2400000000000002,0.06000000000000005,1.814,1.89,1.75,0.1399999999999999,0.09999999999999987,1.9280000000000002,2.1,1.81,0.29000000000000004,0.08000000000000007,1185084,2038483,641403,1397080,448653
2016-03-20,2.0875,2.19,1.9,0.29000000000000004,-0.20000000000000018,2.1875,2.29,2.03,0.26000000000000023,-0.2200000000000002,1.98625,2.1,1.85,0.25,-0.2250000000000001,2.065,2.18,1.95,0.2300000000000002,-0.19000000000000017,1089217,1366419,567923,798496,-731458
2016-03-27,1.966,2.0,1.93,0.07000000000000006,-0.040000000000000036,2.027,2.07,2.0,0.06999999999999984,0.009999999999999787,1.886,1.91,1.83,0.07999999999999985,0.010000000000000009,1.96,1.98,1.93,0.050000000000000044,0.010000000000000009,919643,1497321,493165,1004156,-92489
2016-04-03,1.996,2.05,1.97,0.07999999999999985,0.020000000000000018,2.0593999999999997,2.14,2.0069999999999997,0.13300000000000045,-0.13300000000000045,1.939,1.97,1.875,0.09499999999999997,-0.09499999999999997,1.978,2.06,1.91,0.15000000000000013,-0.15000000000000013,1203602,1750731,842988,907743,-203074
