Date,WisdomTree Continuous Commodity_etf_Open_average,WisdomTree Continuous Commodity_etf_Open_max,WisdomTree Continuous Commodity_etf_Open_min,WisdomTree Continuous Commodity_etf_Open_volatility,WisdomTree Continuous Commodity_etf_Open_change,WisdomTree Continuous Commodity_etf_High_average,WisdomTree Continuous Commodity_etf_High_max,WisdomTree Continuous Commodity_etf_High_min,WisdomTree Continuous Commodity_etf_High_volatility,WisdomTree Continuous Commodity_etf_High_change,WisdomTree Continuous Commodity_etf_Low_average,WisdomTree Continuous Commodity_etf_Low_max,WisdomTree Continuous Commodity_etf_Low_min,WisdomTree Continuous Commodity_etf_Low_volatility,WisdomTree Continuous Commodity_etf_Low_change,WisdomTree Continuous Commodity_etf_Close_average,WisdomTree Continuous Commodity_etf_Close_max,WisdomTree Continuous Commodity_etf_Close_min,WisdomTree Continuous Commodity_etf_Close_volatility,WisdomTree Continuous Commodity_etf_Close_change
2016-01-03,18.15,18.15,18.15,0.0,0.0,18.15,18.15,18.15,0.0,0.0,18.05,18.05,18.05,0.0,0.0,18.12,18.12,18.12,0.0,0.0
2016-01-10,17.65,17.65,17.65,0.0,0.0,17.66,17.66,17.66,0.0,0.0,17.52,17.52,17.52,0.0,0.0,17.56,17.56,17.56,0.0,0.0
2016-01-17,17.85,17.85,17.85,0.0,0.0,17.91,17.91,17.91,0.0,0.0,17.79,17.79,17.79,0.0,0.0,17.83,17.83,17.83,0.0,0.0
2016-01-24,18.04,18.04,18.04,0.0,0.0,18.09,18.09,18.09,0.0,0.0,17.99,17.99,17.99,0.0,0.0,18.05,18.05,18.05,0.0,0.0
2016-01-31,18.07,18.07,18.07,0.0,0.0,18.13,18.13,18.13,0.0,0.0,18.0,18.0,18.0,0.0,0.0,18.09,18.09,18.09,0.0,0.0
2016-02-07,17.95,17.95,17.95,0.0,0.0,18.03,18.03,18.03,0.0,0.0,17.91,17.91,17.91,0.0,0.0,18.02,18.02,18.02,0.0,0.0
2016-02-14,18.0,18.0,18.0,0.0,0.0,18.0,18.0,18.0,0.0,0.0,17.9,17.9,17.9,0.0,0.0,17.9,17.9,17.9,0.0,0.0
2016-02-21,18.09,18.09,18.09,0.0,0.0,18.09,18.09,18.09,0.0,0.0,17.84,17.84,17.84,0.0,0.0,17.86,17.86,17.86,0.0,0.0
2016-02-28,18.25,18.25,18.25,0.0,0.0,18.42,18.42,18.42,0.0,0.0,18.25,18.25,18.25,0.0,0.0,18.39,18.39,18.39,0.0,0.0
2016-03-06,18.82,18.82,18.82,0.0,0.0,18.85,18.85,18.85,0.0,0.0,18.73,18.73,18.73,0.0,0.0,18.73,18.73,18.73,0.0,0.0
2016-03-13,19.21,19.21,19.21,0.0,0.0,19.21,19.21,19.21,0.0,0.0,19.04,19.04,19.04,0.0,0.0,19.05,19.05,19.05,0.0,0.0
2016-03-20,18.7,18.7,18.7,0.0,0.0,18.78,18.78,18.78,0.0,0.0,18.65,18.65,18.65,0.0,0.0,18.74,18.74,18.74,0.0,0.0
2016-03-27,18.59,18.59,18.59,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.47,18.47,18.47,0.0,0.0,18.58,18.58,18.58,0.0,0.0
2016-04-03,18.55,18.55,18.55,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.47,18.47,18.47,0.0,0.0,18.57,18.57,18.57,0.0,0.0
2016-04-10,18.83,18.83,18.83,0.0,0.0,18.91,18.91,18.91,0.0,0.0,18.72,18.72,18.72,0.0,0.0,18.86,18.86,18.86,0.0,0.0
2016-04-17,19.54,19.54,19.54,0.0,0.0,19.6,19.6,19.6,0.0,0.0,19.32,19.32,19.32,0.0,0.0,19.32,19.32,19.32,0.0,0.0
2016-04-24,19.84,19.84,19.84,0.0,0.0,19.87,19.87,19.87,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.86,19.86,19.86,0.0,0.0
2016-05-01,19.43,19.43,19.43,0.0,0.0,19.58,19.58,19.58,0.0,0.0,19.43,19.43,19.43,0.0,0.0,19.54,19.54,19.54,0.0,0.0
2016-05-08,19.59,19.59,19.59,0.0,0.0,19.66,19.66,19.66,0.0,0.0,19.54,19.54,19.54,0.0,0.0,19.65,19.65,19.65,0.0,0.0
2016-05-15,19.58,19.58,19.58,0.0,0.0,19.63,19.63,19.63,0.0,0.0,19.46,19.46,19.46,0.0,0.0,19.47,19.47,19.47,0.0,0.0
2016-05-22,19.6,19.6,19.6,0.0,0.0,19.65,19.65,19.65,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.61,19.61,19.61,0.0,0.0
2016-05-29,19.99,19.99,19.99,0.0,0.0,20.07,20.07,20.07,0.0,0.0,19.94,19.94,19.94,0.0,0.0,20.05,20.05,20.05,0.0,0.0
2016-06-05,20.63,20.63,20.63,0.0,0.0,20.68,20.68,20.68,0.0,0.0,20.55,20.55,20.55,0.0,0.0,20.61,20.61,20.61,0.0,0.0
2016-06-12,20.45,20.45,20.45,0.0,0.0,20.54,20.54,20.54,0.0,0.0,20.37,20.37,20.37,0.0,0.0,20.53,20.53,20.53,0.0,0.0
2016-06-19,20.09,20.09,20.09,0.0,0.0,20.14,20.14,20.14,0.0,0.0,20.03,20.03,20.03,0.0,0.0,20.04,20.04,20.04,0.0,0.0
2016-06-26,20.56,20.56,20.56,0.0,0.0,20.63,20.63,20.63,0.0,0.0,20.52,20.52,20.52,0.0,0.0,20.63,20.63,20.63,0.0,0.0
2016-07-03,20.18,20.18,20.18,0.0,0.0,20.28,20.28,20.28,0.0,0.0,20.12,20.12,20.12,0.0,0.0,20.24,20.24,20.24,0.0,0.0
2016-07-10,20.47,20.47,20.47,0.0,0.0,20.47,20.47,20.47,0.0,0.0,20.31,20.31,20.31,0.0,0.0,20.37,20.37,20.37,0.0,0.0
2016-07-17,19.85,19.85,19.85,0.0,0.0,19.88,19.88,19.88,0.0,0.0,19.71,19.71,19.71,0.0,0.0,19.86,19.86,19.86,0.0,0.0
2016-07-24,19.69,19.69,19.69,0.0,0.0,19.87,19.87,19.87,0.0,0.0,19.69,19.69,19.69,0.0,0.0,19.85,19.85,19.85,0.0,0.0
2016-07-31,19.86,19.86,19.86,0.0,0.0,19.91,19.91,19.91,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.89,19.89,19.89,0.0,0.0
2016-08-07,19.82,19.82,19.82,0.0,0.0,19.89,19.89,19.89,0.0,0.0,19.65,19.65,19.65,0.0,0.0,19.76,19.76,19.76,0.0,0.0
2016-08-14,20.08,20.08,20.08,0.0,0.0,20.14,20.14,20.14,0.0,0.0,20.05,20.05,20.05,0.0,0.0,20.13,20.13,20.13,0.0,0.0
2016-08-21,19.83,19.83,19.83,0.0,0.0,19.94,19.94,19.94,0.0,0.0,19.62,19.62,19.62,0.0,0.0,19.74,19.74,19.74,0.0,0.0
2016-08-28,19.47,19.47,19.47,0.0,0.0,19.51,19.51,19.51,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.46,19.46,19.46,0.0,0.0
2016-09-04,19.7,19.7,19.7,0.0,0.0,19.71,19.71,19.71,0.0,0.0,19.56,19.56,19.56,0.0,0.0,19.61,19.61,19.61,0.0,0.0
2016-09-11,19.2,19.2,19.2,0.0,0.0,19.43,19.43,19.43,0.0,0.0,19.2,19.2,19.2,0.0,0.0,19.42,19.42,19.42,0.0,0.0
2016-09-18,19.8,19.8,19.8,0.0,0.0,19.8,19.8,19.8,0.0,0.0,19.63,19.63,19.63,0.0,0.0,19.65,19.65,19.65,0.0,0.0
2016-09-25,19.6,19.6,19.6,0.0,0.0,19.6,19.6,19.6,0.0,0.0,19.47,19.47,19.47,0.0,0.0,19.47,19.47,19.47,0.0,0.0
2016-10-02,19.43,19.43,19.43,0.0,0.0,19.58,19.58,19.58,0.0,0.0,19.35,19.35,19.35,0.0,0.0,19.36,19.36,19.36,0.0,0.0
2016-10-09,20.03,20.03,20.03,0.0,0.0,20.03,20.03,20.03,0.0,0.0,19.85,19.85,19.85,0.0,0.0,20.03,20.03,20.03,0.0,0.0
2016-10-16,20.01,20.01,20.01,0.0,0.0,20.15,20.15,20.15,0.0,0.0,19.9,19.9,19.9,0.0,0.0,20.0,20.0,20.0,0.0,0.0
2016-10-23,19.76,19.76,19.76,0.0,0.0,20.24,20.24,20.24,0.0,0.0,19.76,19.76,19.76,0.0,0.0,19.99,19.99,19.99,0.0,0.0
2016-10-30,19.4,19.4,19.4,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.38,19.38,19.38,0.0,0.0,19.51,19.51,19.51,0.0,0.0
2016-11-06,19.63,19.63,19.63,0.0,0.0,19.63,19.63,19.63,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.22,19.22,19.22,0.0,0.0
2016-11-13,19.26,19.26,19.26,0.0,0.0,19.26,19.26,19.26,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.23,19.23,19.23,0.0,0.0
2016-11-20,19.42,19.42,19.42,0.0,0.0,19.49,19.49,19.49,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.47,19.47,19.47,0.0,0.0
2016-11-27,19.39,19.39,19.39,0.0,0.0,19.49,19.49,19.49,0.0,0.0,19.37,19.37,19.37,0.0,0.0,19.44,19.44,19.44,0.0,0.0
2016-12-04,19.55,19.55,19.55,0.0,0.0,19.57,19.57,19.57,0.0,0.0,19.37,19.37,19.37,0.0,0.0,19.45,19.45,19.45,0.0,0.0
2016-12-11,19.4,19.4,19.4,0.0,0.0,19.49,19.49,19.49,0.0,0.0,19.3,19.3,19.3,0.0,0.0,19.44,19.44,19.44,0.0,0.0
