Date,OLBK_stock_Open_average,OLBK_stock_Open_max,OLBK_stock_Open_min,OLBK_stock_Open_volatility,OLBK_stock_Open_change,OLBK_stock_High_average,OLBK_stock_High_max,OLBK_stock_High_min,OLBK_stock_High_volatility,OLBK_stock_High_change,OLBK_stock_Low_average,OLBK_stock_Low_max,OLBK_stock_Low_min,OLBK_stock_Low_volatility,OLBK_stock_Low_change,OLBK_stock_Close_average,OLBK_stock_Close_max,OLBK_stock_Close_min,OLBK_stock_Close_volatility,OLBK_stock_Close_change,OLBK_stock_Volume_average,OLBK_stock_Volume_max,OLBK_stock_Volume_min,OLBK_stock_Volume_volatility,OLBK_stock_Volume_change
2016-01-03,17.488,17.63,17.27,0.35999999999999943,0.08999999999999986,17.882,18.23,17.54,0.6900000000000013,0.6900000000000013,17.388,17.5,17.17,0.3299999999999983,0.3299999999999983,17.756,18.06,17.28,0.7799999999999976,0.7799999999999976,7460,14887,1256,13631,-3156
2016-01-10,17.834,18.18,17.36,0.8200000000000003,-0.240000000000002,18.094,18.2,17.86,0.33999999999999986,-0.33999999999999986,17.656,18.0,17.25,0.75,-0.3500000000000014,17.868,18.15,17.28,0.8699999999999974,-0.7199999999999989,5171,9864,1906,7958,5473
2016-01-17,17.377499999999998,17.7,17.11,0.5899999999999999,-0.21999999999999886,17.56,17.7,17.38,0.3200000000000003,-0.21999999999999886,17.1525,17.29,16.97,0.3200000000000003,0.05000000000000071,17.325,17.42,17.09,0.33000000000000185,-0.030000000000001137,9808,20241,2416,17825,1296
2016-01-24,17.422,17.5,17.32,0.17999999999999972,0.030000000000001137,17.526,17.59,17.48,0.10999999999999943,-0.0799999999999983,17.35,17.41,17.31,0.10000000000000142,-0.00999999999999801,17.444,17.5,17.32,0.17999999999999972,-0.03999999999999915,5809,8387,2135,6252,4914
2016-01-31,17.67,18.02,17.34,0.6799999999999997,0.6799999999999997,17.874,18.02,17.5,0.5199999999999996,0.5199999999999996,17.59,17.94,17.11,0.8300000000000018,0.740000000000002,17.85,17.98,17.49,0.490000000000002,0.490000000000002,5405,10132,1264,8868,-8868
2016-02-07,17.67,17.92,17.47,0.45000000000000284,-0.3500000000000014,17.834,17.99,17.71,0.2799999999999976,-0.16999999999999815,17.496,17.58,17.35,0.22999999999999687,-0.05999999999999872,17.716,17.82,17.58,0.240000000000002,0.0,3810,6862,2088,4774,-3638
2016-02-14,17.5175,17.83,17.1,0.7299999999999969,-0.7299999999999969,17.7125,17.99,17.42,0.5699999999999967,-0.5699999999999967,17.155,17.46,16.75,0.7100000000000009,-0.35999999999999943,17.3625,17.69,17.06,0.6300000000000026,-0.4200000000000017,9357,12731,6115,6616,-4063
2016-02-21,17.51,17.71,17.34,0.370000000000001,0.370000000000001,17.914,17.95,17.85,0.09999999999999787,0.010000000000001563,17.426,17.71,17.25,0.46000000000000085,0.46000000000000085,17.766,17.82,17.66,0.16000000000000014,0.019999999999999574,12671,29599,3266,26333,-5910
2016-02-28,17.916,18.07,17.79,0.28000000000000114,0.129999999999999,18.105999999999998,18.2,18.07,0.129999999999999,-0.00999999999999801,17.672,17.83,17.41,0.41999999999999815,-0.2699999999999996,17.86,18.11,17.65,0.46000000000000085,-0.1700000000000017,12027,19890,5663,14227,12202
2016-03-06,17.948,18.13,17.65,0.4800000000000004,0.4400000000000013,18.156,18.23,18.11,0.120000000000001,0.08999999999999986,17.75,18.04,17.5,0.5399999999999991,0.3500000000000014,18.108,18.19,18.05,0.14000000000000057,0.120000000000001,9562,26679,3640,23039,-704
