Date,ProShares UltraShort Industrials_etf_Open_average,ProShares UltraShort Industrials_etf_Open_max,ProShares UltraShort Industrials_etf_Open_min,ProShares UltraShort Industrials_etf_Open_volatility,ProShares UltraShort Industrials_etf_Open_change,ProShares UltraShort Industrials_etf_High_average,ProShares UltraShort Industrials_etf_High_max,ProShares UltraShort Industrials_etf_High_min,ProShares UltraShort Industrials_etf_High_volatility,ProShares UltraShort Industrials_etf_High_change,ProShares UltraShort Industrials_etf_Low_average,ProShares UltraShort Industrials_etf_Low_max,ProShares UltraShort Industrials_etf_Low_min,ProShares UltraShort Industrials_etf_Low_volatility,ProShares UltraShort Industrials_etf_Low_change,ProShares UltraShort Industrials_etf_Close_average,ProShares UltraShort Industrials_etf_Close_max,ProShares UltraShort Industrials_etf_Close_min,ProShares UltraShort Industrials_etf_Close_volatility,ProShares UltraShort Industrials_etf_Close_change
2016-01-03,44.52,44.52,44.52,0.0,0.0,46.05,46.05,46.05,0.0,0.0,44.48,44.48,44.48,0.0,0.0,45.95,45.95,45.95,0.0,0.0
2016-01-10,48.2,48.2,48.2,0.0,0.0,49.4,49.4,49.4,0.0,0.0,47.72,47.72,47.72,0.0,0.0,48.25,48.25,48.25,0.0,0.0
2016-01-17,47.52,47.52,47.52,0.0,0.0,48.33,48.33,48.33,0.0,0.0,47.36,47.36,47.36,0.0,0.0,47.43,47.43,47.43,0.0,0.0
2016-01-24,46.84,46.84,46.84,0.0,0.0,46.84,46.84,46.84,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.0,45.0,45.0,0.0,0.0
2016-01-31,44.98,44.98,44.98,0.0,0.0,46.04,46.04,46.04,0.0,0.0,44.98,44.98,44.98,0.0,0.0,46.04,46.04,46.04,0.0,0.0
2016-02-07,48.0,48.0,48.0,0.0,0.0,48.0,48.0,48.0,0.0,0.0,46.45,46.45,46.45,0.0,0.0,46.81,46.81,46.81,0.0,0.0
2016-02-14,44.16,44.16,44.16,0.0,0.0,44.16,44.16,44.16,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.53,43.53,43.53,0.0,0.0
2016-02-21,41.44,41.44,41.44,0.0,0.0,41.54,41.54,41.54,0.0,0.0,40.79,40.79,40.79,0.0,0.0,41.04,41.04,41.04,0.0,0.0
2016-02-28,39.2,39.2,39.2,0.0,0.0,39.2,39.2,39.2,0.0,0.0,38.54,38.54,38.54,0.0,0.0,38.9,38.9,38.9,0.0,0.0
2016-03-06,38.69,38.69,38.69,0.0,0.0,38.69,38.69,38.69,0.0,0.0,38.44,38.44,38.44,0.0,0.0,38.64,38.64,38.64,0.0,0.0
2016-03-13,36.04,36.04,36.04,0.0,0.0,36.2,36.2,36.2,0.0,0.0,36.04,36.04,36.04,0.0,0.0,36.1,36.1,36.1,0.0,0.0
2016-03-20,37.0,37.0,37.0,0.0,0.0,37.01,37.01,37.01,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.8,36.8,36.8,0.0,0.0
2016-03-27,36.21,36.21,36.21,0.0,0.0,36.21,36.21,36.21,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.74,35.74,35.74,0.0,0.0
2016-04-03,36.2,36.2,36.2,0.0,0.0,36.2,36.2,36.2,0.0,0.0,36.2,36.2,36.2,0.0,0.0,36.2,36.2,36.2,0.0,0.0
2016-04-10,34.83,34.83,34.83,0.0,0.0,35.11,35.11,35.11,0.0,0.0,34.83,34.83,34.83,0.0,0.0,35.11,35.11,35.11,0.0,0.0
2016-04-17,34.57,34.57,34.57,0.0,0.0,34.57,34.57,34.57,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.4,34.4,34.4,0.0,0.0
2016-04-24,34.5,34.5,34.5,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.5,34.5,34.5,0.0,0.0,34.84,34.84,34.84,0.0,0.0
2016-05-01,35.75,35.75,35.75,0.0,0.0,35.75,35.75,35.75,0.0,0.0,35.35,35.35,35.35,0.0,0.0,35.35,35.35,35.35,0.0,0.0
2016-05-08,34.96,34.96,34.96,0.0,0.0,35.14,35.14,35.14,0.0,0.0,34.92,34.92,34.92,0.0,0.0,35.14,35.14,35.14,0.0,0.0
2016-05-15,35.44,35.44,35.44,0.0,0.0,35.44,35.44,35.44,0.0,0.0,35.44,35.44,35.44,0.0,0.0,35.44,35.44,35.44,0.0,0.0
2016-05-22,33.91,33.91,33.91,0.0,0.0,33.95,33.95,33.95,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.95,33.95,33.95,0.0,0.0
2016-05-29,33.9,33.9,33.9,0.0,0.0,33.93,33.93,33.93,0.0,0.0,33.9,33.9,33.9,0.0,0.0,33.93,33.93,33.93,0.0,0.0
2016-06-05,33.43,33.43,33.43,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.33,33.33,33.33,0.0,0.0
