Date,PCAR_stock_Open_average,PCAR_stock_Open_max,PCAR_stock_Open_min,PCAR_stock_Open_volatility,PCAR_stock_Open_change,PCAR_stock_High_average,PCAR_stock_High_max,PCAR_stock_High_min,PCAR_stock_High_volatility,PCAR_stock_High_change,PCAR_stock_Low_average,PCAR_stock_Low_max,PCAR_stock_Low_min,PCAR_stock_Low_volatility,PCAR_stock_Low_change,PCAR_stock_Close_average,PCAR_stock_Close_max,PCAR_stock_Close_min,PCAR_stock_Close_volatility,PCAR_stock_Close_change,PCAR_stock_Volume_average,PCAR_stock_Volume_max,PCAR_stock_Volume_min,PCAR_stock_Volume_volatility,PCAR_stock_Volume_change
2016-01-03,46.482,47.4,45.79,1.6099999999999994,-0.4200000000000017,47.15,47.84,46.44,1.4000000000000057,-0.9500000000000028,45.9,46.52,45.07,1.4500000000000028,-0.7999999999999972,46.498,47.18,45.23,1.9500000000000028,-1.9299999999999997,2729456,2955882,2157130,798752,-80589
2016-01-10,45.284,45.64,44.69,0.9500000000000028,-0.36000000000000654,45.79,46.02,45.49,0.5300000000000011,-0.269999999999996,44.184,44.57,43.78,0.7899999999999991,-0.6300000000000026,45.147999999999996,45.71,44.3,1.4100000000000037,0.0800000000000054,2656635,3230133,1644914,1585219,610926
2016-01-17,45.5625,46.68,44.28,2.3999999999999986,0.9200000000000017,46.417500000000004,47.53,45.84,1.6899999999999977,1.6899999999999977,44.7225,46.18,43.46,2.719999999999999,1.8800000000000026,45.675,46.53,45.03,1.5,1.5,3066180,4069609,2389089,1680520,421245
2016-01-24,46.622,47.69,45.24,2.4499999999999957,-1.1699999999999946,47.908,49.57,46.41,3.1600000000000037,3.1600000000000037,45.858,46.58,45.01,1.5700000000000003,-0.6000000000000014,47.32,49.07,45.71,3.3599999999999994,3.3599999999999994,3205180,5947043,2193137,3753906,3753906
2016-01-31,48.398,50.0,47.77,2.229999999999997,1.5399999999999991,49.324,51.37,48.07,3.299999999999997,2.489999999999995,47.594,49.6,45.92,3.6799999999999997,2.240000000000002,48.794,50.11,47.53,2.5799999999999983,1.5700000000000003,3193932,3796391,2447904,1348487,-952700
2016-02-07,49.076,49.77,47.87,1.9000000000000057,-0.8599999999999994,50.07,50.53,49.1,1.4299999999999997,-0.22999999999999687,48.548,49.22,47.53,1.6899999999999977,-0.759999999999998,49.35,50.0,48.29,1.7100000000000009,0.10999999999999943,2460988,3070839,1826989,1243850,-928778
2016-02-14,51.31,51.9,50.55,1.3500000000000014,0.5200000000000031,52.035000000000004,53.21,51.2,2.009999999999998,-0.17999999999999972,50.5375,51.13,50.0,1.1300000000000026,0.3200000000000003,51.3975,52.05,50.9,1.1499999999999986,-0.46000000000000085,2286479,2745990,1953680,792310,45913
2016-02-21,51.69166666666666,52.32,50.87,1.4500000000000028,0.46000000000000085,52.065,52.67,51.31,1.3599999999999994,-0.30000000000000426,51.00333333333333,52.01,49.4,2.6099999999999994,0.46000000000000085,51.781666666666666,52.24,51.17,1.0700000000000003,-0.23000000000000398,1886835,2301298,1451162,850136,-198615
2016-02-28,52.572,54.1,51.92,2.1799999999999997,2.1799999999999997,53.222,54.23,52.23,2.0,2.0,52.006,53.06,51.46,1.6000000000000014,1.6000000000000014,52.792,54.06,51.5,2.5600000000000023,1.9200000000000017,2597908,3819454,1944977,1874477,968749
2016-03-06,52.76,53.15,52.43,0.7199999999999989,-0.6000000000000014,53.188,53.94,52.68,1.259999999999998,-1.1099999999999994,51.949999999999996,53.01,51.26,1.75,-1.7100000000000009,52.54,53.65,51.78,1.8699999999999974,-0.9200000000000017,2299346,2909173,1988116,921057,-252200
