Date,John Hancock Multifactor TechnologyEtf_Open_average,John Hancock Multifactor TechnologyEtf_Open_max,John Hancock Multifactor TechnologyEtf_Open_min,John Hancock Multifactor TechnologyEtf_Open_volatility,John Hancock Multifactor TechnologyEtf_Open_change,John Hancock Multifactor TechnologyEtf_High_average,John Hancock Multifactor TechnologyEtf_High_max,John Hancock Multifactor TechnologyEtf_High_min,John Hancock Multifactor TechnologyEtf_High_volatility,John Hancock Multifactor TechnologyEtf_High_change,John Hancock Multifactor TechnologyEtf_Low_average,John Hancock Multifactor TechnologyEtf_Low_max,John Hancock Multifactor TechnologyEtf_Low_min,John Hancock Multifactor TechnologyEtf_Low_volatility,John Hancock Multifactor TechnologyEtf_Low_change,John Hancock Multifactor TechnologyEtf_Close_average,John Hancock Multifactor TechnologyEtf_Close_max,John Hancock Multifactor TechnologyEtf_Close_min,John Hancock Multifactor TechnologyEtf_Close_volatility,John Hancock Multifactor TechnologyEtf_Close_change
2016-01-03,24.99,24.99,24.99,0.0,0.0,25.12,25.12,25.12,0.0,0.0,24.97,24.97,24.97,0.0,0.0,25.12,25.12,25.12,0.0,0.0
2016-01-10,24.54,24.54,24.54,0.0,0.0,24.54,24.54,24.54,0.0,0.0,23.8,23.8,23.8,0.0,0.0,24.22,24.22,24.22,0.0,0.0
2016-01-17,24.52,24.52,24.52,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.48,24.48,24.48,0.0,0.0,24.6,24.6,24.6,0.0,0.0
2016-01-24,24.36,24.36,24.36,0.0,0.0,24.86,24.86,24.86,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.86,24.86,24.86,0.0,0.0
2016-01-31,24.26,24.26,24.26,0.0,0.0,24.26,24.26,24.26,0.0,0.0,24.26,24.26,24.26,0.0,0.0,24.26,24.26,24.26,0.0,0.0
2016-02-07,23.19,23.19,23.19,0.0,0.0,23.19,23.19,23.19,0.0,0.0,23.16,23.16,23.16,0.0,0.0,23.16,23.16,23.16,0.0,0.0
2016-02-14,24.64,24.64,24.64,0.0,0.0,24.64,24.64,24.64,0.0,0.0,24.59,24.59,24.59,0.0,0.0,24.59,24.59,24.59,0.0,0.0
2016-02-21,25.05,25.05,25.05,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.02,25.02,25.02,0.0,0.0,25.02,25.02,25.02,0.0,0.0
2016-02-28,25.81,25.81,25.81,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.82,25.82,25.82,0.0,0.0
2016-03-06,26.01,26.01,26.01,0.0,0.0,26.11,26.11,26.11,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.11,26.11,26.11,0.0,0.0
2016-03-13,26.44,26.44,26.44,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.44,26.44,26.44,0.0,0.0
2016-03-20,26.37,26.37,26.37,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.37,26.37,26.37,0.0,0.0,26.5,26.5,26.5,0.0,0.0
2016-03-27,27.09,27.09,27.09,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.2,27.2,27.2,0.0,0.0
2016-04-03,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.72,26.72,26.72,0.0,0.0
2016-04-10,26.92,26.92,26.92,0.0,0.0,26.92,26.92,26.92,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.86,26.86,26.86,0.0,0.0
2016-04-17,26.83,26.83,26.83,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.74,26.74,26.74,0.0,0.0,26.74,26.74,26.74,0.0,0.0
