Date,OMEX_stock_Open_average,OMEX_stock_Open_max,OMEX_stock_Open_min,OMEX_stock_Open_volatility,OMEX_stock_Open_change,OMEX_stock_High_average,OMEX_stock_High_max,OMEX_stock_High_min,OMEX_stock_High_volatility,OMEX_stock_High_change,OMEX_stock_Low_average,OMEX_stock_Low_max,OMEX_stock_Low_min,OMEX_stock_Low_volatility,OMEX_stock_Low_change,OMEX_stock_Close_average,OMEX_stock_Close_max,OMEX_stock_Close_min,OMEX_stock_Close_volatility,OMEX_stock_Close_change,OMEX_stock_Volume_average,OMEX_stock_Volume_max,OMEX_stock_Volume_min,OMEX_stock_Volume_volatility,OMEX_stock_Volume_change
2016-01-03,3.0260000000000002,3.24,2.64,0.6000000000000001,-0.36999999999999966,3.288,3.48,3.0,0.48,-0.48,2.782,3.22,2.52,0.7000000000000002,-0.36999999999999966,2.934,3.24,2.64,0.6000000000000001,-0.52,24350,50889,4107,46782,34462
2016-01-10,2.838,3.0,2.68,0.31999999999999984,0.2400000000000002,3.076,3.36,2.87,0.48999999999999977,0.33000000000000007,2.658,2.76,2.52,0.23999999999999977,-0.05999999999999961,2.842,3.01,2.71,0.2999999999999998,-0.08000000000000007,28254,35967,24198,11769,-272
2016-01-17,2.7625,2.88,2.52,0.3599999999999999,0.3599999999999999,2.91,2.94,2.88,0.06000000000000005,0.06000000000000005,2.5625,2.81,2.28,0.5300000000000002,0.5300000000000002,2.855,2.94,2.76,0.18000000000000016,0.08999999999999986,21223,55806,5577,50229,-44284
2016-01-24,2.906,3.0,2.82,0.18000000000000016,0.020000000000000018,3.0340000000000003,3.24,2.93,0.31000000000000005,0.30000000000000027,2.758,2.88,2.64,0.23999999999999977,0.0,2.956,3.21,2.76,0.4500000000000002,0.4500000000000002,17092,41549,6476,35073,32400
2016-01-31,3.0260000000000002,3.24,2.9,0.3400000000000003,0.0,3.198,3.39,3.12,0.27,-0.27,2.7680000000000002,3.0,2.64,0.3599999999999999,-0.3599999999999999,2.964,3.23,2.7,0.5299999999999998,-0.5299999999999998,17069,25423,10672,14751,13625
2016-02-07,2.46,2.7,2.2,0.5,-0.30000000000000027,2.626,2.75,2.4,0.3500000000000001,-0.10999999999999988,2.062,2.28,1.8,0.47999999999999976,-0.11999999999999966,2.516,2.64,2.28,0.3600000000000003,0.040000000000000036,25704,55769,12084,43685,-41757
2016-02-14,2.62,2.76,2.47,0.2899999999999996,0.1499999999999999,2.8425000000000002,2.88,2.74,0.13999999999999968,0.13999999999999968,2.4025,2.47,2.28,0.1900000000000004,0.18000000000000016,2.6,2.7,2.52,0.18000000000000016,-0.06000000000000005,17519,29401,4615,24786,19567
2016-02-21,2.54,3.01,2.34,0.6699999999999999,0.020000000000000018,2.888,3.81,2.43,1.38,-1.12,2.288,2.39,2.2,0.18999999999999995,0.17999999999999972,2.576,3.07,2.41,0.6599999999999997,-0.52,130756,281168,29824,251344,-232179
2016-02-28,2.992,3.54,2.6,0.94,0.94,3.776,5.81,2.7,3.1099999999999994,3.1099999999999994,2.886,3.38,2.44,0.94,0.8799999999999999,3.33,4.5,2.55,1.9500000000000002,1.9500000000000002,135928,364935,25433,339502,162854
2016-03-06,4.868,5.09,4.71,0.3799999999999999,0.03000000000000025,5.312,5.47,5.01,0.45999999999999996,-0.019999999999999574,4.69,4.9,4.35,0.5500000000000007,0.040000000000000036,4.95,5.31,4.75,0.5599999999999996,-0.3799999999999999,56728,119746,19157,100589,-78276
